xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1301.425386
pentane H C x x 12 5 x x 1594.058003
hexane H C x x 14 6 x x 1886.707436
heptane H C x x 16 7 x x 2179.338478
octane H C x x 18 8 x x 2471.980799
isobutane H C x x 10 4 x x 1301.839781
isopentane H C x x 12 5 x x 1593.461006
isohexane H C x x 14 6 x x 1886.021604
isoheptane H C x x 16 7 x x 2178.664964
isooctane H C x x 18 8 x x 2467.300978
neopentane H C x x 12 5 x x 1594.426785
neohexane H C x x 14 6 x x 1884.856705
neoheptane H C x x 16 7 x x 2177.318242
3methylpentane H C x x 14 6 x x 1884.943023
diisopropyl H C x x 14 6 x x 1884.230734
hexamethylethane H C x x 18 8 x x 2462.572427
h2 H x x x 2 x x x 112.8051582
alh3 H Al x x 3 1 x x 213.9081989
alh Al H x x 1 1 x x 73.87695373
sih4 H Si x x 4 1 x x 325.2614969
bh3 H B x x 3 1 x x 286.203709
bh B H x x 1 1 x x 85.1534801
ch2-trip H C x x 2 1 x x 192.6887539
sih H Si x x 1 1 x x 75.83058483
si2h6 H Si x x 6 2 x x 532.5292694
ch3 H C x x 3 1 x x 311.6826851
ch4 H C x x 4 1 x x 424.2695532
b2h6 H B x x 6 2 x x 612.0632119
sih3f H F Si x 3 1 1 x 380.3261534
ph3 H P x x 3 1 x x 248.2532744
c2h6 H C x x 6 2 x x 715.9146594
propane H C x x 8 3 x x 1008.653741
ch2-sing H C x x 2 1 x x 187.1996699
ch C H x x 1 1 x x 86.87811366
h2s H S x x 2 1 x x 185.8277942
hs S H x x 1 1 x x 90.13504653
c2h5f H C F x 5 2 1 x 725.0347046
ch3nh2 H C N x 5 1 1 x 590.8077015
ch3f H F C x 3 1 1 x 427.8160719
propene H C x x 6 3 x x 865.1521811
nh3 H N x x 3 1 x x 306.4470262
ethanol H C O x 6 2 1 x 815.2799789
ch3nh H C N x 4 1 1 x 485.8694874
c2h4 H C x x 4 2 x x 568.6822432
methanol H C O x 4 1 1 x 519.314093
hcl Cl H x x 1 1 x x 107.2966875
nh2 H N x x 2 1 x x 191.6191819
nh N H x x 1 1 x x 89.62889536
ch2nh2 H C N x 4 1 1 x 493.8035074
bhf2 F B H x 2 1 1 x 412.7078083
h2o H O x x 2 1 x x 237.41357
hf F H x x 1 1 x x 143.5314981
ch2ch H C x x 3 2 x x 452.1651994
oh O H x x 1 1 x x 111.8034311
propyne H C x x 4 3 x x 710.052474
acetaldehyde H C O x 4 2 1 x 686.1554071
allene H C x x 4 3 x x 712.8758548
sif4 F Si x x 4 1 x x 561.1433173
bf3 F B x x 3 1 x x 469.1139882
c2h3f H C F x 3 2 1 x 580.2521841
oxirane H C O x 4 2 1 x 657.8864764
ch2f2 H F C x 2 2 1 x 442.1556033
alf3 F Al x x 3 1 x x 422.5122097
bef2 F Be x x 2 1 x x 313.9319639
ch2c C H x x 2 2 x x 365.7566067
n2h4 H N x x 4 2 x x 453.3962477
ch2nh H C N x 3 1 1 x 450.0868533
alf Al F x x 1 1 x x 162.6725335
acetic H C O x 4 2 2 x 812.6877801
c2h2 C H x x 2 2 x x 409.5486756
h2co H O C x 2 1 1 x 383.1833437
h2cn H C N x 2 1 1 x 356.032246
bf F B x x 1 1 x x 183.6559167
becl2 Cl Be x x 2 1 x x 223.1859478
t-hcoh H C O x 2 1 1 x 330.0143687
alcl3 Cl Al x x 3 1 x x 293.5532289
c-hcoh H C O x 2 1 1 x 325.6748418
alcl Al Cl x x 1 1 x x 117.8767737
ketene C H O x 2 2 1 x 546.2218997
sif F Si x x 1 1 x x 144.6318799
formic H O C x 2 2 1 x 512.6342645
hcnh H C N x 2 1 1 x 349.9991315
glyoxal C H O x 2 2 2 x 648.0618593
hcof C O H F 1 1 1 1 413.3977825
nh2cl H N Cl x 2 1 1 x 255.9495151
cf4 F C x x 4 1 x x 477.9234568
hccf C H F x 2 1 1 x 405.5045285
hcn H C N x 1 1 1 x 322.3484341
hnc H N C x 1 1 1 x 307.255664
cch C H x x 2 1 x x 267.8548539
hco O C H x 1 1 1 x 290.1910892
co C O x x 1 1 x x 263.9073996
oxirene C H O x 2 2 1 x 466.3569314
f2co F O C x 2 1 1 x 429.1188967
hocn C N O H 1 1 1 1 423.3489137
hooh H O x x 2 2 x x 281.6971455
t-n2h2 H N x x 2 2 x x 313.3040766
hnco C O N H 1 1 1 1 452.9100972
c-n2h2 H N x x 2 2 x x 308.3256526
cf2 F C x x 2 1 x x 265.461965
co2 O C x x 2 1 x x 403.4255459
fccf F C x x 2 2 x x 395.8942788
dioxirane H O C x 2 2 1 x 423.3045058
cf C F x x 1 1 x x 139.5609036
ssh S H x x 2 1 x x 170.2041012
hocl O H Cl x 1 1 1 x 172.4423944
nccn N C x x 2 2 x x 521.3551314
n2 N x x x 2 x x x 240.2537192
n2h N H x x 2 1 x x 244.0711046
ocs O C S x 1 1 1 x 346.9856989
sio Si O x x 1 1 x x 196.4136174
clcn Cl C N x 1 1 1 x 293.9013111
hoo O H x x 2 1 x x 192.3065075
hcno C H N O 1 1 1 1 388.7060727
honc H O N C 1 1 1 1 366.1044205
hno N H O x 1 1 1 x 220.9540692
hof H O F x 1 1 1 x 171.129753
c-hono O N H x 2 1 1 x 335.5900802
t-hono O N H x 2 1 1 x 336.8716852
cs2 S C x x 2 1 x x 288.8041427
hnnn N H x x 3 1 x x 362.828197
cs C S x x 1 1 x x 174.5808497
cn C N x x 1 1 x x 191.2154652
so3 O S x x 3 1 x x 356.490901
ccl2 Cl C x x 2 1 x x 180.652809
bn3pi B N x x 1 1 x x 117.0836497
so2 O S x x 2 1 x x 270.5029015
no N O x x 1 1 x x 167.5943572
so S O x x 1 1 x x 136.7835981
n2o N O x x 2 1 x x 298.693724
c-hooo O H x x 3 1 x x 263.3946174
s2 S x x x 2 x x x 110.0558782
p4 P x x x 4 x x x 290.709172
cl2 Cl x x x 2 x x x 60.13822986
o2 O x x x 2 x x x 138.2054972
f2 F x x x 2 x x x 50.5483458
t-hooo O H x x 3 1 x x 265.1781876
s2o S O x x 2 1 x x 218.3882009
p2 P x x x 2 x x x 123.29859
clf Cl F x x 1 1 x x 68.56100888
no2 O N x x 2 1 x x 257.641402
clo Cl O x x 1 1 x x 76.71943101
s3 S x x x 3 x x x 175.0074798
cl2o Cl O x x 2 1 x x 110.5025994
s4-c2v S x x x 4 x x x 241.9453531
of O F x x 1 1 x x 68.67732611
c2 C x x x 2 x x x 145.8289313
oclo O Cl x x 2 1 x x 147.9353388
f2o F O x x 2 1 x x 116.7015136
b2 B x x x 2 x x x 68.91188866
fo2 O F x x 2 1 x x 167.1891471
cloo O Cl x x 2 1 x x 153.4202485
foof F O x x 2 2 x x 194.9905969
o3 O x x x 3 x x x 175.2412135
bn B N x x 1 1 x x 113.2290366
be2 Be x x x 2 x x x 6.908522668
