xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 109.3786689
alh3 H Al x x 3 1 x x 215.8052632
alh Al H x x 1 1 x x 72.00855188
sih4 H Si x x 4 1 x x 327.9386803
bh3 H B x x 3 1 x x 290.337863
bh B H x x 1 1 x x 83.34850051
ch2-trip H C x x 2 1 x x 197.8614373
sih H Si x x 1 1 x x 73.50824005
si2h6 H Si x x 6 2 x x 542.3172508
ch3 H C x x 3 1 x x 315.9888777
ch4 H C x x 4 1 x x 429.9634631
b2h6 H B x x 6 2 x x 626.1244535
sih3f H F Si x 3 1 1 x 374.1834328
ph3 H P x x 3 1 x x 242.4228337
c2h6 H C x x 6 2 x x 729.015593
propane H C x x 8 3 x x 1030.218108
ch2-sing H C x x 2 1 x x 185.7841493
ch C H x x 1 1 x x 82.86758054
h2s H S x x 2 1 x x 178.0047635
hs S H x x 1 1 x x 85.12909096
c2h5f H C F x 5 2 1 x 726.7235684
ch3nh2 H C N x 5 1 1 x 584.5952731
ch3f H F C x 3 1 1 x 420.2674048
propene H C x x 6 3 x x 876.1733414
nh3 H N x x 3 1 x x 291.605311
ethanol H C O x 6 2 1 x 812.4779288
ch3nh H C N x 4 1 1 x 479.386332
c2h4 H C x x 4 2 x x 570.9565288
methanol H C O x 4 1 1 x 507.626141
hcl Cl H x x 1 1 x x 100.7641752
nh2 H N x x 2 1 x x 178.4854526
nh N H x x 1 1 x x 81.822988
ch2nh2 H C N x 4 1 1 x 485.0270587
bhf2 F B H x 2 1 1 x 403.8892748
h2o H O x x 2 1 x x 218.1530389
hf F H x x 1 1 x x 127.7178472
ch2ch H C x x 3 2 x x 452.7104105
oh O H x x 1 1 x x 100.1401384
propyne H C x x 4 3 x x 712.0863822
acetaldehyde H C O x 4 2 1 x 679.9220632
allene H C x x 4 3 x x 713.075637
sif4 F Si x x 4 1 x x 533.0467007
bf3 F B x x 3 1 x x 458.1013289
c2h3f H C F x 3 2 1 x 574.5719234
oxirane H C O x 4 2 1 x 651.2711909
ch2f2 H F C x 2 2 1 x 427.5255123
alf3 F Al x x 3 1 x x 410.0012106
bef2 F Be x x 2 1 x x 300.8208322
ch2c C H x x 2 2 x x 358.3998449
n2h4 H N x x 4 2 x x 428.6617649
ch2nh H C N x 3 1 1 x 435.9673088
alf Al F x x 1 1 x x 155.3694067
acetic H C O x 4 2 2 x 799.1381394
c2h2 C H x x 2 2 x x 402.0621154
h2co H O C x 2 1 1 x 367.9924651
h2cn H C N x 2 1 1 x 342.4198732
bf F B x x 1 1 x x 175.9154184
becl2 Cl Be x x 2 1 x x 224.93986
t-hcoh H C O x 2 1 1 x 312.7504885
alcl3 Cl Al x x 3 1 x x 309.2243881
c-hcoh H C O x 2 1 1 x 307.6159186
alcl Al Cl x x 1 1 x x 119.3296091
ketene C H O x 2 2 1 x 532.9292909
sif F Si x x 1 1 x x 133.1247296
formic H O C x 2 2 1 x 487.8139851
hcnh H C N x 2 1 1 x 332.2014325
glyoxal C H O x 2 2 2 x 623.9124098
hcof C O H F 1 1 1 1 392.8204386
nh2cl H N Cl x 2 1 1 x 238.1564054
cf4 F C x x 4 1 x x 462.53704
hccf C H F x 2 1 1 x 394.0787224
hcn H C N x 1 1 1 x 302.9339436
hnc H N C x 1 1 1 x 288.9761983
cch C H x x 2 1 x x 261.7614955
hco O C H x 1 1 1 x 272.8827772
co C O x x 1 1 x x 248.0935338
oxirene C H O x 2 2 1 x 445.3332608
f2co F O C x 2 1 1 x 408.9158591
hocn C N O H 1 1 1 1 395.208381
hooh H O x x 2 2 x x 246.8084548
t-n2h2 H N x x 2 2 x x 282.9055841
hnco C O N H 1 1 1 1 424.8554515
c-n2h2 H N x x 2 2 x x 277.0680563
cf2 F C x x 2 1 x x 248.9303708
co2 O C x x 2 1 x x 378.855676
fccf F C x x 2 2 x x 379.35454
dioxirane H O C x 2 2 1 x 394.4959698
cf C F x x 1 1 x x 129.4451966
ssh S H x x 2 1 x x 156.7419386
hocl O H Cl x 1 1 1 x 151.4392908
nccn N C x x 2 2 x x 485.0951522
n2 N x x x 2 x x x 209.4727565
n2h N H x x 2 1 x x 214.0255275
ocs O C S x 1 1 1 x 326.6197239
sio Si O x x 1 1 x x 171.6058827
clcn Cl C N x 1 1 1 x 273.5887133
hoo O H x x 2 1 x x 162.6217395
hcno C H N O 1 1 1 1 354.5574114
honc H O N C 1 1 1 1 336.4015979
hno N H O x 1 1 1 x 189.2976152
hof H O F x 1 1 1 x 141.321271
c-hono O N H x 2 1 1 x 288.8741899
t-hono O N H x 2 1 1 x 288.3190008
cs2 S C x x 2 1 x x 272.616492
hnnn N H x x 3 1 x x 314.1786525
