xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1367.908162
pentane H C x x 12 5 x x 1679.850869
hexane H C x x 14 6 x x 1991.833544
heptane H C x x 16 7 x x 2303.791502
octane H C x x 18 8 x x 2615.768558
isobutane H C x x 10 4 x x 1369.204019
isopentane H C x x 12 5 x x 1680.688946
isohexane H C x x 14 6 x x 1992.624159
isoheptane H C x x 16 7 x x 2304.636447
isooctane H C x x 18 8 x x 2616.891092
neopentane H C x x 12 5 x x 1683.023586
neohexane H C x x 14 6 x x 1993.903351
neoheptane H C x x 16 7 x x 2305.799476
3methylpentane H C x x 14 6 x x 1992.067557
diisopropyl H C x x 14 6 x x 1992.725717
hexamethylethane H C x x 18 8 x x 2616.400625
h2 H x x x 2 x x x 106.5678026
alh3 H Al x x 3 1 x x 209.5877341
alh Al H x x 1 1 x x 71.21967697
sih4 H Si x x 4 1 x x 324.228762
bh3 H B x x 3 1 x x 285.5125547
bh B H x x 1 1 x x 83.41728179
ch2-trip H C x x 2 1 x x 201.0299832
sih H Si x x 1 1 x x 74.23762144
si2h6 H Si x x 6 2 x x 540.7498647
ch3 H C x x 3 1 x x 319.5479689
ch4 H C x x 4 1 x x 434.0231918
b2h6 H B x x 6 2 x x 630.6288911
sih3f H F Si x 3 1 1 x 388.4982419
ph3 H P x x 3 1 x x 249.1581583
c2h6 H C x x 6 2 x x 743.9104915
propane H C x x 8 3 x x 1055.926563
ch2-sing H C x x 2 1 x x 190.6601946
ch C H x x 1 1 x x 86.60146502
h2s H S x x 2 1 x x 190.9155138
hs S H x x 1 1 x x 92.10682943
c2h5f H C F x 5 2 1 x 764.1745258
ch3nh2 H C N x 5 1 1 x 614.9393524
ch3f H F C x 3 1 1 x 448.0415036
propene H C x x 6 3 x x 908.4002258
nh3 H N x x 3 1 x x 313.101755
ethanol H C O x 6 2 1 x 858.4983059
ch3nh H C N x 4 1 1 x 506.3257818
c2h4 H C x x 4 2 x x 592.5561975
methanol H C O x 4 1 1 x 543.4060837
hcl Cl H x x 1 1 x x 111.8457059
nh2 H N x x 2 1 x x 194.1026136
nh N H x x 1 1 x x 90.0279242
ch2nh2 H C N x 4 1 1 x 516.9063525
bhf2 F B H x 2 1 1 x 436.5225472
h2o H O x x 2 1 x x 245.2221241
hf F H x x 1 1 x x 149.0806178
ch2ch H C x x 3 2 x x 475.1669158
oh O H x x 1 1 x x 114.3949128
propyne H C x x 4 3 x x 749.6474252
acetaldehyde H C O x 4 2 1 x 724.7867233
allene H C x x 4 3 x x 752.7804952
sif4 F Si x x 4 1 x x 602.4769717
bf3 F B x x 3 1 x x 505.3017505
c2h3f H C F x 3 2 1 x 616.7746149
oxirane H C O x 4 2 1 x 702.3691731
ch2f2 H F C x 2 2 1 x 475.1708415
alf3 F Al x x 3 1 x x 445.9247494
bef2 F Be x x 2 1 x x 326.5583124
ch2c C H x x 2 2 x x 383.6467231
n2h4 H N x x 4 2 x x 473.9339665
ch2nh H C N x 3 1 1 x 469.3321301
alf Al F x x 1 1 x x 169.6281632
acetic H C O x 4 2 2 x 869.4188846
c2h2 C H x x 2 2 x x 430.169103
h2co H O C x 2 1 1 x 402.4780638
h2cn H C N x 2 1 1 x 372.2353528
bf F B x x 1 1 x x 195.0719162
becl2 Cl Be x x 2 1 x x 238.7846037
t-hcoh H C O x 2 1 1 x 349.1491442
alcl3 Cl Al x x 3 1 x x 322.9217624
c-hcoh H C O x 2 1 1 x 344.5993325
alcl Al Cl x x 1 1 x x 126.2730811
ketene C H O x 2 2 1 x 583.2408636
sif F Si x x 1 1 x x 153.0654983
formic H O C x 2 2 1 x 549.8573237
hcnh H C N x 2 1 1 x 368.2402246
glyoxal C H O x 2 2 2 x 695.839751
hcof C O H F 1 1 1 1 446.5809856
nh2cl H N Cl x 2 1 1 x 272.553222
cf4 F C x x 4 1 x x 540.6746048
hccf C H F x 2 1 1 x 439.8459044
hcn H C N x 1 1 1 x 337.1424415
hnc H N C x 1 1 1 x 322.8367242
cch C H x x 2 1 x x 288.5845241
hco O C H x 1 1 1 x 308.5487573
co C O x x 1 1 x x 279.375584
oxirene C H O x 2 2 1 x 505.2807531
f2co F O C x 2 1 1 x 477.0726701
hocn C N O H 1 1 1 1 455.5076119
hooh H O x x 2 2 x x 301.0375196
t-n2h2 H N x x 2 2 x x 328.2499786
hnco C O N H 1 1 1 1 486.3475677
c-n2h2 H N x x 2 2 x x 323.0892546
cf2 F C x x 2 1 x x 295.067722
co2 O C x x 2 1 x x 437.0844993
fccf F C x x 2 2 x x 443.4138299
dioxirane H O C x 2 2 1 x 460.4699707
cf C F x x 1 1 x x 153.7164967
ssh S H x x 2 1 x x 185.356587
hocl O H Cl x 1 1 1 x 188.941151
nccn N C x x 2 2 x x 559.0378183
n2 N x x x 2 x x x 250.2939761
n2h N H x x 2 1 x x 257.1093386
ocs O C S x 1 1 1 x 378.4069811
sio Si O x x 1 1 x x 205.5131804
clcn Cl C N x 1 1 1 x 321.6710928
hoo O H x x 2 1 x x 209.8953885
hcno C H N O 1 1 1 1 423.5588506
honc H O N C 1 1 1 1 398.0982273
hno N H O x 1 1 1 x 236.196771
hof H O F x 1 1 1 x 186.4575347
c-hono O N H x 2 1 1 x 368.2748555
t-hono O N H x 2 1 1 x 368.7915997
cs2 S C x x 2 1 x x 318.459495
hnnn N H x x 3 1 x x 391.7702543
cs C S x x 1 1 x x 188.0899352
cn C N x x 1 1 x x 204.4541426
so3 O S x x 3 1 x x 407.0129671
ccl2 Cl C x x 2 1 x x 209.1159958
bn3pi B N x x 1 1 x x 126.9077197
so2 O S x x 2 1 x x 301.8113427
no N O x x 1 1 x x 181.1293252
so S O x x 1 1 x x 151.3373503
n2o N O x x 2 1 x x 328.7837843
c-hooo O H x x 3 1 x x 294.7265312
s2 S x x x 2 x x x 123.8522611
p4 P x x x 4 x x x 333.8700592
cl2 Cl x x x 2 x x x 73.61307053
o2 O x x x 2 x x x 155.8324941
f2 F x x x 2 x x x 62.30319391
t-hooo O H x x 3 1 x x 295.3724013
s2o S O x x 2 1 x x 247.7320199
p2 P x x x 2 x x x 129.2729315
clf Cl F x x 1 1 x x 81.36989157
no2 O N x x 2 1 x x 289.9468436
clo Cl O x x 1 1 x x 90.55247149
s3 S x x x 3 x x x 202.5066452
cl2o Cl O x x 2 1 x x 135.6707088
s4-c2v S x x x 4 x x x 284.9013772
of O F x x 1 1 x x 81.40213563
c2 C x x x 2 x x x 160.5734463
oclo O Cl x x 2 1 x x 182.4031052
f2o F O x x 2 1 x x 141.8086082
b2 B x x x 2 x x x 84.10771338
fo2 O F x x 2 1 x x 193.6252064
cloo O Cl x x 2 1 x x 178.4238158
foof F O x x 2 2 x x 232.9735623
o3 O x x x 3 x x x 206.9540941
bn B N x x 1 1 x x 122.6864146
be2 Be x x x 2 x x x 10.97186479
