xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1368.106373
pentane H C x x 12 5 x x 1680.059998
hexane H C x x 14 6 x x 1992.054428
heptane H C x x 16 7 x x 2304.02479
octane H C x x 18 8 x x 2616.015058
isobutane H C x x 10 4 x x 1369.311605
isopentane H C x x 12 5 x x 1680.795037
isohexane H C x x 14 6 x x 1992.754088
isoheptane H C x x 16 7 x x 2304.781885
isooctane H C x x 18 8 x x 2616.785593
neopentane H C x x 12 5 x x 1682.967715
neohexane H C x x 14 6 x x 1993.841109
neoheptane H C x x 16 7 x x 2305.774218
3methylpentane H C x x 14 6 x x 1992.18877
diisopropyl H C x x 14 6 x x 1992.77242
hexamethylethane H C x x 18 8 x x 2616.090524
h2 H x x x 2 x x x 106.5825936
alh3 H Al x x 3 1 x x 209.7393071
alh Al H x x 1 1 x x 71.32470117
sih4 H Si x x 4 1 x x 324.3778616
bh3 H B x x 3 1 x x 285.6165372
bh B H x x 1 1 x x 83.47443895
ch2-trip H C x x 2 1 x x 201.1087841
sih H Si x x 1 1 x x 74.33167947
si2h6 H Si x x 6 2 x x 541.314638
ch3 H C x x 3 1 x x 319.6747236
ch4 H C x x 4 1 x x 434.1975076
b2h6 H B x x 6 2 x x 630.877791
sih3f H F Si x 3 1 1 x 388.5373582
ph3 H P x x 3 1 x x 249.3786103
c2h6 H C x x 6 2 x x 744.1228226
propane H C x x 8 3 x x 1056.117363
ch2-sing H C x x 2 1 x x 190.7478483
ch C H x x 1 1 x x 86.64818207
h2s H S x x 2 1 x x 191.062903
hs S H x x 1 1 x x 92.1801279
c2h5f H C F x 5 2 1 x 764.2241266
ch3nh2 H C N x 5 1 1 x 615.1438488
ch3f H F C x 3 1 1 x 448.0837037
propene H C x x 6 3 x x 908.7574013
nh3 H N x x 3 1 x x 313.2249415
ethanol H C O x 6 2 1 x 858.5783667
ch3nh H C N x 4 1 1 x 506.5519802
c2h4 H C x x 4 2 x x 592.8147522
methanol H C O x 4 1 1 x 543.5071713
hcl Cl H x x 1 1 x x 111.9085364
nh2 H N x x 2 1 x x 194.1805789
nh N H x x 1 1 x x 90.06300413
ch2nh2 H C N x 4 1 1 x 517.1292177
bhf2 F B H x 2 1 1 x 436.5077306
h2o H O x x 2 1 x x 245.2820611
hf F H x x 1 1 x x 149.0997683
ch2ch H C x x 3 2 x x 475.4065457
oh O H x x 1 1 x x 114.4213274
propyne H C x x 4 3 x x 750.0608293
acetaldehyde H C O x 4 2 1 x 724.9682987
allene H C x x 4 3 x x 753.2278047
sif4 F Si x x 4 1 x x 602.5220997
bf3 F B x x 3 1 x x 505.3841491
c2h3f H C F x 3 2 1 x 616.9356418
oxirane H C O x 4 2 1 x 702.5350794
ch2f2 H F C x 2 2 1 x 475.1730523
alf3 F Al x x 3 1 x x 446.0446881
bef2 F Be x x 2 1 x x 326.6284265
ch2c C H x x 2 2 x x 383.8951749
n2h4 H N x x 4 2 x x 474.124391
ch2nh H C N x 3 1 1 x 469.5571357
alf Al F x x 1 1 x x 169.7429599
acetic H C O x 4 2 2 x 869.5481612
c2h2 C H x x 2 2 x x 430.3559902
h2co H O C x 2 1 1 x 402.5942095
h2cn H C N x 2 1 1 x 372.4352671
bf F B x x 1 1 x x 195.1402965
becl2 Cl Be x x 2 1 x x 239.1775644
t-hcoh H C O x 2 1 1 x 349.2902344
alcl3 Cl Al x x 3 1 x x 323.7033197
c-hcoh H C O x 2 1 1 x 344.7472909
alcl Al Cl x x 1 1 x x 126.656779
ketene C H O x 2 2 1 x 583.477576
sif F Si x x 1 1 x x 153.1740942
formic H O C x 2 2 1 x 549.9837229
hcnh H C N x 2 1 1 x 368.4323046
glyoxal C H O x 2 2 2 x 696.0133466
hcof C O H F 1 1 1 1 446.673709
nh2cl H N Cl x 2 1 1 x 272.782443
cf4 F C x x 4 1 x x 540.8066375
hccf C H F x 2 1 1 x 440.0056789
hcn H C N x 1 1 1 x 337.276011
hnc H N C x 1 1 1 x 322.9944211
cch C H x x 2 1 x x 288.7547537
hco O C H x 1 1 1 x 308.641215
co C O x x 1 1 x x 279.458175
oxirene C H O x 2 2 1 x 505.4363946
f2co F O C x 2 1 1 x 477.2192938
hocn C N O H 1 1 1 1 455.6777047
hooh H O x x 2 2 x x 301.1088768
t-n2h2 H N x x 2 2 x x 328.4250102
hnco C O N H 1 1 1 1 486.53701
c-n2h2 H N x x 2 2 x x 323.2774616
cf2 F C x x 2 1 x x 295.1734894
co2 O C x x 2 1 x x 437.2326071
fccf F C x x 2 2 x x 443.5583909
dioxirane H O C x 2 2 1 x 460.5806803
cf C F x x 1 1 x x 153.775871
ssh S H x x 2 1 x x 185.7553009
hocl O H Cl x 1 1 1 x 189.0950078
nccn N C x x 2 2 x x 559.3991532
n2 N x x x 2 x x x 250.3784767
n2h N H x x 2 1 x x 257.2472717
ocs O C S x 1 1 1 x 378.7232429
sio Si O x x 1 1 x x 205.6677601
clcn Cl C N x 1 1 1 x 321.939388
hoo O H x x 2 1 x x 209.9715374
hcno C H N O 1 1 1 1 423.7462999
honc H O N C 1 1 1 1 398.2692601
hno N H O x 1 1 1 x 236.297745
hof H O F x 1 1 1 x 186.5049561
c-hono O N H x 2 1 1 x 368.4356472
t-hono O N H x 2 1 1 x 368.9430107
cs2 S C x x 2 1 x x 319.0517103
hnnn N H x x 3 1 x x 391.9993537
cs C S x x 1 1 x x 188.3138544
cn C N x x 1 1 x x 204.5642187
so3 O S x x 3 1 x x 407.3586879
ccl2 Cl C x x 2 1 x x 209.6088777
bn3pi B N x x 1 1 x x 127.0387324
so2 O S x x 2 1 x x 302.0502874
no N O x x 1 1 x x 181.1939622
so S O x x 1 1 x x 151.4653867
n2o N O x x 2 1 x x 328.9350226
c-hooo O H x x 3 1 x x 294.8175739
s2 S x x x 2 x x x 124.1888095
p4 P x x x 4 x x x 336.0344446
cl2 Cl x x x 2 x x x 73.86389538
o2 O x x x 2 x x x 155.8829344
f2 F x x x 2 x x x 62.33208396
t-hooo O H x x 3 1 x x 295.4561072
s2o S O x x 2 1 x x 248.2209829
p2 P x x x 2 x x x 129.7051644
clf Cl F x x 1 1 x x 81.45203644
no2 O N x x 2 1 x x 290.0914095
clo Cl O x x 1 1 x x 90.66449766
s3 S x x x 3 x x x 203.3414188
cl2o Cl O x x 2 1 x x 136.0437001
s4-c2v S x x x 4 x x x 286.492341
of O F x x 1 1 x x 81.43972509
c2 C x x x 2 x x x 160.7200268
oclo O Cl x x 2 1 x x 182.609807
f2o F O x x 2 1 x x 141.8646825
b2 B x x x 2 x x x 84.32624636
fo2 O F x x 2 1 x x 193.6780377
cloo O Cl x x 2 1 x x 178.5618308
foof F O x x 2 2 x x 233.0316182
o3 O x x x 3 x x x 207.0707485
bn B N x x 1 1 x x 122.8175246
be2 Be x x x 2 x x x 11.40789877
