xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 106.5677973
alh3 H Al x x 3 1 x x 209.4954639
alh Al H x x 1 1 x x 71.21852372
sih4 H Si x x 4 1 x x 324.0037503
bh3 H B x x 3 1 x x 285.4590625
bh B H x x 1 1 x x 83.41700237
ch2-trip H C x x 2 1 x x 201.0166311
sih H Si x x 1 1 x x 74.23721377
si2h6 H Si x x 6 2 x x 540.011536
ch3 H C x x 3 1 x x 319.5226011
ch4 H C x x 4 1 x x 433.9888218
b2h6 H B x x 6 2 x x 630.1688469
sih3f H F Si x 3 1 1 x 388.1349119
ph3 H P x x 3 1 x x 249.104514
c2h6 H C x x 6 2 x x 743.4888828
propane H C x x 8 3 x x 1054.864742
ch2-sing H C x x 2 1 x x 190.6555575
ch C H x x 1 1 x x 86.60133597
h2s H S x x 2 1 x x 190.9038592
hs S H x x 1 1 x x 92.10640421
c2h5f H C F x 5 2 1 x 763.546341
ch3nh2 H C N x 5 1 1 x 614.6451236
ch3f H F C x 3 1 1 x 447.8497805
propene H C x x 6 3 x x 907.7447726
nh3 H N x x 3 1 x x 313.0934543
ethanol H C O x 6 2 1 x 857.7255845
ch3nh H C N x 4 1 1 x 506.1459983
c2h4 H C x x 4 2 x x 592.3567044
methanol H C O x 4 1 1 x 543.1567009
hcl Cl H x x 1 1 x x 111.8451731
nh2 H N x x 2 1 x x 194.0999969
nh N H x x 1 1 x x 90.02784877
ch2nh2 H C N x 4 1 1 x 516.7133432
bhf2 F B H x 2 1 1 x 436.3048373
h2o H O x x 2 1 x x 245.2203683
hf F H x x 1 1 x x 149.0805038
ch2ch H C x x 3 2 x x 475.048297
oh O H x x 1 1 x x 114.3947929
propyne H C x x 4 3 x x 749.3352832
acetaldehyde H C O x 4 2 1 x 724.3269138
allene H C x x 4 3 x x 752.4717655
sif4 F Si x x 4 1 x x 601.9980907
bf3 F B x x 3 1 x x 505.1494977
c2h3f H C F x 3 2 1 x 616.4424743
oxirane H C O x 4 2 1 x 701.9554761
ch2f2 H F C x 2 2 1 x 474.9079029
alf3 F Al x x 3 1 x x 445.7209867
bef2 F Be x x 2 1 x x 326.4852476
ch2c C H x x 2 2 x x 383.6027469
n2h4 H N x x 4 2 x x 473.746333
ch2nh H C N x 3 1 1 x 469.2275926
alf Al F x x 1 1 x x 169.6266555
acetic H C O x 4 2 2 x 868.6810972
c2h2 C H x x 2 2 x x 430.0897065
h2co H O C x 2 1 1 x 402.389302
h2cn H C N x 2 1 1 x 372.1927194
bf F B x x 1 1 x x 195.0716476
becl2 Cl Be x x 2 1 x x 238.567767
t-hcoh H C O x 2 1 1 x 349.0901716
alcl3 Cl Al x x 3 1 x x 322.2647998
c-hcoh H C O x 2 1 1 x 344.5464053
alcl Al Cl x x 1 1 x x 126.2654095
ketene C H O x 2 2 1 x 583.0400637
sif F Si x x 1 1 x x 153.0644378
formic H O C x 2 2 1 x 549.6305413
hcnh H C N x 2 1 1 x 368.1897048
glyoxal C H O x 2 2 2 x 695.365847
hcof C O H F 1 1 1 1 446.4408383
nh2cl H N Cl x 2 1 1 x 272.4600475
cf4 F C x x 4 1 x x 540.4610093
hccf C H F x 2 1 1 x 439.7126403
hcn H C N x 1 1 1 x 337.1105492
hnc H N C x 1 1 1 x 322.8117537
cch C H x x 2 1 x x 288.5487726
hco O C H x 1 1 1 x 308.5062801
co C O x x 1 1 x x 279.3754213
oxirene C H O x 2 2 1 x 505.0305644
f2co F O C x 2 1 1 x 476.9524675
hocn C N O H 1 1 1 1 455.3728098
hooh H O x x 2 2 x x 300.9592775
t-n2h2 H N x x 2 2 x x 328.2047888
hnco C O N H 1 1 1 1 486.2257789
c-n2h2 H N x x 2 2 x x 323.0564729
cf2 F C x x 2 1 x x 295.0415547
co2 O C x x 2 1 x x 437.0433446
fccf F C x x 2 2 x x 443.2349146
dioxirane H O C x 2 2 1 x 460.269408
cf C F x x 1 1 x x 153.7160066
ssh S H x x 2 1 x x 185.2793996
hocl O H Cl x 1 1 1 x 188.9077476
nccn N C x x 2 2 x x 558.871362
n2 N x x x 2 x x x 250.2938913
n2h N H x x 2 1 x x 257.0997321
ocs O C S x 1 1 1 x 378.3429121
sio Si O x x 1 1 x x 205.5124231
clcn Cl C N x 1 1 1 x 321.5428436
hoo O H x x 2 1 x x 209.8759735
hcno C H N O 1 1 1 1 423.4376232
honc H O N C 1 1 1 1 397.9397478
hno N H O x 1 1 1 x 236.1771263
hof H O F x 1 1 1 x 186.4271028
c-hono O N H x 2 1 1 x 368.1920621
t-hono O N H x 2 1 1 x 368.7010768
cs2 S C x x 2 1 x x 318.3546599
hnnn N H x x 3 1 x x 391.6685679
cs C S x x 1 1 x x 188.0890375
cn C N x x 1 1 x x 204.454009
so3 O S x x 3 1 x x 406.8318223
ccl2 Cl C x x 2 1 x x 209.0365064
bn3pi B N x x 1 1 x x 126.9073556
so2 O S x x 2 1 x x 301.7484325
no N O x x 1 1 x x 181.1291149
so S O x x 1 1 x x 151.3368231
n2o N O x x 2 1 x x 328.7304554
c-hooo O H x x 3 1 x x 294.6117615
s2 S x x x 2 x x x 123.8501876
p4 P x x x 4 x x x 333.8483463
cl2 Cl x x x 2 x x x 73.60792986
o2 O x x x 2 x x x 155.8322653
f2 F x x x 2 x x x 62.30190113
t-hooo O H x x 3 1 x x 295.2505057
s2o S O x x 2 1 x x 247.6393088
p2 P x x x 2 x x x 129.2715842
clf Cl F x x 1 1 x x 81.3681563
no2 O N x x 2 1 x x 289.9190248
clo Cl O x x 1 1 x x 90.55105596
s3 S x x x 3 x x x 202.3568998
cl2o Cl O x x 2 1 x x 135.5910095
s4-c2v S x x x 4 x x x 284.5458706
of O F x x 1 1 x x 81.40122147
c2 C x x x 2 x x x 160.5733401
oclo O Cl x x 2 1 x x 182.3335914
f2o F O x x 2 1 x x 141.7648311
b2 B x x x 2 x x x 84.10734082
fo2 O F x x 2 1 x x 193.5552521
cloo O Cl x x 2 1 x x 178.3036876
foof F O x x 2 2 x x 232.8219846
o3 O x x x 3 x x x 206.9295573
bn B N x x 1 1 x x 122.6861419
be2 Be x x x 2 x x x 10.90107589
