xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1291.631623
pentane H C x x 12 5 x x 1582.204929
hexane H C x x 14 6 x x 1872.810863
heptane H C x x 16 7 x x 2163.387271
octane H C x x 18 8 x x 2453.973628
isobutane H C x x 10 4 x x 1292.824605
isopentane H C x x 12 5 x x 1582.52069
isohexane H C x x 14 6 x x 1873.03486
isoheptane H C x x 16 7 x x 2163.63554
isooctane H C x x 18 8 x x 2453.346354
neopentane H C x x 12 5 x x 1585.196886
neohexane H C x x 14 6 x x 1873.872251
neoheptane H C x x 16 7 x x 2164.296926
3methylpentane H C x x 14 6 x x 1872.021164
diisopropyl H C x x 14 6 x x 1872.322361
hexamethylethane H C x x 18 8 x x 2451.276172
h2 H x x x 2 x x x 114.5616555
alh3 H Al x x 3 1 x x 216.5245199
alh Al H x x 1 1 x x 73.9523719
sih4 H Si x x 4 1 x x 327.4571967
bh3 H B x x 3 1 x x 282.2493271
bh B H x x 1 1 x x 84.25297586
ch2-trip H C x x 2 1 x x 192.4223752
sih H Si x x 1 1 x x 75.37167841
si2h6 H Si x x 6 2 x x 538.0515074
ch3 H C x x 3 1 x x 309.972668
ch4 H C x x 4 1 x x 421.3862753
b2h6 H B x x 6 2 x x 608.1456215
sih3f H F Si x 3 1 1 x 375.1526191
ph3 H P x x 3 1 x x 247.4629269
c2h6 H C x x 6 2 x x 710.2704306
propane H C x x 8 3 x x 1000.959488
ch2-sing H C x x 2 1 x x 186.0843236
ch C H x x 1 1 x x 85.36929141
h2s H S x x 2 1 x x 186.7195389
hs S H x x 1 1 x x 90.42339556
c2h5f H C F x 5 2 1 x 714.4300334
ch3nh2 H C N x 5 1 1 x 580.8289709
ch3f H F C x 3 1 1 x 419.6682207
propene H C x x 6 3 x x 855.6825251
nh3 H N x x 3 1 x x 299.3035923
ethanol H C O x 6 2 1 x 802.9315077
ch3nh H C N x 4 1 1 x 477.8872853
c2h4 H C x x 4 2 x x 561.5675891
methanol H C O x 4 1 1 x 509.283
hcl Cl H x x 1 1 x x 108.1859494
nh2 H N x x 2 1 x x 186.9027006
nh N H x x 1 1 x x 86.84493623
ch2nh2 H C N x 4 1 1 x 483.6911923
bhf2 F B H x 2 1 1 x 396.2126399
h2o H O x x 2 1 x x 230.344098
hf F H x x 1 1 x x 138.7229668
ch2ch H C x x 3 2 x x 446.4676595
oh O H x x 1 1 x x 107.973198
propyne H C x x 4 3 x x 699.0277349
acetaldehyde H C O x 4 2 1 x 673.9530995
allene H C x x 4 3 x x 701.9451047
sif4 F Si x x 4 1 x x 537.6615863
bf3 F B x x 3 1 x x 446.8379906
c2h3f H C F x 3 2 1 x 568.578187
oxirane H C O x 4 2 1 x 650.4430867
ch2f2 H F C x 2 2 1 x 429.9775723
alf3 F Al x x 3 1 x x 402.5351463
bef2 F Be x x 2 1 x x 290.0113402
ch2c C H x x 2 2 x x 359.4630943
n2h4 H N x x 4 2 x x 439.5691758
ch2nh H C N x 3 1 1 x 440.0262679
alf Al F x x 1 1 x x 154.3959053
acetic H C O x 4 2 2 x 794.8284394
c2h2 C H x x 2 2 x x 401.283742
h2co H O C x 2 1 1 x 373.6897293
h2cn H C N x 2 1 1 x 347.5690515
bf F B x x 1 1 x x 176.161208
becl2 Cl Be x x 2 1 x x 216.3422433
t-hcoh H C O x 2 1 1 x 321.0331699
alcl3 Cl Al x x 3 1 x x 297.6374606
c-hcoh H C O x 2 1 1 x 316.7872736
alcl Al Cl x x 1 1 x x 117.4011305
ketene C H O x 2 2 1 x 533.5347429
sif F Si x x 1 1 x x 136.3779811
formic H O C x 2 2 1 x 497.0188564
hcnh H C N x 2 1 1 x 340.0536039
glyoxal C H O x 2 2 2 x 629.3888532
hcof C O H F 1 1 1 1 399.8056019
nh2cl H N Cl x 2 1 1 x 249.6271057
cf4 F C x x 4 1 x x 460.8598422
hccf C H F x 2 1 1 x 392.854534
hcn H C N x 1 1 1 x 312.1244653
hnc H N C x 1 1 1 x 297.5276493
cch C H x x 2 1 x x 262.5746167
hco O C H x 1 1 1 x 281.2933467
co C O x x 1 1 x x 256.2302857
oxirene C H O x 2 2 1 x 456.3685421
f2co F O C x 2 1 1 x 412.6490573
hocn C N O H 1 1 1 1 407.1010271
hooh H O x x 2 2 x x 268.6023629
t-n2h2 H N x x 2 2 x x 301.4219744
hnco C O N H 1 1 1 1 436.9546033
c-n2h2 H N x x 2 2 x x 296.5381556
cf2 F C x x 2 1 x x 255.9034596
co2 O C x x 2 1 x x 389.192662
fccf F C x x 2 2 x x 378.149808
dioxirane H O C x 2 2 1 x 413.2040192
cf C F x x 1 1 x x 134.3710644
ssh S H x x 2 1 x x 171.1790558
hocl O H Cl x 1 1 1 x 165.5590379
nccn N C x x 2 2 x x 500.7310155
n2 N x x x 2 x x x 229.8608238
n2h N H x x 2 1 x x 233.0278138
ocs O C S x 1 1 1 x 339.2756884
sio Si O x x 1 1 x x 186.0812771
clcn Cl C N x 1 1 1 x 285.5303888
hoo O H x x 2 1 x x 182.0940304
hcno C H N O 1 1 1 1 373.0822661
honc H O N C 1 1 1 1 351.6664874
hno N H O x 1 1 1 x 210.5176743
hof H O F x 1 1 1 x 160.414841
c-hono O N H x 2 1 1 x 320.4436474
t-hono O N H x 2 1 1 x 321.3092518
cs2 S C x x 2 1 x x 287.5167564
hnnn N H x x 3 1 x x 346.1957459
cs C S x x 1 1 x x 173.5507208
cn C N x x 1 1 x x 183.440968
so3 O S x x 3 1 x x 344.0448056
ccl2 Cl C x x 2 1 x x 182.1523134
bn3pi B N x x 1 1 x x 108.9821199
