xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1303.515428
pentane H C x x 12 5 x x 1598.524958
hexane H C x x 14 6 x x 1893.538183
heptane H C x x 16 7 x x 2188.571578
octane H C x x 18 8 x x 2483.584839
isobutane H C x x 10 4 x x 1304.743955
isopentane H C x x 12 5 x x 1599.398374
isohexane H C x x 14 6 x x 1894.388398
isoheptane H C x x 16 7 x x 2189.438883
isooctane H C x x 18 8 x x 2485.12993
neopentane H C x x 12 5 x x 1601.62939
neohexane H C x x 14 6 x x 1895.848466
neoheptane H C x x 16 7 x x 2190.805405
3methylpentane H C x x 14 6 x x 1893.94771
diisopropyl H C x x 14 6 x x 1894.665322
hexamethylethane H C x x 18 8 x x 2485.579462
h2 H x x x 2 x x x 108.3532525
alh3 H Al x x 3 1 x x 211.4197531
alh Al H x x 1 1 x x 72.50148683
sih4 H Si x x 4 1 x x 323.3340259
bh3 H B x x 3 1 x x 282.4801205
bh B H x x 1 1 x x 82.92219617
ch2-trip H C x x 2 1 x x 190.92488
sih H Si x x 1 1 x x 73.66872032
si2h6 H Si x x 6 2 x x 533.9253121
ch3 H C x x 3 1 x x 307.7890611
ch4 H C x x 4 1 x x 420.2935567
b2h6 H B x x 6 2 x x 613.9986241
sih3f H F Si x 3 1 1 x 379.4380264
ph3 H P x x 3 1 x x 243.7863122
c2h6 H C x x 6 2 x x 713.4512897
propane H C x x 8 3 x x 1008.508852
ch2-sing H C x x 2 1 x x 182.1562094
ch C H x x 1 1 x x 83.352703
h2s H S x x 2 1 x x 183.4916025
hs S H x x 1 1 x x 88.09943786
c2h5f H C F x 5 2 1 x 722.1768575
ch3nh2 H C N x 5 1 1 x 583.0348624
ch3f H F C x 3 1 1 x 423.2311971
propene H C x x 6 3 x x 862.7962287
nh3 H N x x 3 1 x x 297.5343842
ethanol H C O x 6 2 1 x 810.2929294
ch3nh H C N x 4 1 1 x 477.5440576
c2h4 H C x x 4 2 x x 564.5555794
methanol H C O x 4 1 1 x 512.3789952
hcl Cl H x x 1 1 x x 106.5314925
nh2 H N x x 2 1 x x 183.2607748
nh N H x x 1 1 x x 84.55851528
ch2nh2 H C N x 4 1 1 x 485.2280632
bhf2 F B H x 2 1 1 x 410.9004101
h2o H O x x 2 1 x x 229.9961272
hf F H x x 1 1 x x 139.2469974
ch2ch H C x x 3 2 x x 447.5796428
oh O H x x 1 1 x x 106.5162133
propyne H C x x 4 3 x x 706.5813556
acetaldehyde H C O x 4 2 1 x 678.3876309
allene H C x x 4 3 x x 707.8681037
sif4 F Si x x 4 1 x x 566.229334
bf3 F B x x 3 1 x x 469.3684325
c2h3f H C F x 3 2 1 x 575.553281
oxirane H C O x 4 2 1 x 654.2403939
ch2f2 H F C x 2 2 1 x 437.7723196
alf3 F Al x x 3 1 x x 421.1365855
bef2 F Be x x 2 1 x x 307.6814164
ch2c C H x x 2 2 x x 360.5955366
n2h4 H N x x 4 2 x x 439.6160893
ch2nh H C N x 3 1 1 x 440.2756695
alf Al F x x 1 1 x x 161.2469048
acetic H C O x 4 2 2 x 803.5342212
c2h2 C H x x 2 2 x x 404.8247702
h2co H O C x 2 1 1 x 374.094347
h2cn H C N x 2 1 1 x 346.4081183
bf F B x x 1 1 x x 181.8190647
becl2 Cl Be x x 2 1 x x 227.0349906
t-hcoh H C O x 2 1 1 x 321.3622699
alcl3 Cl Al x x 3 1 x x 307.8155439
c-hcoh H C O x 2 1 1 x 316.6696827
alcl Al Cl x x 1 1 x x 121.4568468
ketene C H O x 2 2 1 x 537.1230075
sif F Si x x 1 1 x x 142.3400269
formic H O C x 2 2 1 x 501.1276452
hcnh H C N x 2 1 1 x 338.9753219
glyoxal C H O x 2 2 2 x 634.5925507
hcof C O H F 1 1 1 1 403.922293
nh2cl H N Cl x 2 1 1 x 248.437268
cf4 F C x x 4 1 x x 477.1098372
hccf C H F x 2 1 1 x 400.3924418
hcn H C N x 1 1 1 x 312.4084077
hnc H N C x 1 1 1 x 298.9605139
cch C H x x 2 1 x x 263.9819541
hco O C H x 1 1 1 x 280.5399524
co C O x x 1 1 x x 257.4126771
oxirene C H O x 2 2 1 x 457.7258081
f2co F O C x 2 1 1 x 421.3928905
