xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1302.144025
pentane H C x x 12 5 x x 1596.73062
hexane H C x x 14 6 x x 1891.320456
heptane H C x x 16 7 x x 2185.931557
octane H C x x 18 8 x x 2480.525623
isobutane H C x x 10 4 x x 1303.175726
isopentane H C x x 12 5 x x 1597.225503
isohexane H C x x 14 6 x x 1891.78287
isoheptane H C x x 16 7 x x 2186.41465
isooctane H C x x 18 8 x x 2480.669721
neopentane H C x x 12 5 x x 1599.200965
neohexane H C x x 14 6 x x 1892.64591
neoheptane H C x x 16 7 x x 2187.164537
3methylpentane H C x x 14 6 x x 1891.140455
diisopropyl H C x x 14 6 x x 1891.51803
hexamethylethane H C x x 18 8 x x 2479.923873
h2 H x x x 2 x x x 108.3529176
alh3 H Al x x 3 1 x x 211.3989452
alh Al H x x 1 1 x x 72.4990567
sih4 H Si x x 4 1 x x 323.1294888
bh3 H B x x 3 1 x x 282.1292858
bh B H x x 1 1 x x 82.92163692
ch2-trip H C x x 2 1 x x 190.8182518
sih H Si x x 1 1 x x 73.66762794
si2h6 H Si x x 6 2 x x 533.4924399
ch3 H C x x 3 1 x x 307.5783267
ch4 H C x x 4 1 x x 420.0345684
b2h6 H B x x 6 2 x x 612.280921
sih3f H F Si x 3 1 1 x 379.2405873
ph3 H P x x 3 1 x x 243.4345974
c2h6 H C x x 6 2 x x 712.9347695
propane H C x x 8 3 x x 1007.549996
ch2-sing H C x x 2 1 x x 182.1245775
ch C H x x 1 1 x x 83.35230878
h2s H S x x 2 1 x x 183.3998883
hs S H x x 1 1 x x 88.09920182
c2h5f H C F x 5 2 1 x 721.804025
ch3nh2 H C N x 5 1 1 x 582.6694833
ch3f H F C x 3 1 1 x 423.1857325
propene H C x x 6 3 x x 862.2257423
nh3 H N x x 3 1 x x 297.4849522
ethanol H C O x 6 2 1 x 809.8099986
ch3nh H C N x 4 1 1 x 477.25135
c2h4 H C x x 4 2 x x 564.3040829
methanol H C O x 4 1 1 x 512.1869849
hcl Cl H x x 1 1 x x 106.5314688
nh2 H N x x 2 1 x x 183.2456416
nh N H x x 1 1 x x 84.55814962
ch2nh2 H C N x 4 1 1 x 484.9894807
bhf2 F B H x 2 1 1 x 410.9439856
h2o H O x x 2 1 x x 229.9874828
hf F H x x 1 1 x x 139.2467489
ch2ch H C x x 3 2 x x 447.4421086
oh O H x x 1 1 x x 106.5160124
propyne H C x x 4 3 x x 706.3078656
acetaldehyde H C O x 4 2 1 x 678.1740721
allene H C x x 4 3 x x 707.6279014
sif4 F Si x x 4 1 x x 565.9844552
bf3 F B x x 3 1 x x 469.4052594
c2h3f H C F x 3 2 1 x 575.4232028
oxirane H C O x 4 2 1 x 653.997145
ch2f2 H F C x 2 2 1 x 437.8571991
alf3 F Al x x 3 1 x x 420.9208127
bef2 F Be x x 2 1 x x 307.6088629
ch2c C H x x 2 2 x x 360.503436
n2h4 H N x x 4 2 x x 439.3997927
ch2nh H C N x 3 1 1 x 440.0904807
alf Al F x x 1 1 x x 161.2461301
acetic H C O x 4 2 2 x 803.3878058
c2h2 C H x x 2 2 x x 404.7445085
h2co H O C x 2 1 1 x 374.0654719
h2cn H C N x 2 1 1 x 346.3136844
bf F B x x 1 1 x x 181.8185825
becl2 Cl Be x x 2 1 x x 227.0759959
t-hcoh H C O x 2 1 1 x 321.3668511
alcl3 Cl Al x x 3 1 x x 307.9359933
c-hcoh H C O x 2 1 1 x 316.5641186
alcl Al Cl x x 1 1 x x 121.4585952
ketene C H O x 2 2 1 x 537.0542372
sif F Si x x 1 1 x x 142.3398157
formic H O C x 2 2 1 x 501.1858673
hcnh H C N x 2 1 1 x 338.9524548
glyoxal C H O x 2 2 2 x 634.6313807
hcof C O H F 1 1 1 1 404.0034878
nh2cl H N Cl x 2 1 1 x 248.4753461
cf4 F C x x 4 1 x x 477.2029848
hccf C H F x 2 1 1 x 400.3798278
hcn H C N x 1 1 1 x 312.3735027
hnc H N C x 1 1 1 x 298.9429776
cch C H x x 2 1 x x 263.9486528
hco O C H x 1 1 1 x 280.5620404
co C O x x 1 1 x x 257.4124736
oxirene C H O x 2 2 1 x 457.6142808
f2co F O C x 2 1 1 x 421.468581
hocn C N O H 1 1 1 1 410.4960601
hooh H O x x 2 2 x x 265.7498531
t-n2h2 H N x x 2 2 x x 297.0160985
hnco C O N H 1 1 1 1 438.7185162
c-n2h2 H N x x 2 2 x x 291.5076595
cf2 F C x x 2 1 x x 259.2309829
co2 O C x x 2 1 x x 391.04971
fccf F C x x 2 2 x x 390.3579831
dioxirane H O C x 2 2 1 x 409.0775595
cf C F x x 1 1 x x 134.628928
ssh S H x x 2 1 x x 168.4243839
hocl O H Cl x 1 1 1 x 164.768137
nccn N C x x 2 2 x x 503.4612296
n2 N x x x 2 x x x 227.1741906
n2h N H x x 2 1 x x 228.2681044
ocs O C S x 1 1 1 x 338.8060859
sio Si O x x 1 1 x x 188.4953411
clcn Cl C N x 1 1 1 x 286.5759985
hoo O H x x 2 1 x x 176.5222051
hcno C H N O 1 1 1 1 369.1134033
honc H O N C 1 1 1 1 351.7176773
hno N H O x 1 1 1 x 204.3146812
hof H O F x 1 1 1 x 156.1004464
c-hono O N H x 2 1 1 x 311.4297089
t-hono O N H x 2 1 1 x 311.7923262
cs2 S C x x 2 1 x x 284.7607405
hnnn N H x x 3 1 x x 337.5034981
cs C S x x 1 1 x x 170.1694426
cn C N x x 1 1 x x 178.0150776
so3 O S x x 3 1 x x 341.8591294
ccl2 Cl C x x 2 1 x x 178.6464997
bn3pi B N x x 1 1 x x 108.4344137
so2 O S x x 2 1 x x 256.5509443
no N O x x 1 1 x x 153.5500383
so S O x x 1 1 x x 128.4614665
n2o N O x x 2 1 x x 273.903658
c-hooo O H x x 3 1 x x 232.098155
s2 S x x x 2 x x x 108.373936
p4 P x x x 4 x x x 301.7672025
cl2 Cl x x x 2 x x x 60.35945813
o2 O x x x 2 x x x 123.5572531
