xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1302.499019
pentane H C x x 12 5 x x 1597.123637
hexane H C x x 14 6 x x 1891.750247
heptane H C x x 16 7 x x 2186.398144
octane H C x x 18 8 x x 2481.030149
isobutane H C x x 10 4 x x 1303.474702
isopentane H C x x 12 5 x x 1597.576743
isohexane H C x x 14 6 x x 1892.174849
isoheptane H C x x 16 7 x x 2186.842311
isooctane H C x x 18 8 x x 2481.009371
neopentane H C x x 12 5 x x 1599.415633
neohexane H C x x 14 6 x x 1892.925944
neoheptane H C x x 16 7 x x 2187.486797
3methylpentane H C x x 14 6 x x 1891.563962
diisopropyl H C x x 14 6 x x 1891.878533
hexamethylethane H C x x 18 8 x x 2480.132565
h2 H x x x 2 x x x 108.371033
alh3 H Al x x 3 1 x x 211.6405631
alh Al H x x 1 1 x x 72.65544608
sih4 H Si x x 4 1 x x 323.3458327
bh3 H B x x 3 1 x x 282.2627131
bh B H x x 1 1 x x 82.99867606
ch2-trip H C x x 2 1 x x 190.91927
sih H Si x x 1 1 x x 73.80263174
si2h6 H Si x x 6 2 x x 534.4616712
ch3 H C x x 3 1 x x 307.7387988
ch4 H C x x 4 1 x x 420.2529344
b2h6 H B x x 6 2 x x 612.6305072
sih3f H F Si x 3 1 1 x 379.3317418
ph3 H P x x 3 1 x x 243.7356974
c2h6 H C x x 6 2 x x 713.2216385
propane H C x x 8 3 x x 1007.863114
ch2-sing H C x x 2 1 x x 182.2377367
ch C H x x 1 1 x x 83.41343919
h2s H S x x 2 1 x x 183.6005285
hs S H x x 1 1 x x 88.20007627
c2h5f H C F x 5 2 1 x 721.9026876
ch3nh2 H C N x 5 1 1 x 582.9279455
ch3f H F C x 3 1 1 x 423.2229958
propene H C x x 6 3 x x 862.7521822
nh3 H N x x 3 1 x x 297.6393168
ethanol H C O x 6 2 1 x 809.9556917
ch3nh H C N x 4 1 1 x 477.5382736
c2h4 H C x x 4 2 x x 564.6583703
methanol H C O x 4 1 1 x 512.3023731
hcl Cl H x x 1 1 x x 106.616528
nh2 H N x x 2 1 x x 183.3443267
nh N H x x 1 1 x x 84.60302477
ch2nh2 H C N x 4 1 1 x 485.283782
bhf2 F B H x 2 1 1 x 410.9182949
h2o H O x x 2 1 x x 230.0627685
hf F H x x 1 1 x x 139.2707653
ch2ch H C x x 3 2 x x 447.7716683
oh O H x x 1 1 x x 106.5495607
propyne H C x x 4 3 x x 706.8882124
acetaldehyde H C O x 4 2 1 x 678.4562851
allene H C x x 4 3 x x 708.269866
sif4 F Si x x 4 1 x x 566.0795211
bf3 F B x x 3 1 x x 469.5126301
c2h3f H C F x 3 2 1 x 575.6702371
oxirane H C O x 4 2 1 x 654.217684
ch2f2 H F C x 2 2 1 x 437.8393581
alf3 F Al x x 3 1 x x 421.1413304
bef2 F Be x x 2 1 x x 307.7117385
ch2c C H x x 2 2 x x 360.8368485
n2h4 H N x x 4 2 x x 439.6333269
ch2nh H C N x 3 1 1 x 440.3852022
alf Al F x x 1 1 x x 161.4257926
acetic H C O x 4 2 2 x 803.6433472
c2h2 C H x x 2 2 x x 405.0079889
h2co H O C x 2 1 1 x 374.2120912
h2cn H C N x 2 1 1 x 346.575156
bf F B x x 1 1 x x 181.9141656
becl2 Cl Be x x 2 1 x x 227.6774393
t-hcoh H C O x 2 1 1 x 321.5533711
alcl3 Cl Al x x 3 1 x x 309.2783223
c-hcoh H C O x 2 1 1 x 316.7547172
alcl Al Cl x x 1 1 x x 122.1557281
ketene C H O x 2 2 1 x 537.4182109
sif F Si x x 1 1 x x 142.5027813
formic H O C x 2 2 1 x 501.3451883
hcnh H C N x 2 1 1 x 339.2132098
glyoxal C H O x 2 2 2 x 634.885155
hcof C O H F 1 1 1 1 404.1186151
nh2cl H N Cl x 2 1 1 x 248.7854338
cf4 F C x x 4 1 x x 477.3623323
hccf C H F x 2 1 1 x 400.6104557
hcn H C N x 1 1 1 x 312.5518602
hnc H N C x 1 1 1 x 299.1540491
cch C H x x 2 1 x x 264.1827739
hco O C H x 1 1 1 x 280.6835461
co C O x x 1 1 x x 257.5260246
oxirene C H O x 2 2 1 x 457.8313571
f2co F O C x 2 1 1 x 421.6581388
hocn C N O H 1 1 1 1 410.7243654
hooh H O x x 2 2 x x 265.8344442
t-n2h2 H N x x 2 2 x x 297.2442931
hnco C O N H 1 1 1 1 438.992402
c-n2h2 H N x x 2 2 x x 291.7492493
cf2 F C x x 2 1 x x 259.3710329
co2 O C x x 2 1 x x 391.2494779
fccf F C x x 2 2 x x 390.5692642
dioxirane H O C x 2 2 1 x 409.2106005
cf C F x x 1 1 x x 134.7091558
ssh S H x x 2 1 x x 169.0610734
hocl O H Cl x 1 1 1 x 164.9801059
nccn N C x x 2 2 x x 503.9699064
n2 N x x x 2 x x x 227.2882402
n2h N H x x 2 1 x x 228.4489623
ocs O C S x 1 1 1 x 339.2708595
sio Si O x x 1 1 x x 188.7328034
clcn Cl C N x 1 1 1 x 286.9632239
hoo O H x x 2 1 x x 176.6192764
hcno C H N O 1 1 1 1 369.3868468
honc H O N C 1 1 1 1 351.9427289
hno N H O x 1 1 1 x 204.4451424
hof H O F x 1 1 1 x 156.1583196
c-hono O N H x 2 1 1 x 311.6345622
t-hono O N H x 2 1 1 x 312.0015013
cs2 S C x x 2 1 x x 285.6741162
hnnn N H x x 3 1 x x 337.8055823
cs C S x x 1 1 x x 170.5124274
cn C N x x 1 1 x x 178.1678547
so3 O S x x 3 1 x x 342.3539428
ccl2 Cl C x x 2 1 x x 179.3915643
bn3pi B N x x 1 1 x x 108.6230027
so2 O S x x 2 1 x x 256.8966343
no N O x x 1 1 x x 153.6365125
so S O x x 1 1 x x 128.6483609
n2o N O x x 2 1 x x 274.1030691
c-hooo O H x x 3 1 x x 232.2074891
s2 S x x x 2 x x x 108.9317021
p4 P x x x 4 x x x 305.4902773
cl2 Cl x x x 2 x x x 60.75395768
o2 O x x x 2 x x x 123.6241579
f2 F x x x 2 x x x 35.87835536
t-hooo O H x x 3 1 x x 231.5755845
s2o S O x x 2 1 x x 208.3398827
p2 P x x x 2 x x x 118.184854
clf Cl F x x 1 1 x x 62.98478129
no2 O N x x 2 1 x x 231.3426033
clo Cl O x x 1 1 x x 67.87930507
s3 S x x x 3 x x x 170.80211
cl2o Cl O x x 2 1 x x 101.4288868
s4-c2v S x x x 4 x x x 238.4816472
of O F x x 1 1 x x 54.24464932
c2 C x x x 2 x x x 136.7160292
oclo O Cl x x 2 1 x x 129.2919804
f2o F O x x 2 1 x x 92.10398573
b2 B x x x 2 x x x 62.55143682
fo2 O F x x 2 1 x x 133.038646
cloo O Cl x x 2 1 x x 126.7294857
foof F O x x 2 2 x x 149.1825851
o3 O x x x 3 x x x 137.7880175
bn B N x x 1 1 x x 103.774736
be2 Be x x x 2 x x x 5.133404935
C4H4 C H x x 4 4 x x 806.9190028
C6H6 C H x x 6 6 x x 1266.771487
C8H8 C H x x 8 8 x x 1717.82828
C10H10 C H x x 10 10 x x 2205.824506
C12H12 C H x x 12 12 x x 2727.916955
C20H20 C H x x 20 20 x x 4623.009682
