xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1303.715662
pentane H C x x 12 5 x x 1598.698214
hexane H C x x 14 6 x x 1893.682162
heptane H C x x 16 7 x x 2188.687397
octane H C x x 18 8 x x 2483.676183
isobutane H C x x 10 4 x x 1304.770779
isopentane H C x x 12 5 x x 1599.253538
isohexane H C x x 14 6 x x 1894.202784
isoheptane H C x x 16 7 x x 2189.225009
isooctane H C x x 18 8 x x 2483.996613
neopentane H C x x 12 5 x x 1601.227695
neohexane H C x x 14 6 x x 1895.138322
neoheptane H C x x 16 7 x x 2190.042597
3methylpentane H C x x 14 6 x x 1893.617426
diisopropyl H C x x 14 6 x x 1894.032885
hexamethylethane H C x x 18 8 x x 2483.403185
h2 H x x x 2 x x x 108.3810305
alh3 H Al x x 3 1 x x 211.9240297
alh Al H x x 1 1 x x 72.79443319
sih4 H Si x x 4 1 x x 323.734694
bh3 H B x x 3 1 x x 282.40146
bh B H x x 1 1 x x 83.05515457
ch2-trip H C x x 2 1 x x 190.9972254
sih H Si x x 1 1 x x 73.91492573
si2h6 H Si x x 6 2 x x 535.7916772
ch3 H C x x 3 1 x x 307.8629672
ch4 H C x x 4 1 x x 420.4172469
b2h6 H B x x 6 2 x x 613.2299186
sih3f H F Si x 3 1 1 x 379.7598504
ph3 H P x x 3 1 x x 244.0144179
c2h6 H C x x 6 2 x x 713.7015684
propane H C x x 8 3 x x 1008.720872
ch2-sing H C x x 2 1 x x 182.3161923
ch C H x x 1 1 x x 83.45498458
h2s H S x x 2 1 x x 183.7616227
hs S H x x 1 1 x x 88.27755666
c2h5f H C F x 5 2 1 x 722.4187775
ch3nh2 H C N x 5 1 1 x 583.3081095
ch3f H F C x 3 1 1 x 423.4127318
propene H C x x 6 3 x x 863.4951397
nh3 H N x x 3 1 x x 297.7396305
ethanol H C O x 6 2 1 x 810.5718949
ch3nh H C N x 4 1 1 x 477.8630328
c2h4 H C x x 4 2 x x 565.0423627
methanol H C O x 4 1 1 x 512.5774441
hcl Cl H x x 1 1 x x 106.6797324
nh2 H N x x 2 1 x x 183.4076928
nh N H x x 1 1 x x 84.63163784
ch2nh2 H C N x 4 1 1 x 485.6141796
bhf2 F B H x 2 1 1 x 411.1086639
h2o H O x x 2 1 x x 230.109775
