xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1300.101259
pentane H C x x 12 5 x x 1593.872337
hexane H C x x 14 6 x x 1887.63842
heptane H C x x 16 7 x x 2181.422608
octane H C x x 18 8 x x 2475.190566
isobutane H C x x 10 4 x x 1300.915552
isopentane H C x x 12 5 x x 1594.016665
isohexane H C x x 14 6 x x 1887.716297
isoheptane H C x x 16 7 x x 2181.501138
isooctane H C x x 18 8 x x 2473.69852
neopentane H C x x 12 5 x x 1595.633164
neohexane H C x x 14 6 x x 1887.969155
neoheptane H C x x 16 7 x x 2181.58254
3methylpentane H C x x 14 6 x x 1886.977873
diisopropyl H C x x 14 6 x x 1887.060396
hexamethylethane H C x x 18 8 x x 2472.10487
h2 H x x x 2 x x x 108.3529102
alh3 H Al x x 3 1 x x 211.2913375
alh Al H x x 1 1 x x 72.49746382
sih4 H Si x x 4 1 x x 322.829873
bh3 H B x x 3 1 x x 282.0564168
bh B H x x 1 1 x x 82.92125235
ch2-trip H C x x 2 1 x x 190.8000459
sih H Si x x 1 1 x x 73.66706667
si2h6 H Si x x 6 2 x x 532.5803255
ch3 H C x x 3 1 x x 307.5437154
ch4 H C x x 4 1 x x 419.9876643
b2h6 H B x x 6 2 x x 611.700356
sih3f H F Si x 3 1 1 x 378.7716717
ph3 H P x x 3 1 x x 243.3615204
c2h6 H C x x 6 2 x x 712.4152093
propane H C x x 8 3 x x 1006.291825
ch2-sing H C x x 2 1 x x 182.1182476
ch C H x x 1 1 x x 83.35213163
h2s H S x x 2 1 x x 183.3839819
hs S H x x 1 1 x x 88.09861631
c2h5f H C F x 5 2 1 x 721.0374757
ch3nh2 H C N x 5 1 1 x 582.2941921
ch3f H F C x 3 1 1 x 422.92288
propene H C x x 6 3 x x 861.4620313
nh3 H N x x 3 1 x x 297.4736224
ethanol H C O x 6 2 1 x 808.8780572
ch3nh H C N x 4 1 1 x 477.0171111
c2h4 H C x x 4 2 x x 564.0623401
methanol H C O x 4 1 1 x 511.8548898
hcl Cl H x x 1 1 x x 106.5307346
nh2 H N x x 2 1 x x 183.2420697
nh N H x x 1 1 x x 84.55804625
ch2nh2 H C N x 4 1 1 x 484.7503206
bhf2 F B H x 2 1 1 x 410.6468251
h2o H O x x 2 1 x x 229.9850845
hf F H x x 1 1 x x 139.246592
ch2ch H C x x 3 2 x x 447.299728
oh O H x x 1 1 x x 106.5158476
propyne H C x x 4 3 x x 705.9527354
acetaldehyde H C O x 4 2 1 x 677.6274486
allene H C x x 4 3 x x 707.2946818
sif4 F Si x x 4 1 x x 565.3395289
bf3 F B x x 3 1 x x 469.1967276
c2h3f H C F x 3 2 1 x 575.0264283
oxirane H C O x 4 2 1 x 653.4649779
ch2f2 H F C x 2 2 1 x 437.496459
alf3 F Al x x 3 1 x x 420.6663901
bef2 F Be x x 2 1 x x 307.5150423
ch2c C H x x 2 2 x x 360.4431567
n2h4 H N x x 4 2 x x 439.154388
ch2nh H C N x 3 1 1 x 439.9569862
alf Al F x x 1 1 x x 161.2440419
acetic H C O x 4 2 2 x 802.5314711
c2h2 C H x x 2 2 x x 404.6523262
h2co H O C x 2 1 1 x 373.9436737
h2cn H C N x 2 1 1 x 346.2553323
bf F B x x 1 1 x x 181.8182122
becl2 Cl Be x x 2 1 x x 226.7852162
t-hcoh H C O x 2 1 1 x 321.2919053
alcl3 Cl Al x x 3 1 x x 307.0534057
c-hcoh H C O x 2 1 1 x 316.4916017
alcl Al Cl x x 1 1 x x 121.4479441
ketene C H O x 2 2 1 x 536.8396493
sif F Si x x 1 1 x x 142.33835
formic H O C x 2 2 1 x 500.882964
hcnh H C N x 2 1 1 x 338.8941926
glyoxal C H O x 2 2 2 x 634.0364106
hcof C O H F 1 1 1 1 403.8110903
nh2cl H N Cl x 2 1 1 x 248.3470628
cf4 F C x x 4 1 x x 476.9098958
hccf C H F x 2 1 1 x 400.2178191
hcn H C N x 1 1 1 x 312.3298688
hnc H N C x 1 1 1 x 298.9087193
cch C H x x 2 1 x x 263.8996373
hco O C H x 1 1 1 x 280.5037258
co C O x x 1 1 x x 257.4122494
oxirene C H O x 2 2 1 x 457.2905326
f2co F O C x 2 1 1 x 421.3035263
hocn C N O H 1 1 1 1 410.3206022
hooh H O x x 2 2 x x 265.6436544
t-n2h2 H N x x 2 2 x x 296.9594355
hnco C O N H 1 1 1 1 438.5796008
c-n2h2 H N x x 2 2 x x 291.4628508
cf2 F C x x 2 1 x x 259.1950481
co2 O C x x 2 1 x x 390.9932221
fccf F C x x 2 2 x x 390.1363678
dioxirane H O C x 2 2 1 x 408.8025291
cf C F x x 1 1 x x 134.6282528
ssh S H x x 2 1 x x 168.3184153
hocl O H Cl x 1 1 1 x 164.7221191
nccn N C x x 2 2 x x 503.2659582
n2 N x x x 2 x x x 227.174074
n2h N H x x 2 1 x x 228.2549413
ocs O C S x 1 1 1 x 338.7178589
sio Si O x x 1 1 x x 188.4942936
clcn Cl C N x 1 1 1 x 286.3996481
hoo O H x x 2 1 x x 176.4955231
hcno C H N O 1 1 1 1 368.9792515
honc H O N C 1 1 1 1 351.5075749
hno N H O x 1 1 1 x 204.2876836
hof H O F x 1 1 1 x 156.058614
c-hono O N H x 2 1 1 x 311.3161123
t-hono O N H x 2 1 1 x 311.6871264
cs2 S C x x 2 1 x x 284.6158769
