xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 105.2000626
alh3 H Al x x 3 1 x x 205.3676702
alh Al H x x 1 1 x x 69.81441694
sih4 H Si x x 4 1 x x 315.8411606
bh3 H B x x 3 1 x x 279.932505
bh B H x x 1 1 x x 81.94796491
ch2-trip H C x x 2 1 x x 195.2167201
sih H Si x x 1 1 x x 72.4121364
si2h6 H Si x x 6 2 x x 523.8262246
ch3 H C x x 3 1 x x 310.9717505
ch4 H C x x 4 1 x x 421.3295
b2h6 H B x x 6 2 x x 610.8530078
sih3f H F Si x 3 1 1 x 376.2926194
ph3 H P x x 3 1 x x 240.7228478
c2h6 H C x x 6 2 x x 718.6815138
propane H C x x 8 3 x x 1017.543507
ch2-sing H C x x 2 1 x x 186.1517143
ch C H x x 1 1 x x 85.04928039
h2s H S x x 2 1 x x 182.9177293
hs S H x x 1 1 x x 88.46038614
c2h5f H C F x 5 2 1 x 733.8588198
ch3nh2 H C N x 5 1 1 x 592.5825938
ch3f H F C x 3 1 1 x 430.6478191
propene H C x x 6 3 x x 875.4872867
nh3 H N x x 3 1 x x 302.9633464
ethanol H C O x 6 2 1 x 823.6847647
ch3nh H C N x 4 1 1 x 488.7167448
c2h4 H C x x 4 2 x x 572.7855632
methanol H C O x 4 1 1 x 521.6629623
hcl Cl H x x 1 1 x x 106.7758253
nh2 H N x x 2 1 x x 189.2515776
nh N H x x 1 1 x x 88.74614129
ch2nh2 H C N x 4 1 1 x 497.606615
bhf2 F B H x 2 1 1 x 420.0409368
h2o H O x x 2 1 x x 235.1847167
hf F H x x 1 1 x x 142.6484686
ch2ch H C x x 3 2 x x 458.7426211
oh O H x x 1 1 x x 110.3547211
propyne H C x x 4 3 x x 721.9706752
acetaldehyde H C O x 4 2 1 x 695.8101851
allene H C x x 4 3 x x 724.9507896
sif4 F Si x x 4 1 x x 576.1508898
bf3 F B x x 3 1 x x 483.4123518
c2h3f H C F x 3 2 1 x 591.1742625
oxirane H C O x 4 2 1 x 670.8790633
ch2f2 H F C x 2 2 1 x 451.9397431
alf3 F Al x x 3 1 x x 430.722691
bef2 F Be x x 2 1 x x 318.1020234
ch2c C H x x 2 2 x x 370.0000439
n2h4 H N x x 4 2 x x 454.298286
ch2nh H C N x 3 1 1 x 452.8466985
alf Al F x x 1 1 x x 164.3839889
acetic H C O x 4 2 2 x 829.5245462
c2h2 C H x x 2 2 x x 415.3297253
h2co H O C x 2 1 1 x 386.6195998
h2cn H C N x 2 1 1 x 359.981224
bf F B x x 1 1 x x 187.5467749
becl2 Cl Be x x 2 1 x x 231.0384257
t-hcoh H C O x 2 1 1 x 333.0999691
alcl3 Cl Al x x 3 1 x x 308.2634708
c-hcoh H C O x 2 1 1 x 328.6525194
alcl Al Cl x x 1 1 x x 121.5411744
ketene C H O x 2 2 1 x 558.54013
sif F Si x x 1 1 x x 146.9358924
formic H O C x 2 2 1 x 523.2119894
hcnh H C N x 2 1 1 x 354.5667732
glyoxal C H O x 2 2 2 x 663.8832899
hcof C O H F 1 1 1 1 424.366359
nh2cl H N Cl x 2 1 1 x 259.0540622
cf4 F C x x 4 1 x x 503.752806
hccf C H F x 2 1 1 x 418.6692242
hcn H C N x 1 1 1 x 326.2580506
hnc H N C x 1 1 1 x 311.4722072
cch C H x x 2 1 x x 277.0405165
hco O C H x 1 1 1 x 295.4359102
co C O x x 1 1 x x 268.8034016
oxirene C H O x 2 2 1 x 479.7306074
f2co F O C x 2 1 1 x 448.1127694
hocn C N O H 1 1 1 1 434.1322586
hooh H O x x 2 2 x x 283.1903467
t-n2h2 H N x x 2 2 x x 314.8228379
hnco C O N H 1 1 1 1 464.5043401
c-n2h2 H N x x 2 2 x x 309.7448614
cf2 F C x x 2 1 x x 276.8097828
co2 O C x x 2 1 x x 415.9116402
fccf F C x x 2 2 x x 416.1577266
dioxirane H O C x 2 2 1 x 434.0681892
cf C F x x 1 1 x x 145.1966142
ssh S H x x 2 1 x x 174.030222
hocl O H Cl x 1 1 1 x 176.0565661
nccn N C x x 2 2 x x 537.6870235
n2 N x x x 2 x x x 242.869753
n2h N H x x 2 1 x x 246.9915595
ocs O C S x 1 1 1 x 359.2735815
sio Si O x x 1 1 x x 197.5370746
clcn Cl C N x 1 1 1 x 306.1100407
hoo O H x x 2 1 x x 195.4294384
hcno C H N O 1 1 1 1 400.6858674
honc H O N C 1 1 1 1 376.5328602
hno N H O x 1 1 1 x 223.4583071
hof H O F x 1 1 1 x 173.0558048
c-hono O N H x 2 1 1 x 344.6878706
t-hono O N H x 2 1 1 x 345.5771745
cs2 S C x x 2 1 x x 301.1592379
hnnn N H x x 3 1 x x 372.2343577
cs C S x x 1 1 x x 179.3728182
cn C N x x 1 1 x x 196.8226094
so3 O S x x 3 1 x x 375.2801835
ccl2 Cl C x x 2 1 x x 193.920892
bn3pi B N x x 1 1 x x 122.9304133
so2 O S x x 2 1 x x 280.9808226
no N O x x 1 1 x x 171.4773565
so S O x x 1 1 x x 141.4172333
n2o N O x x 2 1 x x 309.4647211
c-hooo O H x x 3 1 x x 270.9087217
s2 S x x x 2 x x x 115.3666797
p4 P x x x 4 x x x 308.7287678
cl2 Cl x x x 2 x x x 65.8426792
o2 O x x x 2 x x x 143.1334458
f2 F x x x 2 x x x 53.14758684
t-hooo O H x x 3 1 x x 272.0893024
s2o S O x x 2 1 x x 228.9100991
p2 P x x x 2 x x x 122.4274649
clf Cl F x x 1 1 x x 72.69101361
no2 O N x x 2 1 x x 268.8738546
clo Cl O x x 1 1 x x 81.46368791
s3 S x x x 3 x x x 185.6205561
cl2o Cl O x x 2 1 x x 119.8930964
s4-c2v S x x x 4 x x x 259.8193618
of O F x x 1 1 x x 71.99410626
c2 C x x x 2 x x x 153.9987594
oclo O Cl x x 2 1 x x 161.1509989
f2o F O x x 2 1 x x 123.8364747
b2 B x x x 2 x x x 79.4908997
fo2 O F x x 2 1 x x 174.6963642
cloo O Cl x x 2 1 x x 161.0867497
foof F O x x 2 2 x x 206.2597903
o3 O x x x 3 x x x 184.2137472
bn B N x x 1 1 x x 118.46985
be2 Be x x x 2 x x x 9.796208058
