xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1296.70964
pentane H C x x 12 5 x x 1590.323995
hexane H C x x 14 6 x x 1883.93286
heptane H C x x 16 7 x x 2177.574306
octane H C x x 18 8 x x 2471.192734
isobutane H C x x 10 4 x x 1297.73914
isopentane H C x x 12 5 x x 1590.781317
isohexane H C x x 14 6 x x 1884.349626
isoheptane H C x x 16 7 x x 2178.001841
isooctane H C x x 18 8 x x 2471.027294
neopentane H C x x 12 5 x x 1592.768333
neohexane H C x x 14 6 x x 1885.16977
neoheptane H C x x 16 7 x x 2178.686344
3methylpentane H C x x 14 6 x x 1883.67592
diisopropyl H C x x 14 6 x x 1884.059325
hexamethylethane H C x x 18 8 x x 2470.246431
h2 H x x x 2 x x x 106.5189157
alh3 H Al x x 3 1 x x 210.9048137
alh Al H x x 1 1 x x 71.68062184
sih4 H Si x x 4 1 x x 322.552777
bh3 H B x x 3 1 x x 281.3088444
bh B H x x 1 1 x x 81.92896251
ch2-trip H C x x 2 1 x x 189.6397876
sih H Si x x 1 1 x x 72.7639974
si2h6 H Si x x 6 2 x x 533.5079851
ch3 H C x x 3 1 x x 305.5623982
ch4 H C x x 4 1 x x 417.4860583
b2h6 H B x x 6 2 x x 611.0320539
sih3f H F Si x 3 1 1 x 377.0631594
ph3 H P x x 3 1 x x 241.1229585
c2h6 H C x x 6 2 x x 709.4449669
propane H C x x 8 3 x x 1003.110141
ch2-sing H C x x 2 1 x x 179.913077
ch C H x x 1 1 x x 81.56498145
h2s H S x x 2 1 x x 181.7611701
hs S H x x 1 1 x x 87.05424427
c2h5f H C F x 5 2 1 x 715.949819
ch3nh2 H C N x 5 1 1 x 575.9798026
ch3f H F C x 3 1 1 x 418.2490793
propene H C x x 6 3 x x 856.3274156
nh3 H N x x 3 1 x x 291.9014667
ethanol H C O x 6 2 1 x 802.5982717
ch3nh H C N x 4 1 1 x 470.9101133
c2h4 H C x x 4 2 x x 559.3949355
methanol H C O x 4 1 1 x 505.8673586
hcl Cl H x x 1 1 x x 105.6738586
nh2 H N x x 2 1 x x 178.5227747
nh N H x x 1 1 x x 81.58598293
ch2nh2 H C N x 4 1 1 x 478.052187
bhf2 F B H x 2 1 1 x 406.3010925
h2o H O x x 2 1 x x 225.033605
hf F H x x 1 1 x x 135.9008934
ch2ch H C x x 3 2 x x 442.5593419
oh O H x x 1 1 x x 103.4574519
propyne H C x x 4 3 x x 699.2557562
acetaldehyde H C O x 4 2 1 x 669.2274874
allene H C x x 4 3 x x 699.6910555
sif4 F Si x x 4 1 x x 560.0537573
bf3 F B x x 3 1 x x 463.7269864
c2h3f H C F x 3 2 1 x 567.9472143
oxirane H C O x 4 2 1 x 645.8737962
ch2f2 H F C x 2 2 1 x 431.0006553
alf3 F Al x x 3 1 x x 414.7998835
