xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 106.525474
alh3 H Al x x 3 1 x x 210.9769174
alh Al H x x 1 1 x x 71.74307134
sih4 H Si x x 4 1 x x 322.5639912
bh3 H B x x 3 1 x x 281.3404633
bh B H x x 1 1 x x 81.95827467
ch2-trip H C x x 2 1 x x 189.6728347
sih H Si x x 1 1 x x 72.81711107
si2h6 H Si x x 6 2 x x 533.7444154
ch3 H C x x 3 1 x x 305.6131079
ch4 H C x x 4 1 x x 417.5546682
b2h6 H B x x 6 2 x x 611.0280184
sih3f H F Si x 3 1 1 x 376.9861467
ph3 H P x x 3 1 x x 241.2207547
c2h6 H C x x 6 2 x x 709.4243674
propane H C x x 8 3 x x 1002.939266
ch2-sing H C x x 2 1 x x 179.9537405
ch C H x x 1 1 x x 81.58790783
h2s H S x x 2 1 x x 181.8342675
hs S H x x 1 1 x x 87.09303141
c2h5f H C F x 5 2 1 x 715.7990513
ch3nh2 H C N x 5 1 1 x 575.9815741
ch3f H F C x 3 1 1 x 418.1939281
propene H C x x 6 3 x x 856.359767
nh3 H N x x 3 1 x x 291.9553419
ethanol H C O x 6 2 1 x 802.4312179
ch3nh H C N x 4 1 1 x 470.9583064
c2h4 H C x x 4 2 x x 559.4707649
methanol H C O x 4 1 1 x 505.8246665
hcl Cl H x x 1 1 x x 105.7062231
nh2 H N x x 2 1 x x 178.5583172
nh N H x x 1 1 x x 81.60261271
ch2nh2 H C N x 4 1 1 x 478.1034533
bhf2 F B H x 2 1 1 x 406.2160994
h2o H O x x 2 1 x x 225.0606801
hf F H x x 1 1 x x 135.9096692
ch2ch H C x x 3 2 x x 442.6510369
oh O H x x 1 1 x x 103.4698119
propyne H C x x 4 3 x x 699.4074434
acetaldehyde H C O x 4 2 1 x 669.2038899
allene H C x x 4 3 x x 699.8765046
sif4 F Si x x 4 1 x x 559.9388523
bf3 F B x x 3 1 x x 463.7161746
c2h3f H C F x 3 2 1 x 567.9468418
oxirane H C O x 4 2 1 x 645.8248155
ch2f2 H F C x 2 2 1 x 430.9000295
alf3 F Al x x 3 1 x x 414.8334625
