xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 106.5189111
alh3 H Al x x 3 1 x x 210.8371079
alh Al H x x 1 1 x x 71.67960678
sih4 H Si x x 4 1 x x 322.3623153
bh3 H B x x 3 1 x x 281.2624508
bh B H x x 1 1 x x 81.9287175
ch2-trip H C x x 2 1 x x 189.6281957
sih H Si x x 1 1 x x 72.7636398
si2h6 H Si x x 6 2 x x 532.933243
ch3 H C x x 3 1 x x 305.5403598
ch4 H C x x 4 1 x x 417.4561922
b2h6 H B x x 6 2 x x 610.6660838
sih3f H F Si x 3 1 1 x 376.7657535
ph3 H P x x 3 1 x x 241.0764324
c2h6 H C x x 6 2 x x 709.116959
propane H C x x 8 3 x x 1002.320155
ch2-sing H C x x 2 1 x x 179.9090464
ch C H x x 1 1 x x 81.56486861
h2s H S x x 2 1 x x 181.7510417
hs S H x x 1 1 x x 87.05387122
c2h5f H C F x 5 2 1 x 715.4673534
ch3nh2 H C N x 5 1 1 x 575.742066
ch3f H F C x 3 1 1 x 418.0816579
propene H C x x 6 3 x x 855.8487083
nh3 H N x x 3 1 x x 291.8942524
ethanol H C O x 6 2 1 x 802.0125181
ch3nh H C N x 4 1 1 x 470.7614817
c2h4 H C x x 4 2 x x 559.2425925
methanol H C O x 4 1 1 x 505.6562711
hcl Cl H x x 1 1 x x 105.6733908
nh2 H N x x 2 1 x x 178.5205002
nh N H x x 1 1 x x 81.5859171
ch2nh2 H C N x 4 1 1 x 477.9010723
bhf2 F B H x 2 1 1 x 406.1118751
h2o H O x x 2 1 x x 225.0320778
hf F H x x 1 1 x x 135.9007935
ch2ch H C x x 3 2 x x 442.4697286
oh O H x x 1 1 x x 103.4573469
propyne H C x x 4 3 x x 699.031182
acetaldehyde H C O x 4 2 1 x 668.8837309
allene H C x x 4 3 x x 699.483693
sif4 F Si x x 4 1 x x 559.6434719
bf3 F B x x 3 1 x x 463.5941728
c2h3f H C F x 3 2 1 x 567.698552
oxirane H C O x 4 2 1 x 645.5366948
ch2f2 H F C x 2 2 1 x 430.7708749
alf3 F Al x x 3 1 x x 414.6389215
bef2 F Be x x 2 1 x x 301.890071
ch2c C H x x 2 2 x x 354.9517184
n2h4 H N x x 4 2 x x 428.9704959
ch2nh H C N x 3 1 1 x 431.5760905
alf Al F x x 1 1 x x 158.0410953
acetic H C O x 4 2 2 x 790.7443545
c2h2 C H x x 2 2 x x 398.5385246
h2co H O C x 2 1 1 x 365.9804727
h2cn H C N x 2 1 1 x 338.4129369
bf F B x x 1 1 x x 178.5013024
becl2 Cl Be x x 2 1 x x 227.3895795
t-hcoh H C O x 2 1 1 x 313.9017117
alcl3 Cl Al x x 3 1 x x 309.9129822
c-hcoh H C O x 2 1 1 x 308.8854715
alcl Al Cl x x 1 1 x x 121.2433122
ketene C H O x 2 2 1 x 526.2874309
sif F Si x x 1 1 x x 138.8263535
formic H O C x 2 2 1 x 489.5066475
hcnh H C N x 2 1 1 x 329.7685333
glyoxal C H O x 2 2 2 x 619.5288017
hcof C O H F 1 1 1 1 393.5529963
nh2cl H N Cl x 2 1 1 x 241.7762975
cf4 F C x x 4 1 x x 467.9231975
hccf C H F x 2 1 1 x 391.5743577
hcn H C N x 1 1 1 x 302.9199643
hnc H N C x 1 1 1 x 290.4991736
cch C H x x 2 1 x x 258.1574401
hco O C H x 1 1 1 x 272.0400043
co C O x x 1 1 x x 250.0419997
oxirene C H O x 2 2 1 x 445.7062146
f2co F O C x 2 1 1 x 409.8052478
hocn C N O H 1 1 1 1 397.2077634
hooh H O x x 2 2 x x 253.9736044
t-n2h2 H N x x 2 2 x x 284.5849888
hnco C O N H 1 1 1 1 424.8223605
c-n2h2 H N x x 2 2 x x 278.8289025
cf2 F C x x 2 1 x x 250.7843981
co2 O C x x 2 1 x x 378.2966629
fccf F C x x 2 2 x x 378.9176467
dioxirane H O C x 2 2 1 x 394.6329958
cf C F x x 1 1 x x 129.3310107
ssh S H x x 2 1 x x 164.9993304
hocl O H Cl x 1 1 1 x 157.7938137
nccn N C x x 2 2 x x 484.3231112
n2 N x x x 2 x x x 215.6900985
n2h N H x x 2 1 x x 216.1924274
ocs O C S x 1 1 1 x 328.2226392
sio Si O x x 1 1 x x 180.596607
clcn Cl C N x 1 1 1 x 276.4828358
hoo O H x x 2 1 x x 165.3171142
hcno C H N O 1 1 1 1 351.5767574
honc H O N C 1 1 1 1 337.515176
hno N H O x 1 1 1 x 191.6324755
hof H O F x 1 1 1 x 144.8630738
c-hono O N H x 2 1 1 x 292.4823164
t-hono O N H x 2 1 1 x 292.4223156
cs2 S C x x 2 1 x x 276.2213564
hnnn N H x x 3 1 x x 316.5409324
cs C S x x 1 1 x x 164.0378058
cn C N x x 1 1 x x 166.6744387
so3 O S x x 3 1 x x 324.4944813
ccl2 Cl C x x 2 1 x x 172.8690247
bn3pi B N x x 1 1 x x 101.4526733
so2 O S x x 2 1 x x 242.1303648
no N O x x 1 1 x x 142.2168962
so S O x x 1 1 x x 120.7362716
n2o N O x x 2 1 x x 253.3152125
c-hooo O H x x 3 1 x x 210.3782277
s2 S x x x 2 x x x 104.5395633
p4 P x x x 4 x x x 296.8399352
cl2 Cl x x x 2 x x x 58.02295771
o2 O x x x 2 x x x 112.4978681
f2 F x x x 2 x x x 24.70378709
t-hooo O H x x 3 1 x x 208.5855532
s2o S O x x 2 1 x x 195.0997063
p2 P x x x 2 x x x 111.3607026
clf Cl F x x 1 1 x x 56.98131635
no2 O N x x 2 1 x x 210.3844656
clo Cl O x x 1 1 x x 60.38416169
s3 S x x x 3 x x x 160.0232068
cl2o Cl O x x 2 1 x x 90.85130602
s4-c2v S x x x 4 x x x 225.5892593
of O F x x 1 1 x x 44.11104229
c2 C x x x 2 x x x 128.693762
oclo O Cl x x 2 1 x x 112.3707719
f2o F O x x 2 1 x x 73.65634649
b2 B x x x 2 x x x 56.19488806
fo2 O F x x 2 1 x x 106.6813636
cloo O Cl x x 2 1 x x 109.9139412
foof F O x x 2 2 x x 117.0578622
o3 O x x x 3 x x x 120.3620574
bn B N x x 1 1 x x 97.42778756
be2 Be x x x 2 x x x 2.928032118
