xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 105.5839639
alh3 H Al x x 3 1 x x 201.9223266
alh Al H x x 1 1 x x 68.40343438
sih4 H Si x x 4 1 x x 310.1665643
bh3 H B x x 3 1 x x 274.2976605
bh B H x x 1 1 x x 80.33325538
ch2-trip H C x x 2 1 x x 190.3142937
sih H Si x x 1 1 x x 70.86488878
si2h6 H Si x x 6 2 x x 512.7662692
ch3 H C x x 3 1 x x 303.6687751
ch4 H C x x 4 1 x x 411.2981849
b2h6 H B x x 6 2 x x 595.4447446
sih3f H F Si x 3 1 1 x 364.534166
ph3 H P x x 3 1 x x 234.7748964
c2h6 H C x x 6 2 x x 699.7574046
propane H C x x 8 3 x x 989.9351816
ch2-sing H C x x 2 1 x x 181.9573845
ch C H x x 1 1 x x 83.29949888
h2s H S x x 2 1 x x 177.6883029
hs S H x x 1 1 x x 85.85420679
c2h5f H C F x 5 2 1 x 710.0342442
ch3nh2 H C N x 5 1 1 x 574.1537026
ch3f H F C x 3 1 1 x 416.2499204
propene H C x x 6 3 x x 849.2407119
nh3 H N x x 3 1 x x 293.6811973
ethanol H C O x 6 2 1 x 796.9851937
ch3nh H C N x 4 1 1 x 473.2437036
c2h4 H C x x 4 2 x x 555.9199902
methanol H C O x 4 1 1 x 504.1738753
hcl Cl H x x 1 1 x x 103.7274379
nh2 H N x x 2 1 x x 183.7998477
nh N H x x 1 1 x x 86.52727891
ch2nh2 H C N x 4 1 1 x 480.4145456
bhf2 F B H x 2 1 1 x 401.4114964
h2o H O x x 2 1 x x 226.7341971
hf F H x x 1 1 x x 137.4646093
ch2ch H C x x 3 2 x x 444.0051535
oh O H x x 1 1 x x 106.3567073
propyne H C x x 4 3 x x 697.389733
acetaldehyde H C O x 4 2 1 x 671.8186263
allene H C x x 4 3 x x 700.1108636
sif4 F Si x x 4 1 x x 544.7170003
bf3 F B x x 3 1 x x 457.8512006
c2h3f H C F x 3 2 1 x 568.7996006
oxirane H C O x 4 2 1 x 646.6566918
ch2f2 H F C x 2 2 1 x 432.1183934
alf3 F Al x x 3 1 x x 408.7092208
bef2 F Be x x 2 1 x x 302.3504391
ch2c C H x x 2 2 x x 357.2185981
n2h4 H N x x 4 2 x x 436.541732
ch2nh H C N x 3 1 1 x 437.3872152
alf Al F x x 1 1 x x 155.9763841
acetic H C O x 4 2 2 x 796.240044
c2h2 C H x x 2 2 x x 400.9057013
h2co H O C x 2 1 1 x 372.4764881
h2cn H C N x 2 1 1 x 347.1775807
bf F B x x 1 1 x x 178.4368968
becl2 Cl Be x x 2 1 x x 220.9617717
t-hcoh H C O x 2 1 1 x 318.8445279
alcl3 Cl Al x x 3 1 x x 294.9164758
c-hcoh H C O x 2 1 1 x 314.718476
alcl Al Cl x x 1 1 x x 115.8915632
ketene C H O x 2 2 1 x 535.9826702
sif F Si x x 1 1 x x 138.5129681
formic H O C x 2 2 1 x 499.7322288
hcnh H C N x 2 1 1 x 340.667785
glyoxal C H O x 2 2 2 x 635.5286055
hcof C O H F 1 1 1 1 404.2218188
nh2cl H N Cl x 2 1 1 x 247.5586216
cf4 F C x x 4 1 x x 470.7589185
hccf C H F x 2 1 1 x 398.3846142
hcn H C N x 1 1 1 x 314.0618936
hnc H N C x 1 1 1 x 299.0570834
cch C H x x 2 1 x x 265.5127329
hco O C H x 1 1 1 x 283.0515168
co C O x x 1 1 x x 258.0093926
oxirene C H O x 2 2 1 x 457.905489
f2co F O C x 2 1 1 x 421.4775633
hocn C N O H 1 1 1 1 413.0102844
hooh H O x x 2 2 x x 267.7731266
t-n2h2 H N x x 2 2 x x 301.1756055
hnco C O N H 1 1 1 1 442.8789668
c-n2h2 H N x x 2 2 x x 296.3693341
cf2 F C x x 2 1 x x 259.9322805
co2 O C x x 2 1 x x 395.6325531
fccf F C x x 2 2 x x 389.9932938
dioxirane H O C x 2 2 1 x 412.5820556
cf C F x x 1 1 x x 136.8166917
ssh S H x x 2 1 x x 165.5499226
hocl O H Cl x 1 1 1 x 165.0111044
nccn N C x x 2 2 x x 513.1303221
n2 N x x x 2 x x x 233.1973436
n2h N H x x 2 1 x x 235.5049152
ocs O C S x 1 1 1 x 341.7733276
sio Si O x x 1 1 x x 186.9492191
clcn Cl C N x 1 1 1 x 290.9940787
hoo O H x x 2 1 x x 182.8090681
hcno C H N O 1 1 1 1 379.2281892
honc H O N C 1 1 1 1 356.3731997
hno N H O x 1 1 1 x 211.5437144
hof H O F x 1 1 1 x 161.1456437
c-hono O N H x 2 1 1 x 323.9780346
t-hono O N H x 2 1 1 x 324.8119419
cs2 S C x x 2 1 x x 286.4126698
hnnn N H x x 3 1 x x 352.4799051
cs C S x x 1 1 x x 171.588049
cn C N x x 1 1 x x 187.759978
so3 O S x x 3 1 x x 347.6190784
ccl2 Cl C x x 2 1 x x 182.3055385
bn3pi B N x x 1 1 x x 115.1462634
so2 O S x x 2 1 x x 261.5249192
no N O x x 1 1 x x 161.7625794
so S O x x 1 1 x x 131.8813622
n2o N O x x 2 1 x x 291.2421834
c-hooo O H x x 3 1 x x 250.9210505
s2 S x x x 2 x x x 108.2365026
p4 P x x x 4 x x x 289.4955356
cl2 Cl x x x 2 x x x 59.68540039
o2 O x x x 2 x x x 133.2061904
f2 F x x x 2 x x x 44.92875042
t-hooo O H x x 3 1 x x 252.2845016
s2o S O x x 2 1 x x 212.6616805
p2 P x x x 2 x x x 114.9583452
clf Cl F x x 1 1 x x 64.72031933
no2 O N x x 2 1 x x 250.2718794
clo Cl O x x 1 1 x x 73.266775
s3 S x x x 3 x x x 172.5120164
cl2o Cl O x x 2 1 x x 105.9620592
s4-c2v S x x x 4 x x x 240.871005
of O F x x 1 1 x x 63.44093141
c2 C x x x 2 x x x 146.1193156
oclo O Cl x x 2 1 x x 143.687872
f2o F O x x 2 1 x x 107.9408347
b2 B x x x 2 x x x 74.04480711
fo2 O F x x 2 1 x x 158.6297465
cloo O Cl x x 2 1 x x 146.8071883
foof F O x x 2 2 x x 183.2981648
o3 O x x x 3 x x x 165.8298935
bn B N x x 1 1 x x 109.4380131
be2 Be x x x 2 x x x 8.428207032
