xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1297.022196
pentane H C x x 12 5 x x 1591.713027
hexane H C x x 14 6 x x 1886.436333
heptane H C x x 16 7 x x 2181.144059
octane H C x x 18 8 x x 2475.858108
isobutane H C x x 10 4 x x 1298.359491
isopentane H C x x 12 5 x x 1592.508251
isohexane H C x x 14 6 x x 1887.202784
isoheptane H C x x 16 7 x x 2181.953138
isooctane H C x x 18 8 x x 2477.047171
neopentane H C x x 12 5 x x 1595.0656
neohexane H C x x 14 6 x x 1888.528757
neoheptane H C x x 16 7 x x 2183.202292
3methylpentane H C x x 14 6 x x 1886.544016
diisopropyl H C x x 14 6 x x 1887.222229
hexamethylethane H C x x 18 8 x x 2476.322198
h2 H x x x 2 x x x 105.8726979
alh3 H Al x x 3 1 x x 206.6894994
alh Al H x x 1 1 x x 70.91235105
sih4 H Si x x 4 1 x x 316.5163682
bh3 H B x x 3 1 x x 276.8301986
bh B H x x 1 1 x x 81.5829204
ch2-trip H C x x 2 1 x x 192.014193
sih H Si x x 1 1 x x 73.04030161
si2h6 H Si x x 6 2 x x 530.989989
ch3 H C x x 3 1 x x 306.3347576
ch4 H C x x 4 1 x x 414.8758234
b2h6 H B x x 6 2 x x 604.2616503
sih3f H F Si x 3 1 1 x 371.1749576
ph3 H P x x 3 1 x x 240.0048241
c2h6 H C x x 6 2 x x 707.5496278
propane H C x x 8 3 x x 1002.290325
ch2-sing H C x x 2 1 x x 183.7886863
ch C H x x 1 1 x x 84.28717971
h2s H S x x 2 1 x x 180.9853541
hs S H x x 1 1 x x 87.48974644
c2h5f H C F x 5 2 1 x 717.4446419
ch3nh2 H C N x 5 1 1 x 580.6632273
ch3f H F C x 3 1 1 x 419.1679075
propene H C x x 6 3 x x 861.0951374
nh3 H N x x 3 1 x x 296.1606913
ethanol H C O x 6 2 1 x 805.8365792
ch3nh H C N x 4 1 1 x 479.0591884
c2h4 H C x x 4 2 x x 562.8088513
methanol H C O x 4 1 1 x 508.5300218
hcl Cl H x x 1 1 x x 105.1087247
nh2 H N x x 2 1 x x 185.3859442
nh N H x x 1 1 x x 87.24945239
ch2nh2 H C N x 4 1 1 x 486.4204466
bhf2 F B H x 2 1 1 x 404.1050088
h2o H O x x 2 1 x x 227.9425132
hf F H x x 1 1 x x 137.8506018
ch2ch H C x x 3 2 x x 449.8345598
oh O H x x 1 1 x x 106.8968957
propyne H C x x 4 3 x x 707.0281939
acetaldehyde H C O x 4 2 1 x 679.8542968
allene H C x x 4 3 x x 710.4512012
sif4 F Si x x 4 1 x x 552.775867
bf3 F B x x 3 1 x x 461.2352641
c2h3f H C F x 3 2 1 x 575.5776012
oxirane H C O x 4 2 1 x 653.9103252
ch2f2 H F C x 2 2 1 x 434.9775462
alf3 F Al x x 3 1 x x 414.5808196
bef2 F Be x x 2 1 x x 304.9292165
ch2c C H x x 2 2 x x 362.6530005
n2h4 H N x x 4 2 x x 441.8525115
ch2nh H C N x 3 1 1 x 442.7215075
alf Al F x x 1 1 x x 158.8756944
acetic H C O x 4 2 2 x 806.2130027
c2h2 C H x x 2 2 x x 405.4286029
h2co H O C x 2 1 1 x 375.6913413
h2cn H C N x 2 1 1 x 351.5005813
bf F B x x 1 1 x x 179.9945718
becl2 Cl Be x x 2 1 x x 230.7100292
t-hcoh H C O x 2 1 1 x 322.3240567
alcl3 Cl Al x x 3 1 x x 316.0736764
c-hcoh H C O x 2 1 1 x 318.1409769
alcl Al Cl x x 1 1 x x 126.3110194
ketene C H O x 2 2 1 x 542.6883774
sif F Si x x 1 1 x x 141.1416273
formic H O C x 2 2 1 x 504.6605784
hcnh H C N x 2 1 1 x 345.0284068
glyoxal C H O x 2 2 2 x 643.5230237
hcof C O H F 1 1 1 1 407.5850469
nh2cl H N Cl x 2 1 1 x 252.9744791
cf4 F C x x 4 1 x x 475.1631273
hccf C H F x 2 1 1 x 403.0929953
hcn H C N x 1 1 1 x 317.1385273
hnc H N C x 1 1 1 x 302.5306558
cch C H x x 2 1 x x 269.4776845
hco O C H x 1 1 1 x 285.4661809
co C O x x 1 1 x x 259.8605315
oxirene C H O x 2 2 1 x 464.1957364
f2co F O C x 2 1 1 x 425.5555735
hocn C N O H 1 1 1 1 417.7705325
hooh H O x x 2 2 x x 269.9197688
t-n2h2 H N x x 2 2 x x 305.1718398
hnco C O N H 1 1 1 1 447.9658732
c-n2h2 H N x x 2 2 x x 300.3447591
cf2 F C x x 2 1 x x 262.3785296
co2 O C x x 2 1 x x 399.0809874
fccf F C x x 2 2 x x 394.8728382
dioxirane H O C x 2 2 1 x 416.9604287
cf C F x x 1 1 x x 138.1188903
ssh S H x x 2 1 x x 175.8201281
hocl O H Cl x 1 1 1 x 168.5192609
nccn N C x x 2 2 x x 520.9345221
n2 N x x x 2 x x x 235.0510336
n2h N H x x 2 1 x x 238.4245152
ocs O C S x 1 1 1 x 348.8263118
sio Si O x x 1 1 x x 190.8096635
clcn Cl C N x 1 1 1 x 297.5623005
hoo O H x x 2 1 x x 184.5176033
hcno C H N O 1 1 1 1 384.0798308
honc H O N C 1 1 1 1 361.2245181
hno N H O x 1 1 1 x 213.8007667
hof H O F x 1 1 1 x 162.3755816
c-hono O N H x 2 1 1 x 327.9157017
t-hono O N H x 2 1 1 x 328.7640595
cs2 S C x x 2 1 x x 297.7839897
hnnn N H x x 3 1 x x 357.7526874
cs C S x x 1 1 x x 177.1496231
cn C N x x 1 1 x x 190.250832
so3 O S x x 3 1 x x 357.0712185
ccl2 Cl C x x 2 1 x x 192.3602334
bn3pi B N x x 1 1 x x 118.2221297
so2 O S x x 2 1 x x 267.6449772
no N O x x 1 1 x x 163.1656253
so S O x x 1 1 x x 134.909287
n2o N O x x 2 1 x x 294.7614488
c-hooo O H x x 3 1 x x 253.6811584
s2 S x x x 2 x x x 116.9383536
p4 P x x x 4 x x x 343.1753029
cl2 Cl x x x 2 x x x 65.6734995
o2 O x x x 2 x x x 134.2885725
f2 F x x x 2 x x x 45.52765283
t-hooo O H x x 3 1 x x 255.0217105
s2o S O x x 2 1 x x 224.7323357
p2 P x x x 2 x x x 126.6390051
clf Cl F x x 1 1 x x 66.55999284
no2 O N x x 2 1 x x 253.4199128
clo Cl O x x 1 1 x x 75.84497959
s3 S x x x 3 x x x 190.8842077
cl2o Cl O x x 2 1 x x 112.9324292
s4-c2v S x x x 4 x x x 271.2609926
of O F x x 1 1 x x 64.2330626
c2 C x x x 2 x x x 149.5460529
oclo O Cl x x 2 1 x x 149.0248788
f2o F O x x 2 1 x x 109.4523222
b2 B x x x 2 x x x 79.53947791
fo2 O F x x 2 1 x x 160.3833966
cloo O Cl x x 2 1 x x 150.2092969
foof F O x x 2 2 x x 185.8147759
o3 O x x x 3 x x x 168.3266588
bn B N x x 1 1 x x 112.521175
be2 Be x x x 2 x x x 16.94879098
