xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1271.395077
pentane H C x x 12 5 x x 1558.50216
hexane H C x x 14 6 x x 1845.630273
heptane H C x x 16 7 x x 2132.734244
octane H C x x 18 8 x x 2419.854202
isobutane H C x x 10 4 x x 1271.774101
isopentane H C x x 12 5 x x 1557.823458
isohexane H C x x 14 6 x x 1844.854523
isoheptane H C x x 16 7 x x 2131.974357
isooctane H C x x 18 8 x x 2414.908016
neopentane H C x x 12 5 x x 1558.799394
neohexane H C x x 14 6 x x 1843.624605
neoheptane H C x x 16 7 x x 2130.54997
3methylpentane H C x x 14 6 x x 1843.732497
diisopropyl H C x x 14 6 x x 1842.979769
hexamethylethane H C x x 18 8 x x 2410.109015
h2 H x x x 2 x x x 105.5838785
alh3 H Al x x 3 1 x x 201.5511792
alh Al H x x 1 1 x x 68.39160441
sih4 H Si x x 4 1 x x 308.9118525
bh3 H B x x 3 1 x x 273.684763
bh B H x x 1 1 x x 80.32991447
ch2-trip H C x x 2 1 x x 190.1420978
sih H Si x x 1 1 x x 70.86008032
si2h6 H Si x x 6 2 x x 509.6211536
ch3 H C x x 3 1 x x 303.3043154
ch4 H C x x 4 1 x x 410.780178
b2h6 H B x x 6 2 x x 591.8681849
sih3f H F Si x 3 1 1 x 363.0243845
ph3 H P x x 3 1 x x 234.1604178
c2h6 H C x x 6 2 x x 696.9333331
propane H C x x 8 3 x x 984.1523931
ch2-sing H C x x 2 1 x x 181.8865812
ch C H x x 1 1 x x 83.29779708
h2s H S x x 2 1 x x 177.5308847
hs S H x x 1 1 x x 85.84922109
c2h5f H C F x 5 2 1 x 706.2338389
ch3nh2 H C N x 5 1 1 x 571.9918125
ch3f H F C x 3 1 1 x 414.6394224
propene H C x x 6 3 x x 845.5196629
nh3 H N x x 3 1 x x 293.5514041
ethanol H C O x 6 2 1 x 792.4908499
ch3nh H C N x 4 1 1 x 471.6533854
c2h4 H C x x 4 2 x x 554.4470578
methanol H C O x 4 1 1 x 502.1563731
hcl Cl H x x 1 1 x x 103.7213702
nh2 H N x x 2 1 x x 183.7589834
nh N H x x 1 1 x x 86.5262217
ch2nh2 H C N x 4 1 1 x 478.9532487
