xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1305.640645
pentane H C x x 12 5 x x 1601.565402
hexane H C x x 14 6 x x 1897.51951
heptane H C x x 16 7 x x 2193.464432
octane H C x x 18 8 x x 2489.442835
isobutane H C x x 10 4 x x 1307.022631
isopentane H C x x 12 5 x x 1602.3174
isohexane H C x x 14 6 x x 1898.21417
isoheptane H C x x 16 7 x x 2194.200294
isooctane H C x x 18 8 x x 2490.238137
neopentane H C x x 12 5 x x 1605.001393
neohexane H C x x 14 6 x x 1899.567096
neoheptane H C x x 16 7 x x 2195.413192
3methylpentane H C x x 14 6 x x 1897.446548
diisopropyl H C x x 14 6 x x 1898.195071
hexamethylethane H C x x 18 8 x x 2489.561626
h2 H x x x 2 x x x 107.6685034
alh3 H Al x x 3 1 x x 212.4500994
alh Al H x x 1 1 x x 69.78496628
sih4 H Si x x 4 1 x x 323.7473715
bh3 H B x x 3 1 x x 283.1780921
bh B H x x 1 1 x x 82.08673713
ch2-trip H C x x 2 1 x x 196.8549822
sih H Si x x 1 1 x x 72.44768494
si2h6 H Si x x 6 2 x x 536.7572245
ch3 H C x x 3 1 x x 312.557519
ch4 H C x x 4 1 x x 419.8030459
b2h6 H B x x 6 2 x x 617.6847321
sih3f H F Si x 3 1 1 x 379.4926976
ph3 H P x x 3 1 x x 242.1880066
c2h6 H C x x 6 2 x x 713.6812819
propane H C x x 8 3 x x 1009.682593
ch2-sing H C x x 2 1 x x 186.7663502
ch C H x x 1 1 x x 83.42850606
h2s H S x x 2 1 x x 182.5809737
hs S H x x 1 1 x x 88.93480196
c2h5f H C F x 5 2 1 x 723.4403485
ch3nh2 H C N x 5 1 1 x 581.0019276
ch3f H F C x 3 1 1 x 423.1375067
propene H C x x 6 3 x x 862.6396545
nh3 H N x x 3 1 x x 294.6987091
ethanol H C O x 6 2 1 x 812.2916927
ch3nh H C N x 4 1 1 x 479.7655283
c2h4 H C x x 4 2 x x 563.1177724
methanol H C O x 4 1 1 x 513.0222305
hcl Cl H x x 1 1 x x 105.8324924
nh2 H N x x 2 1 x x 184.5394263
nh N H x x 1 1 x x 84.76805605
ch2nh2 H C N x 4 1 1 x 486.6045905
bhf2 F B H x 2 1 1 x 412.3154132
h2o H O x x 2 1 x x 229.2379434
hf F H x x 1 1 x x 137.1515272
ch2ch H C x x 3 2 x x 450.9741987
oh O H x x 1 1 x x 108.5990599
propyne H C x x 4 3 x x 704.5783448
acetaldehyde H C O x 4 2 1 x 679.6332997
allene H C x x 4 3 x x 706.7998265
sif4 F Si x x 4 1 x x 568.6836181
bf3 F B x x 3 1 x x 471.3146949
c2h3f H C F x 3 2 1 x 575.8376702
oxirane H C O x 4 2 1 x 655.133898
ch2f2 H F C x 2 2 1 x 438.6087929
alf3 F Al x x 3 1 x x 423.8921597
bef2 F Be x x 2 1 x x 309.976576
ch2c C H x x 2 2 x x 357.7297873
n2h4 H N x x 4 2 x x 434.8568509
ch2nh H C N x 3 1 1 x 436.8696485
alf Al F x x 1 1 x x 159.016148
acetic H C O x 4 2 2 x 808.0694086
c2h2 C H x x 2 2 x x 401.661085
h2co H O C x 2 1 1 x 373.4927253
h2cn H C N x 2 1 1 x 346.7596585
bf F B x x 1 1 x x 180.6136899
becl2 Cl Be x x 2 1 x x 233.5268296
t-hcoh H C O x 2 1 1 x 320.2010946
alcl3 Cl Al x x 3 1 x x 315.2820511
c-hcoh H C O x 2 1 1 x 315.5466468
alcl Al Cl x x 1 1 x x 120.7022627
ketene C H O x 2 2 1 x 538.0162745
sif F Si x x 1 1 x x 140.755732
formic H O C x 2 2 1 x 503.9848046
hcnh H C N x 2 1 1 x 338.5629335
glyoxal C H O x 2 2 2 x 636.2947808
hcof C O H F 1 1 1 1 405.6733743
nh2cl H N Cl x 2 1 1 x 246.1402512
cf4 F C x x 4 1 x x 481.6631732
hccf C H F x 2 1 1 x 397.8040301
hcn H C N x 1 1 1 x 307.2947731
hnc H N C x 1 1 1 x 293.3745539
cch C H x x 2 1 x x 265.9899305
hco O C H x 1 1 1 x 282.2815268
co C O x x 1 1 x x 254.4013871
oxirene C H O x 2 2 1 x 456.7203638
f2co F O C x 2 1 1 x 424.5890159
hocn C N O H 1 1 1 1 407.4237986
hooh H O x x 2 2 x x 267.4102564
t-n2h2 H N x x 2 2 x x 290.7418887
hnco C O N H 1 1 1 1 438.2769236
c-n2h2 H N x x 2 2 x x 285.2581458
cf2 F C x x 2 1 x x 258.9430344
co2 O C x x 2 1 x x 392.9351124
fccf F C x x 2 2 x x 387.3007525
dioxirane H O C x 2 2 1 x 413.205256
cf C F x x 1 1 x x 134.4011311
ssh S H x x 2 1 x x 169.3799476
hocl O H Cl x 1 1 1 x 164.5991379
nccn N C x x 2 2 x x 496.4884481
n2 N x x x 2 x x x 219.2834371
n2h N H x x 2 1 x x 224.7178521
ocs O C S x 1 1 1 x 340.5453565
sio Si O x x 1 1 x x 187.5405514
clcn Cl C N x 1 1 1 x 282.5714401
hoo O H x x 2 1 x x 179.8794026
hcno C H N O 1 1 1 1 368.0870927
honc H O N C 1 1 1 1 347.3861084
hno N H O x 1 1 1 x 201.4140687
hof H O F x 1 1 1 x 157.68667
c-hono O N H x 2 1 1 x 313.2755294
t-hono O N H x 2 1 1 x 314.1392655
cs2 S C x x 2 1 x x 286.7482832
hnnn N H x x 3 1 x x 333.4029318
cs C S x x 1 1 x x 167.7484574
cn C N x x 1 1 x x 177.5375322
so3 O S x x 3 1 x x 352.0158933
ccl2 Cl C x x 2 1 x x 181.1008494
bn3pi B N x x 1 1 x x 114.0832434
so2 O S x x 2 1 x x 261.4569927
no N O x x 1 1 x x 151.1386048
so S O x x 1 1 x x 132.2932506
n2o N O x x 2 1 x x 272.4048207
c-hooo O H x x 3 1 x x 242.1916232
s2 S x x x 2 x x x 109.9291925
p4 P x x x 4 x x x 295.4160091
cl2 Cl x x x 2 x x x 58.62295362
o2 O x x x 2 x x x 127.5343797
f2 F x x x 2 x x x 37.39641529
t-hooo O H x x 3 1 x x 242.9496765
s2o S O x x 2 1 x x 212.2674865
p2 P x x x 2 x x x 112.9254349
clf Cl F x x 1 1 x x 61.65700786
no2 O N x x 2 1 x x 236.1166084
clo Cl O x x 1 1 x x 69.90539408
s3 S x x x 3 x x x 172.4428396
cl2o Cl O x x 2 1 x x 102.5453221
s4-c2v S x x x 4 x x x 242.6947381
of O F x x 1 1 x x 57.93452838
c2 C x x x 2 x x x 143.0364485
oclo O Cl x x 2 1 x x 137.6425037
f2o F O x x 2 1 x x 97.94400467
b2 B x x x 2 x x x 80.54058454
fo2 O F x x 2 1 x x 145.147365
cloo O Cl x x 2 1 x x 137.1037621
foof F O x x 2 2 x x 166.8295335
o3 O x x x 3 x x x 149.5419762
bn B N x x 1 1 x x 109.9118937
be2 Be x x x 2 x x x 11.7513123
C4H4 C H x x 4 4 x x 799.8010388
C6H6 C H x x 6 6 x x 1262.489747
C8H8 C H x x 8 8 x x 1716.472116
C10H10 C H x x 10 10 x x 2208.878798
C12H12 C H x x 12 12 x x 2733.109272
C20H20 C H x x 20 20 x x 4643.154021
