xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1304.377646
pentane H C x x 12 5 x x 1599.956578
hexane H C x x 14 6 x x 1895.564719
heptane H C x x 16 7 x x 2191.163734
octane H C x x 18 8 x x 2486.796329
isobutane H C x x 10 4 x x 1305.734452
isopentane H C x x 12 5 x x 1600.687624
isohexane H C x x 14 6 x x 1896.245611
isoheptane H C x x 16 7 x x 2191.891698
isooctane H C x x 18 8 x x 2487.567639
neopentane H C x x 12 5 x x 1603.305404
neohexane H C x x 14 6 x x 1897.534965
neoheptane H C x x 16 7 x x 2193.050485
3methylpentane H C x x 14 6 x x 1895.483567
diisopropyl H C x x 14 6 x x 1896.164014
hexamethylethane H C x x 18 8 x x 2486.716767
h2 H x x x 2 x x x 107.6594057
alh3 H Al x x 3 1 x x 212.3137578
alh Al H x x 1 1 x x 69.74149753
sih4 H Si x x 4 1 x x 323.4888069
bh3 H B x x 3 1 x x 283.0562285
bh B H x x 1 1 x x 82.05094683
ch2-trip H C x x 2 1 x x 196.7576371
sih H Si x x 1 1 x x 72.38834187
si2h6 H Si x x 6 2 x x 536.1016345
ch3 H C x x 3 1 x x 312.4046131
ch4 H C x x 4 1 x x 419.5868171
b2h6 H B x x 6 2 x x 617.1908141
sih3f H F Si x 3 1 1 x 379.0697536
ph3 H P x x 3 1 x x 241.960413
c2h6 H C x x 6 2 x x 713.1246624
propane H C x x 8 3 x x 1008.767035
ch2-sing H C x x 2 1 x x 186.668942
ch C H x x 1 1 x x 83.38471986
h2s H S x x 2 1 x x 182.4193685
hs S H x x 1 1 x x 88.85691959
c2h5f H C F x 5 2 1 x 722.6857411
ch3nh2 H C N x 5 1 1 x 580.4733754
ch3f H F C x 3 1 1 x 422.7507339
propene H C x x 6 3 x x 861.8685905
nh3 H N x x 3 1 x x 294.5309237
ethanol H C O x 6 2 1 x 811.4633453
ch3nh H C N x 4 1 1 x 479.3061221
c2h4 H C x x 4 2 x x 562.6972341
methanol H C O x 4 1 1 x 512.5573463
hcl Cl H x x 1 1 x x 105.7503582
nh2 H N x x 2 1 x x 184.4350843
nh N H x x 1 1 x x 84.71988835
ch2nh2 H C N x 4 1 1 x 486.1515762
bhf2 F B H x 2 1 1 x 411.8753756
h2o H O x x 2 1 x x 229.1290664
hf F H x x 1 1 x x 137.1002583
ch2ch H C x x 3 2 x x 450.6180288
oh O H x x 1 1 x x 108.548712
propyne H C x x 4 3 x x 703.9617691
acetaldehyde H C O x 4 2 1 x 678.9710347
allene H C x x 4 3 x x 706.1962662
sif4 F Si x x 4 1 x x 567.4980306
bf3 F B x x 3 1 x x 470.6637483
c2h3f H C F x 3 2 1 x 575.2352533
oxirane H C O x 4 2 1 x 654.349125
ch2f2 H F C x 2 2 1 x 437.999497
alf3 F Al x x 3 1 x x 423.2550496
bef2 F Be x x 2 1 x x 309.739829
ch2c C H x x 2 2 x x 357.4269339
n2h4 H N x x 4 2 x x 434.3682943
ch2nh H C N x 3 1 1 x 436.4876701
alf Al F x x 1 1 x x 158.817083
acetic H C O x 4 2 2 x 807.1043275
c2h2 C H x x 2 2 x x 401.3838312
h2co H O C x 2 1 1 x 373.1808821
h2cn H C N x 2 1 1 x 346.4468536
bf F B x x 1 1 x x 180.457834
becl2 Cl Be x x 2 1 x x 233.1110098
t-hcoh H C O x 2 1 1 x 319.879969
alcl3 Cl Al x x 3 1 x x 314.1881501
c-hcoh H C O x 2 1 1 x 315.2196245
alcl Al Cl x x 1 1 x x 120.414788
ketene C H O x 2 2 1 x 537.5267174
sif F Si x x 1 1 x x 140.5256866
formic H O C x 2 2 1 x 503.3806038
hcnh H C N x 2 1 1 x 338.2541979
glyoxal C H O x 2 2 2 x 635.4847773
hcof C O H F 1 1 1 1 405.1597836
nh2cl H N Cl x 2 1 1 x 245.6998736
cf4 F C x x 4 1 x x 480.4507064
hccf C H F x 2 1 1 x 397.363223
hcn H C N x 1 1 1 x 307.061928
hnc H N C x 1 1 1 x 293.1335071
cch C H x x 2 1 x x 265.7608736
hco O C H x 1 1 1 x 282.0364326
co C O x x 1 1 x x 254.2279822
oxirene C H O x 2 2 1 x 456.1215876
f2co F O C x 2 1 1 x 423.8281331
hocn C N O H 1 1 1 1 406.9479199
hooh H O x x 2 2 x x 267.0630671
t-n2h2 H N x x 2 2 x x 290.4090553
hnco C O N H 1 1 1 1 437.8207934
c-n2h2 H N x x 2 2 x x 284.9199597
cf2 F C x x 2 1 x x 258.4926601
co2 O C x x 2 1 x x 392.5321827
fccf F C x x 2 2 x x 386.6845551
dioxirane H O C x 2 2 1 x 412.5371168
cf C F x x 1 1 x x 134.2225967
ssh S H x x 2 1 x x 168.902375
hocl O H Cl x 1 1 1 x 164.2396846
nccn N C x x 2 2 x x 495.9016857
n2 N x x x 2 x x x 219.1034393
n2h N H x x 2 1 x x 224.4569729
ocs O C S x 1 1 1 x 340.0302962
sio Si O x x 1 1 x x 187.3050503
clcn Cl C N x 1 1 1 x 282.0690201
hoo O H x x 2 1 x x 179.6043411
hcno C H N O 1 1 1 1 367.6171543
honc H O N C 1 1 1 1 346.8859868
hno N H O x 1 1 1 x 201.1464596
hof H O F x 1 1 1 x 157.4170379
c-hono O N H x 2 1 1 x 312.702657
t-hono O N H x 2 1 1 x 313.5949455
cs2 S C x x 2 1 x x 286.0980254
hnnn N H x x 3 1 x x 332.8907537
cs C S x x 1 1 x x 167.4942863
cn C N x x 1 1 x x 177.3662556
so3 O S x x 3 1 x x 351.0224316
ccl2 Cl C x x 2 1 x x 180.4026018
bn3pi B N x x 1 1 x x 113.9332592
so2 O S x x 2 1 x x 260.848194
no N O x x 1 1 x x 150.9469788
so S O x x 1 1 x x 132.0173824
n2o N O x x 2 1 x x 271.9663329
c-hooo O H x x 3 1 x x 241.6165251
s2 S x x x 2 x x x 109.5449867
p4 P x x x 4 x x x 293.7100187
cl2 Cl x x x 2 x x x 58.24499065
o2 O x x x 2 x x x 127.3329358
f2 F x x x 2 x x x 37.19904436
t-hooo O H x x 3 1 x x 242.4138745
s2o S O x x 2 1 x x 211.526541
p2 P x x x 2 x x x 112.5652015
clf Cl F x x 1 1 x x 61.38681972
no2 O N x x 2 1 x x 235.6511115
clo Cl O x x 1 1 x x 69.62763733
s3 S x x x 3 x x x 171.5510821
cl2o Cl O x x 2 1 x x 101.8072234
s4-c2v S x x x 4 x x x 241.1136221
of O F x x 1 1 x x 57.73615392
c2 C x x x 2 x x x 142.8760438
oclo O Cl x x 2 1 x x 137.0098433
f2o F O x x 2 1 x x 97.46232428
b2 B x x x 2 x x x 80.40341784
fo2 O F x x 2 1 x x 144.6874987
cloo O Cl x x 2 1 x x 136.5608538
foof F O x x 2 2 x x 166.0503274
o3 O x x x 3 x x x 149.0465562
bn B N x x 1 1 x x 109.7712564
be2 Be x x x 2 x x x 11.66701087
C4H4 C H x x 4 4 x x 798.6962609
C6H6 C H x x 6 6 x x 1260.325222
C8H8 C H x x 8 8 x x 1713.176168
C10H10 C H x x 10 10 x x 2204.500927
C12H12 C H x x 12 12 x x 2727.630919
C20H20 C H x x 20 20 x x 4633.371674
