xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 107.6725367
alh3 H Al x x 3 1 x x 212.4286826
alh Al H x x 1 1 x x 69.79513572
sih4 H Si x x 4 1 x x 323.7045802
bh3 H B x x 3 1 x x 283.1663889
bh B H x x 1 1 x x 82.08847601
ch2-trip H C x x 2 1 x x 196.8251719
sih H Si x x 1 1 x x 72.44048041
si2h6 H Si x x 6 2 x x 536.6346548
ch3 H C x x 3 1 x x 312.5193241
ch4 H C x x 4 1 x x 419.7489522
b2h6 H B x x 6 2 x x 617.6096785
sih3f H F Si x 3 1 1 x 379.2712695
ph3 H P x x 3 1 x x 242.133233
c2h6 H C x x 6 2 x x 713.5232704
propane H C x x 8 3 x x 1009.421593
ch2-sing H C x x 2 1 x x 186.7370499
ch C H x x 1 1 x x 83.41813073
h2s H S x x 2 1 x x 182.5207295
hs S H x x 1 1 x x 88.90235773
c2h5f H C F x 5 2 1 x 723.061893
ch3nh2 H C N x 5 1 1 x 580.8115928
ch3f H F C x 3 1 1 x 422.9205724
propene H C x x 6 3 x x 862.400555
nh3 H N x x 3 1 x x 294.6364464
ethanol H C O x 6 2 1 x 811.9234096
ch3nh H C N x 4 1 1 x 479.5886447
c2h4 H C x x 4 2 x x 562.9824895
methanol H C O x 4 1 1 x 512.8028943
hcl Cl H x x 1 1 x x 105.7912224
nh2 H N x x 2 1 x x 184.498413
nh N H x x 1 1 x x 84.74680664
ch2nh2 H C N x 4 1 1 x 486.4254798
bhf2 F B H x 2 1 1 x 412.0007912
h2o H O x x 2 1 x x 229.1788119
hf F H x x 1 1 x x 137.1159829
ch2ch H C x x 3 2 x x 450.8394142
oh O H x x 1 1 x x 108.5694955
propyne H C x x 4 3 x x 704.34496
acetaldehyde H C O x 4 2 1 x 679.3213596
allene H C x x 4 3 x x 706.5768966
sif4 F Si x x 4 1 x x 567.7693223
bf3 F B x x 3 1 x x 470.8096266
c2h3f H C F x 3 2 1 x 575.5043275
oxirane H C O x 4 2 1 x 654.7097136
ch2f2 H F C x 2 2 1 x 438.1841604
alf3 F Al x x 3 1 x x 423.3917467
bef2 F Be x x 2 1 x x 309.8169546
ch2c C H x x 2 2 x x 357.6182295
n2h4 H N x x 4 2 x x 434.6401208
ch2nh H C N x 3 1 1 x 436.7111372
alf Al F x x 1 1 x x 158.8698808
acetic H C O x 4 2 2 x 807.5167254
c2h2 C H x x 2 2 x x 401.5389526
h2co H O C x 2 1 1 x 373.3234669
h2cn H C N x 2 1 1 x 346.6143879
bf F B x x 1 1 x x 180.4984785
becl2 Cl Be x x 2 1 x x 233.3590461
t-hcoh H C O x 2 1 1 x 320.0136236
alcl3 Cl Al x x 3 1 x x 314.6910261
c-hcoh H C O x 2 1 1 x 315.3604404
alcl Al Cl x x 1 1 x x 120.5481916
ketene C H O x 2 2 1 x 537.7469028
sif F Si x x 1 1 x x 140.5801801
formic H O C x 2 2 1 x 503.6106729
hcnh H C N x 2 1 1 x 338.4096161
glyoxal C H O x 2 2 2 x 635.8384559
hcof C O H F 1 1 1 1 405.3149183
nh2cl H N Cl x 2 1 1 x 245.9017286
cf4 F C x x 4 1 x x 480.6833048
hccf C H F x 2 1 1 x 397.5194283
hcn H C N x 1 1 1 x 307.1700474
hnc H N C x 1 1 1 x 293.2529479
cch C H x x 2 1 x x 265.8872011
hco O C H x 1 1 1 x 282.1262772
co C O x x 1 1 x x 254.2792256
oxirene C H O x 2 2 1 x 456.3608549
f2co F O C x 2 1 1 x 424.0022021
hocn C N O H 1 1 1 1 407.1336921
hooh H O x x 2 2 x x 267.1731288
t-n2h2 H N x x 2 2 x x 290.5630845
hnco C O N H 1 1 1 1 437.9934538
c-n2h2 H N x x 2 2 x x 285.0806219
cf2 F C x x 2 1 x x 258.5800727
co2 O C x x 2 1 x x 392.650669
fccf F C x x 2 2 x x 386.852305
dioxirane H O C x 2 2 1 x 412.7492243
cf C F x x 1 1 x x 134.2614099
ssh S H x x 2 1 x x 169.1209655
hocl O H Cl x 1 1 1 x 164.3533874
nccn N C x x 2 2 x x 496.1740183
n2 N x x x 2 x x x 219.158569
n2h N H x x 2 1 x x 224.5603643
ocs O C S x 1 1 1 x 340.2245571
sio Si O x x 1 1 x x 187.3784776
clcn Cl C N x 1 1 1 x 282.2764342
hoo O H x x 2 1 x x 179.6739301
hcno C H N O 1 1 1 1 367.7824792
honc H O N C 1 1 1 1 347.0882345
hno N H O x 1 1 1 x 201.2325373
hof H O F x 1 1 1 x 157.4751592
c-hono O N H x 2 1 1 x 312.8714082
t-hono O N H x 2 1 1 x 313.7426173
cs2 S C x x 2 1 x x 286.3995588
hnnn N H x x 3 1 x x 333.1031414
cs C S x x 1 1 x x 167.6011629
cn C N x x 1 1 x x 177.4327843
so3 O S x x 3 1 x x 351.3158153
ccl2 Cl C x x 2 1 x x 180.6707427
bn3pi B N x x 1 1 x x 114.005461
so2 O S x x 2 1 x x 261.0128205
no N O x x 1 1 x x 150.9902923
so S O x x 1 1 x x 132.0855751
n2o N O x x 2 1 x x 272.0992824
c-hooo O H x x 3 1 x x 241.7597365
s2 S x x x 2 x x x 109.6812465
p4 P x x x 4 x x x 294.5212695
cl2 Cl x x x 2 x x x 58.35875533
o2 O x x x 2 x x x 127.3676097
f2 F x x x 2 x x x 37.22154298
t-hooo O H x x 3 1 x x 242.5315381
s2o S O x x 2 1 x x 211.7876012
p2 P x x x 2 x x x 112.7265316
clf Cl F x x 1 1 x x 61.43572191
no2 O N x x 2 1 x x 235.7657569
clo Cl O x x 1 1 x x 69.6907029
s3 S x x x 3 x x x 171.9388896
cl2o Cl O x x 2 1 x x 102.027102
s4-c2v S x x x 4 x x x 241.8764853
of O F x x 1 1 x x 57.76366588
c2 C x x x 2 x x x 142.9578728
oclo O Cl x x 2 1 x x 137.1663078
f2o F O x x 2 1 x x 97.53280618
b2 B x x x 2 x x x 80.503881
fo2 O F x x 2 1 x x 144.7707743
cloo O Cl x x 2 1 x x 136.7044899
foof F O x x 2 2 x x 166.1787967
o3 O x x x 3 x x x 149.142011
bn B N x x 1 1 x x 109.84347
be2 Be x x x 2 x x x 11.88017286
