xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1303.915526
pentane H C x x 12 5 x x 1599.259092
hexane H C x x 14 6 x x 1894.625541
heptane H C x x 16 7 x x 2189.980216
octane H C x x 18 8 x x 2485.367329
isobutane H C x x 10 4 x x 1305.207552
isopentane H C x x 12 5 x x 1599.85444
isohexane H C x x 14 6 x x 1895.143399
isoheptane H C x x 16 7 x x 2190.527347
isooctane H C x x 18 8 x x 2485.409516
neopentane H C x x 12 5 x x 1602.400249
neohexane H C x x 14 6 x x 1896.234383
neoheptane H C x x 16 7 x x 2191.444266
3methylpentane H C x x 14 6 x x 1894.3198
diisopropyl H C x x 14 6 x x 1894.935309
hexamethylethane H C x x 18 8 x x 2484.346043
h2 H x x x 2 x x x 107.6594054
alh3 H Al x x 3 1 x x 212.2915813
alh Al H x x 1 1 x x 69.74146607
sih4 H Si x x 4 1 x x 323.4715255
bh3 H B x x 3 1 x x 283.0537551
bh B H x x 1 1 x x 82.05093784
ch2-trip H C x x 2 1 x x 196.757037
sih H Si x x 1 1 x x 72.38832894
si2h6 H Si x x 6 2 x x 535.9565531
ch3 H C x x 3 1 x x 312.4034944
ch4 H C x x 4 1 x x 419.5853116
b2h6 H B x x 6 2 x x 617.1219821
sih3f H F Si x 3 1 1 x 379.0271208
ph3 H P x x 3 1 x x 241.9579334
c2h6 H C x x 6 2 x x 713.0515688
propane H C x x 8 3 x x 1008.520412
ch2-sing H C x x 2 1 x x 186.6687407
ch C H x x 1 1 x x 83.38471525
h2s H S x x 2 1 x x 182.4188597
hs S H x x 1 1 x x 88.85690619
c2h5f H C F x 5 2 1 x 722.5677799
ch3nh2 H C N x 5 1 1 x 580.4346656
ch3f H F C x 3 1 1 x 422.7435491
propene H C x x 6 3 x x 861.7011641
nh3 H N x x 3 1 x x 294.530562
ethanol H C O x 6 2 1 x 811.3043697
ch3nh H C N x 4 1 1 x 479.2873167
c2h4 H C x x 4 2 x x 562.658735
methanol H C O x 4 1 1 x 512.5382943
hcl Cl H x x 1 1 x x 105.750342
nh2 H N x x 2 1 x x 184.4349708
nh N H x x 1 1 x x 84.71988547
ch2nh2 H C N x 4 1 1 x 486.1193516
bhf2 F B H x 2 1 1 x 411.8659016
h2o H O x x 2 1 x x 229.1289916
hf F H x x 1 1 x x 137.1002545
ch2ch H C x x 3 2 x x 450.5938058
oh O H x x 1 1 x x 108.548708
propyne H C x x 4 3 x x 703.8687517
acetaldehyde H C O x 4 2 1 x 678.8720707
allene H C x x 4 3 x x 706.0834695
sif4 F Si x x 4 1 x x 567.4685084
bf3 F B x x 3 1 x x 470.6578363
c2h3f H C F x 3 2 1 x 575.1641013
oxirane H C O x 4 2 1 x 654.2994557
ch2f2 H F C x 2 2 1 x 437.9898943
alf3 F Al x x 3 1 x x 423.2226764
bef2 F Be x x 2 1 x x 309.7307804
ch2c C H x x 2 2 x x 357.4252733
n2h4 H N x x 4 2 x x 434.3495086
ch2nh H C N x 3 1 1 x 436.4740662
alf Al F x x 1 1 x x 158.8170477
acetic H C O x 4 2 2 x 806.920228
c2h2 C H x x 2 2 x x 401.3645084
h2co H O C x 2 1 1 x 373.1776611
h2cn H C N x 2 1 1 x 346.4451574
bf F B x x 1 1 x x 180.4578261
becl2 Cl Be x x 2 1 x x 233.0964208
t-hcoh H C O x 2 1 1 x 319.8719061
alcl3 Cl Al x x 3 1 x x 314.145534
c-hcoh H C O x 2 1 1 x 315.2175946
alcl Al Cl x x 1 1 x x 120.4146337
ketene C H O x 2 2 1 x 537.4602332
sif F Si x x 1 1 x x 140.5256587
formic H O C x 2 2 1 x 503.3641758
hcnh H C N x 2 1 1 x 338.2415136
glyoxal C H O x 2 2 2 x 635.4134127
hcof C O H F 1 1 1 1 405.1547867
nh2cl H N Cl x 2 1 1 x 245.6969222
cf4 F C x x 4 1 x x 480.4429505
hccf C H F x 2 1 1 x 397.3334655
hcn H C N x 1 1 1 x 307.0606422
hnc H N C x 1 1 1 x 293.1325949
cch C H x x 2 1 x x 265.7595338
hco O C H x 1 1 1 x 282.0349189
co C O x x 1 1 x x 254.2279772
oxirene C H O x 2 2 1 x 456.0933429
f2co F O C x 2 1 1 x 423.8238847
hocn C N O H 1 1 1 1 406.9335956
hooh H O x x 2 2 x x 267.0590665
t-n2h2 H N x x 2 2 x x 290.4021102
hnco C O N H 1 1 1 1 437.7889291
c-n2h2 H N x x 2 2 x x 284.9185959
cf2 F C x x 2 1 x x 258.4917387
co2 O C x x 2 1 x x 392.530705
fccf F C x x 2 2 x x 386.6527132
dioxirane H O C x 2 2 1 x 412.5296594
cf C F x x 1 1 x x 134.2225816
ssh S H x x 2 1 x x 168.8996272
hocl O H Cl x 1 1 1 x 164.2386544
nccn N C x x 2 2 x x 495.8633939
n2 N x x x 2 x x x 219.1034364
n2h N H x x 2 1 x x 224.4566053
ocs O C S x 1 1 1 x 340.0282832
sio Si O x x 1 1 x x 187.305031
clcn Cl C N x 1 1 1 x 282.0647349
hoo O H x x 2 1 x x 179.6036775
hcno C H N O 1 1 1 1 367.5804668
honc H O N C 1 1 1 1 346.8729238
hno N H O x 1 1 1 x 201.1457878
hof H O F x 1 1 1 x 157.4160074
c-hono O N H x 2 1 1 x 312.6996408
t-hono O N H x 2 1 1 x 313.5729541
cs2 S C x x 2 1 x x 286.0952306
hnnn N H x x 3 1 x x 332.8785912
cs C S x x 1 1 x x 167.4942624
cn C N x x 1 1 x x 177.3662513
so3 O S x x 3 1 x x 351.0154035
ccl2 Cl C x x 2 1 x x 180.4004754
bn3pi B N x x 1 1 x x 113.9332486
so2 O S x x 2 1 x x 260.8457282
no N O x x 1 1 x x 150.946972
so S O x x 1 1 x x 132.0173668
n2o N O x x 2 1 x x 271.9645008
c-hooo O H x x 3 1 x x 241.6123706
s2 S x x x 2 x x x 109.5449346
p4 P x x x 4 x x x 293.7094784
cl2 Cl x x x 2 x x x 58.24485724
o2 O x x x 2 x x x 127.332928
f2 F x x x 2 x x x 37.19899979
t-hooo O H x x 3 1 x x 242.3855128
s2o S O x x 2 1 x x 211.5233871
p2 P x x x 2 x x x 112.565168
clf Cl F x x 1 1 x x 61.38676719
no2 O N x x 2 1 x x 235.6501432
clo Cl O x x 1 1 x x 69.62759613
s3 S x x x 3 x x x 171.5468154
cl2o Cl O x x 2 1 x x 101.8050805
s4-c2v S x x x 4 x x x 241.1039545
of O F x x 1 1 x x 57.73612356
c2 C x x x 2 x x x 142.8760404
oclo O Cl x x 2 1 x x 137.0070248
f2o F O x x 2 1 x x 97.46070551
b2 B x x x 2 x x x 80.40340701
fo2 O F x x 2 1 x x 144.6848558
cloo O Cl x x 2 1 x x 136.556759
foof F O x x 2 2 x x 166.0311033
o3 O x x x 3 x x x 149.0457062
bn B N x x 1 1 x x 109.7712484
be2 Be x x x 2 x x x 11.66528658
C4H4 C H x x 4 4 x x 798.5800879
C6H6 C H x x 6 6 x x 1260.013003
C8H8 C H x x 8 8 x x 1712.478927
C10H10 C H x x 10 10 x x 2203.233572
C12H12 C H x x 12 12 x x 2725.718426
C20H20 C H x x 20 20 x x 4627.921281
