xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1295.44917
pentane H C x x 12 5 x x 1588.616092
hexane H C x x 14 6 x x 1881.789331
heptane H C x x 16 7 x x 2174.97098
octane H C x x 18 8 x x 2468.161111
isobutane H C x x 10 4 x x 1296.618188
isopentane H C x x 12 5 x x 1589.068295
isohexane H C x x 14 6 x x 1882.164693
isoheptane H C x x 16 7 x x 2175.360663
isooctane H C x x 18 8 x x 2467.589208
neopentane H C x x 12 5 x x 1591.409117
neohexane H C x x 14 6 x x 1883.031287
neoheptane H C x x 16 7 x x 2176.040185
3methylpentane H C x x 14 6 x x 1881.333203
diisopropyl H C x x 14 6 x x 1881.80006
hexamethylethane H C x x 18 8 x x 2466.294371
h2 H x x x 2 x x x 107.3012821
alh3 H Al x x 3 1 x x 211.6492445
alh Al H x x 1 1 x x 69.17019096
sih4 H Si x x 4 1 x x 322.6667318
bh3 H B x x 3 1 x x 282.3665163
bh B H x x 1 1 x x 81.43938999
ch2-trip H C x x 2 1 x x 195.5713573
sih H Si x x 1 1 x x 71.79201024
si2h6 H Si x x 6 2 x x 533.797691
ch3 H C x x 3 1 x x 310.4614201
ch4 H C x x 4 1 x x 417.5474478
b2h6 H B x x 6 2 x x 613.9938007
sih3f H F Si x 3 1 1 x 374.3686026
ph3 H P x x 3 1 x x 239.706641
c2h6 H C x x 6 2 x x 708.9725677
propane H C x x 8 3 x x 1002.254213
ch2-sing H C x x 2 1 x x 184.6085755
ch C H x x 1 1 x x 82.17689299
h2s H S x x 2 1 x x 180.1486491
hs S H x x 1 1 x x 87.47674109
c2h5f H C F x 5 2 1 x 713.2355233
ch3nh2 H C N x 5 1 1 x 573.3920549
ch3f H F C x 3 1 1 x 415.7096667
propene H C x x 6 3 x x 853.5516481
nh3 H N x x 3 1 x x 289.8158671
ethanol H C O x 6 2 1 x 800.677958
ch3nh H C N x 4 1 1 x 472.2030832
c2h4 H C x x 4 2 x x 556.8071423
methanol H C O x 4 1 1 x 504.1651856
hcl Cl H x x 1 1 x x 104.2952741
nh2 H N x x 2 1 x x 180.3101413
nh N H x x 1 1 x x 82.58876569
ch2nh2 H C N x 4 1 1 x 478.6576556
bhf2 F B H x 2 1 1 x 402.3216446
h2o H O x x 2 1 x x 223.6376132
hf F H x x 1 1 x x 133.5287323
ch2ch H C x x 3 2 x x 444.2965635
oh O H x x 1 1 x x 104.967209
propyne H C x x 4 3 x x 694.0338693
acetaldehyde H C O x 4 2 1 x 665.817936
allene H C x x 4 3 x x 695.2291397
sif4 F Si x x 4 1 x x 551.3286062
bf3 F B x x 3 1 x x 457.5976754
c2h3f H C F x 3 2 1 x 563.5955095
oxirane H C O x 4 2 1 x 641.6472622
ch2f2 H F C x 2 2 1 x 426.2487596
alf3 F Al x x 3 1 x x 409.5740298
bef2 F Be x x 2 1 x x 300.3555665
ch2c C H x x 2 2 x x 350.1578965
n2h4 H N x x 4 2 x x 424.2517985
ch2nh H C N x 3 1 1 x 427.1426196
alf Al F x x 1 1 x x 153.3565659
acetic H C O x 4 2 2 x 787.3925491
c2h2 C H x x 2 2 x x 393.651923
h2co H O C x 2 1 1 x 362.5475849
h2cn H C N x 2 1 1 x 337.3352359
bf F B x x 1 1 x x 174.364348
becl2 Cl Be x x 2 1 x x 228.9195253
t-hcoh H C O x 2 1 1 x 310.1181358
alcl3 Cl Al x x 3 1 x x 308.3952622
c-hcoh H C O x 2 1 1 x 305.3321333
alcl Al Cl x x 1 1 x x 117.8127056
ketene C H O x 2 2 1 x 521.7641935
sif F Si x x 1 1 x x 134.9210989
formic H O C x 2 2 1 x 485.8768414
hcnh H C N x 2 1 1 x 327.8608698
glyoxal C H O x 2 2 2 x 613.2355618
hcof C O H F 1 1 1 1 388.939091
nh2cl H N Cl x 2 1 1 x 237.9378727
cf4 F C x x 4 1 x x 460.2952531
hccf C H F x 2 1 1 x 384.3561514
hcn H C N x 1 1 1 x 296.0460009
hnc H N C x 1 1 1 x 283.2220022
