xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 103.6444645
alh3 H Al x x 3 1 x x 204.9127989
alh Al H x x 1 1 x x 69.39382311
sih4 H Si x x 4 1 x x 318.6783815
bh3 H B x x 3 1 x x 281.3902026
bh B H x x 1 1 x x 81.79268819
ch2-trip H C x x 2 1 x x 199.3989975
sih H Si x x 1 1 x x 72.61034362
si2h6 H Si x x 6 2 x x 533.1471871
ch3 H C x x 3 1 x x 316.5382161
ch4 H C x x 4 1 x x 430.0398845
b2h6 H B x x 6 2 x x 624.744576
sih3f H F Si x 3 1 1 x 383.8844019
ph3 H P x x 3 1 x x 245.430264
c2h6 H C x x 6 2 x x 738.8039437
propane H C x x 8 3 x x 1049.525354
ch2-sing H C x x 2 1 x x 188.4439284
ch C H x x 1 1 x x 85.15678155
h2s H S x x 2 1 x x 189.2109349
hs S H x x 1 1 x x 91.15419011
c2h5f H C F x 5 2 1 x 760.4566432
ch3nh2 H C N x 5 1 1 x 610.2106454
ch3f H F C x 3 1 1 x 445.4253984
propene H C x x 6 3 x x 904.1743393
nh3 H N x x 3 1 x x 309.5535972
ethanol H C O x 6 2 1 x 853.7874024
ch3nh H C N x 4 1 1 x 502.6826277
c2h4 H C x x 4 2 x x 589.4106488
methanol H C O x 4 1 1 x 539.8819566
hcl Cl H x x 1 1 x x 111.2459867
nh2 H N x x 2 1 x x 191.4382417
nh N H x x 1 1 x x 88.53209366
ch2nh2 H C N x 4 1 1 x 513.3732186
bhf2 F B H x 2 1 1 x 435.4123853
h2o H O x x 2 1 x x 243.0468892
hf F H x x 1 1 x x 147.9854475
ch2ch H C x x 3 2 x x 473.294598
oh O H x x 1 1 x x 113.153121
propyne H C x x 4 3 x x 747.6389168
acetaldehyde H C O x 4 2 1 x 722.3378517
allene H C x x 4 3 x x 750.8060436
sif4 F Si x x 4 1 x x 601.7656209
bf3 F B x x 3 1 x x 505.8479693
c2h3f H C F x 3 2 1 x 615.3054325
oxirane H C O x 4 2 1 x 700.8870007
ch2f2 H F C x 2 2 1 x 474.3186685
alf3 F Al x x 3 1 x x 444.7228851
bef2 F Be x x 2 1 x x 325.3903869
ch2c C H x x 2 2 x x 382.2981143
n2h4 H N x x 4 2 x x 469.6975241
ch2nh H C N x 3 1 1 x 466.5834508
alf Al F x x 1 1 x x 168.9837606
acetic H C O x 4 2 2 x 867.7357645
c2h2 C H x x 2 2 x x 429.0267028
h2co H O C x 2 1 1 x 401.0094128
h2cn H C N x 2 1 1 x 370.5723039
bf F B x x 1 1 x x 195.1254963
becl2 Cl Be x x 2 1 x x 239.3368073
t-hcoh H C O x 2 1 1 x 347.603544
alcl3 Cl Al x x 3 1 x x 324.3027884
c-hcoh H C O x 2 1 1 x 343.0701289
alcl Al Cl x x 1 1 x x 126.5781607
ketene C H O x 2 2 1 x 583.1585322
sif F Si x x 1 1 x x 152.689594
formic H O C x 2 2 1 x 549.3513841
hcnh H C N x 2 1 1 x 366.7112132
glyoxal C H O x 2 2 2 x 695.8833432
hcof C O H F 1 1 1 1 447.0453906
nh2cl H N Cl x 2 1 1 x 271.1278618
cf4 F C x x 4 1 x x 544.0400791
hccf C H F x 2 1 1 x 440.6464386
hcn H C N x 1 1 1 x 336.2839541
hnc H N C x 1 1 1 x 321.9885802
cch C H x x 2 1 x x 288.846329
hco O C H x 1 1 1 x 308.3532679
co C O x x 1 1 x x 279.8810416
oxirene C H O x 2 2 1 x 505.6408474
f2co F O C x 2 1 1 x 479.633248
hocn C N O H 1 1 1 1 455.6778709
hooh H O x x 2 2 x x 299.3443635
t-n2h2 H N x x 2 2 x x 326.0740966
hnco C O N H 1 1 1 1 486.7053017
c-n2h2 H N x x 2 2 x x 320.9356509
cf2 F C x x 2 1 x x 296.5357919
co2 O C x x 2 1 x x 438.8860924
fccf F C x x 2 2 x x 446.0739486
dioxirane H O C x 2 2 1 x 460.504552
cf C F x x 1 1 x x 154.3189567
ssh S H x x 2 1 x x 185.8893707
hocl O H Cl x 1 1 1 x 188.7651341
nccn N C x x 2 2 x x 560.4452035
n2 N x x x 2 x x x 250.0075987
n2h N H x x 2 1 x x 256.0931364
ocs O C S x 1 1 1 x 380.6415818
sio Si O x x 1 1 x x 204.8443437
clcn Cl C N x 1 1 1 x 323.4356232
hoo O H x x 2 1 x x 209.6297079
hcno C H N O 1 1 1 1 424.2887889
honc H O N C 1 1 1 1 398.3167061
hno N H O x 1 1 1 x 235.5467925
hof H O F x 1 1 1 x 185.7812758
c-hono O N H x 2 1 1 x 368.7442069
t-hono O N H x 2 1 1 x 369.1734833
cs2 S C x x 2 1 x x 321.1368297
hnnn N H x x 3 1 x x 391.5938982
cs C S x x 1 1 x x 189.1427329
cn C N x x 1 1 x x 204.9574499
so3 O S x x 3 1 x x 410.1171103
ccl2 Cl C x x 2 1 x x 211.9241963
bn3pi B N x x 1 1 x x 126.9475617
so2 O S x x 2 1 x x 303.525609
no N O x x 1 1 x x 181.6062064
so S O x x 1 1 x x 152.2933692
n2o N O x x 2 1 x x 330.2370256
c-hooo O H x x 3 1 x x 295.2341294
s2 S x x x 2 x x x 125.504969
p4 P x x x 4 x x x 339.4916689
cl2 Cl x x x 2 x x x 75.04678417
o2 O x x x 2 x x x 157.1563571
f2 F x x x 2 x x x 62.74458988
t-hooo O H x x 3 1 x x 295.7979223
s2o S O x x 2 1 x x 250.1117818
p2 P x x x 2 x x x 129.2409523
clf Cl F x x 1 1 x x 82.11865126
no2 O N x x 2 1 x x 291.9642083
clo Cl O x x 1 1 x x 91.60906629
s3 S x x x 3 x x x 205.4495942
cl2o Cl O x x 2 1 x x 137.4579183
s4-c2v S x x x 4 x x x 289.2635517
of O F x x 1 1 x x 82.02520863
c2 C x x x 2 x x x 161.6710717
oclo O Cl x x 2 1 x x 185.1133134
f2o F O x x 2 1 x x 142.9815074
b2 B x x x 2 x x x 85.9439766
fo2 O F x x 2 1 x x 195.1861267
cloo O Cl x x 2 1 x x 180.0619712
foof F O x x 2 2 x x 234.9488662
o3 O x x x 3 x x x 209.0003651
bn B N x x 1 1 x x 122.6653319
be2 Be x x x 2 x x x 11.35571763
