xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1304.592166
pentane H C x x 12 5 x x 1600.566312
hexane H C x x 14 6 x x 1896.558419
heptane H C x x 16 7 x x 2192.551602
octane H C x x 18 8 x x 2488.547204
isobutane H C x x 10 4 x x 1305.751029
isopentane H C x x 12 5 x x 1601.284595
isohexane H C x x 14 6 x x 1897.249151
isoheptane H C x x 16 7 x x 2193.27575
isooctane H C x x 18 8 x x 2489.304396
neopentane H C x x 12 5 x x 1603.406407
neohexane H C x x 14 6 x x 1898.400794
neoheptane H C x x 16 7 x x 2194.336018
3methylpentane H C x x 14 6 x x 1896.707437
diisopropyl H C x x 14 6 x x 1897.206237
hexamethylethane H C x x 18 8 x x 2488.625797
h2 H x x x 2 x x x 105.926902
alh3 H Al x x 3 1 x x 210.6147742
alh Al H x x 1 1 x x 72.03453554
sih4 H Si x x 4 1 x x 321.9574835
bh3 H B x x 3 1 x x 281.6483889
bh B H x x 1 1 x x 83.2774081
ch2-trip H C x x 2 1 x x 188.0655313
sih H Si x x 1 1 x x 73.16896916
si2h6 H Si x x 6 2 x x 535.8754183
ch3 H C x x 3 1 x x 306.1834311
ch4 H C x x 4 1 x x 418.4746553
b2h6 H B x x 6 2 x x 608.9522616
sih3f H F Si x 3 1 1 x 375.9831506
ph3 H P x x 3 1 x x 242.3146358
c2h6 H C x x 6 2 x x 712.6103489
propane H C x x 8 3 x x 1008.58595
ch2-sing H C x x 2 1 x x 182.4050752
ch C H x x 1 1 x x 84.03568497
h2s H S x x 2 1 x x 182.4807151
hs S H x x 1 1 x x 87.7515538
c2h5f H C F x 5 2 1 x 719.5191179
ch3nh2 H C N x 5 1 1 x 582.5152144
ch3f H F C x 3 1 1 x 419.8481795
propene H C x x 6 3 x x 862.2681902
nh3 H N x x 3 1 x x 296.4689408
ethanol H C O x 6 2 1 x 808.3821336
ch3nh H C N x 4 1 1 x 477.9350859
c2h4 H C x x 4 2 x x 563.0382107
methanol H C O x 4 1 1 x 509.6100044
hcl Cl H x x 1 1 x x 105.7423979
nh2 H N x x 2 1 x x 183.4922468
nh N H x x 1 1 x x 84.64683415
ch2nh2 H C N x 4 1 1 x 483.9574739
bhf2 F B H x 2 1 1 x 404.8283415
h2o H O x x 2 1 x x 227.0876439
hf F H x x 1 1 x x 136.0119078
ch2ch H C x x 3 2 x x 445.619763
oh O H x x 1 1 x x 105.5640273
propyne H C x x 4 3 x x 704.6839645
acetaldehyde H C O x 4 2 1 x 676.4803253
allene H C x x 4 3 x x 705.7239419
sif4 F Si x x 4 1 x x 556.6467195
bf3 F B x x 3 1 x x 461.4869322
c2h3f H C F x 3 2 1 x 571.8154518
oxirane H C O x 4 2 1 x 651.8096523
ch2f2 H F C x 2 2 1 x 433.145536
alf3 F Al x x 3 1 x x 414.2685292
bef2 F Be x x 2 1 x x 301.2663012
ch2c C H x x 2 2 x x 360.2236396
n2h4 H N x x 4 2 x x 439.6482627
ch2nh H C N x 3 1 1 x 439.4263533
alf Al F x x 1 1 x x 157.9213995
acetic H C O x 4 2 2 x 800.7688235
c2h2 C H x x 2 2 x x 401.8500203
h2co H O C x 2 1 1 x 371.3415102
h2cn H C N x 2 1 1 x 345.8729279
bf F B x x 1 1 x x 179.2156994
becl2 Cl Be x x 2 1 x x 228.5715264
t-hcoh H C O x 2 1 1 x 319.6322938
alcl3 Cl Al x x 3 1 x x 313.856741
c-hcoh H C O x 2 1 1 x 314.8278528
alcl Al Cl x x 1 1 x x 122.6646389
ketene C H O x 2 2 1 x 533.4338975
sif F Si x x 1 1 x x 138.3331992
formic H O C x 2 2 1 x 497.2454906
hcnh H C N x 2 1 1 x 337.2932633
glyoxal C H O x 2 2 2 x 631.5911868
hcof C O H F 1 1 1 1 399.3109566
nh2cl H N Cl x 2 1 1 x 248.3210774
cf4 F C x x 4 1 x x 471.2642547
hccf C H F x 2 1 1 x 394.9152019
hcn H C N x 1 1 1 x 310.7211656
hnc H N C x 1 1 1 x 297.8453879
cch C H x x 2 1 x x 259.8506736
hco O C H x 1 1 1 x 277.3221578
co C O x x 1 1 x x 255.8398442
oxirene C H O x 2 2 1 x 453.0791031
f2co F O C x 2 1 1 x 415.7880678
hocn C N O H 1 1 1 1 407.6859609
hooh H O x x 2 2 x x 261.1422025
t-n2h2 H N x x 2 2 x x 297.4377249
