xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 105.8797421
alh3 H Al x x 3 1 x x 209.5004043
alh Al H x x 1 1 x x 71.50809005
sih4 H Si x x 4 1 x x 320.3828857
bh3 H B x x 3 1 x x 281.0587055
bh B H x x 1 1 x x 83.04762216
ch2-trip H C x x 2 1 x x 187.7304033
sih H Si x x 1 1 x x 72.73502775
si2h6 H Si x x 6 2 x x 529.8861981
ch3 H C x x 3 1 x x 305.641618
ch4 H C x x 4 1 x x 417.746816
b2h6 H B x x 6 2 x x 606.2997422
sih3f H F Si x 3 1 1 x 374.2557942
ph3 H P x x 3 1 x x 241.186031
c2h6 H C x x 6 2 x x 710.4090016
propane H C x x 8 3 x x 1004.401782
ch2-sing H C x x 2 1 x x 182.0687406
ch C H x x 1 1 x x 83.86062215
h2s H S x x 2 1 x x 181.8296955
hs S H x x 1 1 x x 87.44252256
c2h5f H C F x 5 2 1 x 717.1478735
ch3nh2 H C N x 5 1 1 x 580.7853537
ch3f H F C x 3 1 1 x 419.0147535
propene H C x x 6 3 x x 858.7509714
nh3 H N x x 3 1 x x 296.0197984
ethanol H C O x 6 2 1 x 805.4744748
ch3nh H C N x 4 1 1 x 476.4899544
c2h4 H C x x 4 2 x x 561.3554757
methanol H C O x 4 1 1 x 508.3783542
hcl Cl H x x 1 1 x x 105.4863364
nh2 H N x x 2 1 x x 183.2123073
nh N H x x 1 1 x x 84.52229314
ch2nh2 H C N x 4 1 1 x 482.481183
bhf2 F B H x 2 1 1 x 404.0316632
h2o H O x x 2 1 x x 226.877276
hf F H x x 1 1 x x 135.9467735
ch2ch H C x x 3 2 x x 444.2643139
oh O H x x 1 1 x x 105.4715792
propyne H C x x 4 3 x x 702.0900798
acetaldehyde H C O x 4 2 1 x 674.171387
allene H C x x 4 3 x x 703.0187594
sif4 F Si x x 4 1 x x 554.3292972
bf3 F B x x 3 1 x x 460.5535326
c2h3f H C F x 3 2 1 x 569.9921556
oxirane H C O x 4 2 1 x 649.6915261
ch2f2 H F C x 2 2 1 x 432.1837483
alf3 F Al x x 3 1 x x 412.7140176
bef2 F Be x x 2 1 x x 300.6710805
ch2c C H x x 2 2 x x 359.0579265
n2h4 H N x x 4 2 x x 438.3453737
ch2nh H C N x 3 1 1 x 438.2179401
alf Al F x x 1 1 x x 157.2834676
acetic H C O x 4 2 2 x 797.7099661
c2h2 C H x x 2 2 x x 400.8095049
h2co H O C x 2 1 1 x 370.574577
h2cn H C N x 2 1 1 x 344.9512064
bf F B x x 1 1 x x 178.9178305
becl2 Cl Be x x 2 1 x x 225.7536854
t-hcoh H C O x 2 1 1 x 318.8884058
alcl3 Cl Al x x 3 1 x x 306.401307
c-hcoh H C O x 2 1 1 x 314.076296
alcl Al Cl x x 1 1 x x 119.8318392
ketene C H O x 2 2 1 x 531.7702378
sif F Si x x 1 1 x x 137.7804938
formic H O C x 2 2 1 x 495.9301444
hcnh H C N x 2 1 1 x 336.3783519
glyoxal C H O x 2 2 2 x 629.1828696
hcof C O H F 1 1 1 1 398.423857
nh2cl H N Cl x 2 1 1 x 247.0098238
cf4 F C x x 4 1 x x 469.9764527
hccf C H F x 2 1 1 x 393.7633836
hcn H C N x 1 1 1 x 310.0669705
hnc H N C x 1 1 1 x 297.1215883
cch C H x x 2 1 x x 258.9905113
hco O C H x 1 1 1 x 276.796453
co C O x x 1 1 x x 255.4936661
oxirene C H O x 2 2 1 x 451.5024347
f2co F O C x 2 1 1 x 414.7576683
hocn C N O H 1 1 1 1 406.5228119
hooh H O x x 2 2 x x 260.6173242
t-n2h2 H N x x 2 2 x x 296.6384069
hnco C O N H 1 1 1 1 434.2519726
c-n2h2 H N x x 2 2 x x 291.1142862
cf2 F C x x 2 1 x x 254.6991489
co2 O C x x 2 1 x x 386.2309921
fccf F C x x 2 2 x x 380.8524998
dioxirane H O C x 2 2 1 x 403.231794
cf C F x x 1 1 x x 131.955704
ssh S H x x 2 1 x x 165.9466837
hocl O H Cl x 1 1 1 x 160.7852665
nccn N C x x 2 2 x x 499.457824
n2 N x x x 2 x x x 227.8353385
n2h N H x x 2 1 x x 227.6641845
ocs O C S x 1 1 1 x 333.8562213
sio Si O x x 1 1 x x 182.5541178
clcn Cl C N x 1 1 1 x 284.1804864
hoo O H x x 2 1 x x 172.5556976
hcno C H N O 1 1 1 1 361.8434819
honc H O N C 1 1 1 1 347.9634136
hno N H O x 1 1 1 x 202.2710069
hof H O F x 1 1 1 x 150.4670528
c-hono O N H x 2 1 1 x 307.2705773
