xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1460.998634
pentane H C x x 12 5 x x 1794.688772
hexane H C x x 14 6 x x 2128.414368
heptane H C x x 16 7 x x 2462.11423
octane H C x x 18 8 x x 2795.833578
isobutane H C x x 10 4 x x 1462.590305
isopentane H C x x 12 5 x x 1795.961391
isohexane H C x x 14 6 x x 2129.610773
isoheptane H C x x 16 7 x x 2463.351128
isooctane H C x x 18 8 x x 2798.13663
neopentane H C x x 12 5 x x 1798.640607
neohexane H C x x 14 6 x x 2131.48805
neoheptane H C x x 16 7 x x 2465.058832
3methylpentane H C x x 14 6 x x 2129.209006
diisopropyl H C x x 14 6 x x 2130.308982
hexamethylethane H C x x 18 8 x x 2798.713816
h2 H x x x 2 x x x 112.9306625
alh3 H Al x x 3 1 x x 224.9042962
alh Al H x x 1 1 x x 77.45513796
sih4 H Si x x 4 1 x x 347.0983607
bh3 H B x x 3 1 x x 303.7941956
bh B H x x 1 1 x x 89.86412119
ch2-trip H C x x 2 1 x x 212.5168804
sih H Si x x 1 1 x x 80.38789667
si2h6 H Si x x 6 2 x x 579.316661
ch3 H C x x 3 1 x x 338.86068
ch4 H C x x 4 1 x x 462.0022852
b2h6 H B x x 6 2 x x 674.18042
sih3f H F Si x 3 1 1 x 418.3664093
ph3 H P x x 3 1 x x 269.8013648
c2h6 H C x x 6 2 x x 793.4004031
propane H C x x 8 3 x x 1127.27993
ch2-sing H C x x 2 1 x x 202.0700394
ch C H x x 1 1 x x 92.34440752
h2s H S x x 2 1 x x 206.409895
hs S H x x 1 1 x x 99.62745421
c2h5f H C F x 5 2 1 x 820.4212735
ch3nh2 H C N x 5 1 1 x 660.5594866
ch3f H F C x 3 1 1 x 482.1641463
propene H C x x 6 3 x x 969.9218301
nh3 H N x x 3 1 x x 337.1154654
ethanol H C O x 6 2 1 x 923.1081614
ch3nh H C N x 4 1 1 x 542.8665061
c2h4 H C x x 4 2 x x 631.9982202
methanol H C O x 4 1 1 x 585.9007618
hcl Cl H x x 1 1 x x 120.3676138
nh2 H N x x 2 1 x x 207.8230928
nh N H x x 1 1 x x 95.33326765
ch2nh2 H C N x 4 1 1 x 556.0850521
bhf2 F B H x 2 1 1 x 470.837618
h2o H O x x 2 1 x x 266.2734338
hf F H x x 1 1 x x 161.9636074
ch2ch H C x x 3 2 x x 506.8183733
oh O H x x 1 1 x x 124.022402
propyne H C x x 4 3 x x 801.3297549
acetaldehyde H C O x 4 2 1 x 778.2109072
allene H C x x 4 3 x x 804.5495288
sif4 F Si x x 4 1 x x 655.5472202
bf3 F B x x 3 1 x x 547.6984577
c2h3f H C F x 3 2 1 x 663.4382825
oxirane H C O x 4 2 1 x 756.3530215
ch2f2 H F C x 2 2 1 x 516.4599221
alf3 F Al x x 3 1 x x 482.3502264
bef2 F Be x x 2 1 x x 351.6663742
ch2c C H x x 2 2 x x 410.9477691
n2h4 H N x x 4 2 x x 515.3852614
ch2nh H C N x 3 1 1 x 503.8245063
alf Al F x x 1 1 x x 183.7559363
acetic H C O x 4 2 2 x 939.1430209
c2h2 C H x x 2 2 x x 459.7948261
h2co H O C x 2 1 1 x 433.4675762
h2cn H C N x 2 1 1 x 398.4262809
bf F B x x 1 1 x x 210.5572515
becl2 Cl Be x x 2 1 x x 253.3395553
t-hcoh H C O x 2 1 1 x 379.7924413
alcl3 Cl Al x x 3 1 x x 343.5975154
c-hcoh H C O x 2 1 1 x 375.043247
alcl Al Cl x x 1 1 x x 134.8809565
ketene C H O x 2 2 1 x 627.2295516
sif F Si x x 1 1 x x 167.0678167
formic H O C x 2 2 1 x 597.254921
hcnh H C N x 2 1 1 x 396.2182628
glyoxal C H O x 2 2 2 x 752.3320398
hcof C O H F 1 1 1 1 485.2658301
nh2cl H N Cl x 2 1 1 x 297.6434969
cf4 F C x x 4 1 x x 598.0113598
hccf C H F x 2 1 1 x 476.8574802
hcn H C N x 1 1 1 x 360.8133642
hnc H N C x 1 1 1 x 346.8307807
cch C H x x 2 1 x x 309.2463167
hco O C H x 1 1 1 x 332.7635856
co C O x x 1 1 x x 298.9785357
oxirene C H O x 2 2 1 x 548.4400056
f2co F O C x 2 1 1 x 523.5547199
hocn C N O H 1 1 1 1 494.7124751
hooh H O x x 2 2 x x 334.7709756
t-n2h2 H N x x 2 2 x x 357.180516
hnco C O N H 1 1 1 1 526.1788534
c-n2h2 H N x x 2 2 x x 351.84297
cf2 F C x x 2 1 x x 324.5131238
co2 O C x x 2 1 x x 472.9246335
fccf F C x x 2 2 x x 487.8654817
dioxirane H O C x 2 2 1 x 504.5790361
cf C F x x 1 1 x x 167.8478123
ssh S H x x 2 1 x x 202.7885838
hocl O H Cl x 1 1 1 x 210.9951245
nccn N C x x 2 2 x x 600.2830866
n2 N x x x 2 x x x 267.6825779
n2h N H x x 2 1 x x 279.1147563
ocs O C S x 1 1 1 x 408.9240852
sio Si O x x 1 1 x x 224.1540415
clcn Cl C N x 1 1 1 x 347.2930646
