xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 113.082581
alh3 H Al x x 3 1 x x 225.0550922
alh Al H x x 1 1 x x 77.41376494
sih4 H Si x x 4 1 x x 347.2174167
bh3 H B x x 3 1 x x 304.0269004
bh B H x x 1 1 x x 89.85356158
ch2-trip H C x x 2 1 x x 212.7415598
sih H Si x x 1 1 x x 80.3202165
si2h6 H Si x x 6 2 x x 579.3978198
ch3 H C x x 3 1 x x 339.1012237
ch4 H C x x 4 1 x x 462.2710453
b2h6 H B x x 6 2 x x 674.7128083
sih3f H F Si x 3 1 1 x 418.4642493
ph3 H P x x 3 1 x x 269.6822336
c2h6 H C x x 6 2 x x 793.7815226
propane H C x x 8 3 x x 1127.771963
ch2-sing H C x x 2 1 x x 202.1633215
ch C H x x 1 1 x x 92.32126735
h2s H S x x 2 1 x x 206.4124248
hs S H x x 1 1 x x 99.60702068
c2h5f H C F x 5 2 1 x 820.7411039
ch3nh2 H C N x 5 1 1 x 660.7409678
ch3f H F C x 3 1 1 x 482.3720255
propene H C x x 6 3 x x 970.1999487
nh3 H N x x 3 1 x x 337.1872651
ethanol H C O x 6 2 1 x 923.4628391
ch3nh H C N x 4 1 1 x 542.9686623
c2h4 H C x x 4 2 x x 632.1630662
methanol H C O x 4 1 1 x 586.1439927
hcl Cl H x x 1 1 x x 120.4090674
nh2 H N x x 2 1 x x 207.8308344
nh N H x x 1 1 x x 95.32001747
ch2nh2 H C N x 4 1 1 x 556.2146209
bhf2 F B H x 2 1 1 x 470.9984
h2o H O x x 2 1 x x 266.411141
hf F H x x 1 1 x x 162.0695756
ch2ch H C x x 3 2 x x 506.93887
oh O H x x 1 1 x x 124.0738424
propyne H C x x 4 3 x x 801.3933482
acetaldehyde H C O x 4 2 1 x 778.3457881
allene H C x x 4 3 x x 804.6127856
sif4 F Si x x 4 1 x x 655.5704753
bf3 F B x x 3 1 x x 547.8282964
c2h3f H C F x 3 2 1 x 663.5448086
oxirane H C O x 4 2 1 x 756.51381
ch2f2 H F C x 2 2 1 x 516.6092104
alf3 F Al x x 3 1 x x 482.4436136
bef2 F Be x x 2 1 x x 351.8445038
ch2c C H x x 2 2 x x 410.8543801
n2h4 H N x x 4 2 x x 515.3591999
ch2nh H C N x 3 1 1 x 503.7818451
alf Al F x x 1 1 x x 183.6943111
acetic H C O x 4 2 2 x 939.2675392
c2h2 C H x x 2 2 x x 459.7405943
h2co H O C x 2 1 1 x 433.4877849
h2cn H C N x 2 1 1 x 398.3078581
bf F B x x 1 1 x x 210.5130872
becl2 Cl Be x x 2 1 x x 253.3742838
t-hcoh H C O x 2 1 1 x 379.7850048
alcl3 Cl Al x x 3 1 x x 343.4765825
c-hcoh H C O x 2 1 1 x 375.0325643
alcl Al Cl x x 1 1 x x 134.7470307
ketene C H O x 2 2 1 x 627.1581692
sif F Si x x 1 1 x x 166.9643226
formic H O C x 2 2 1 x 597.2626933
hcnh H C N x 2 1 1 x 396.1163374
glyoxal C H O x 2 2 2 x 752.2146717
hcof C O H F 1 1 1 1 485.2326254
nh2cl H N Cl x 2 1 1 x 297.5814706
cf4 F C x x 4 1 x x 598.0509824
hccf C H F x 2 1 1 x 476.7508602
hcn H C N x 1 1 1 x 360.5469122
hnc H N C x 1 1 1 x 346.5587162
cch C H x x 2 1 x x 309.1558576
hco O C H x 1 1 1 x 332.7217632
co C O x x 1 1 x x 298.7621388
oxirene C H O x 2 2 1 x 548.358277
f2co F O C x 2 1 1 x 523.4742408
hocn C N O H 1 1 1 1 494.4329176
hooh H O x x 2 2 x x 334.8388719
t-n2h2 H N x x 2 2 x x 356.9161737
hnco C O N H 1 1 1 1 525.918314
c-n2h2 H N x x 2 2 x x 351.5751834
cf2 F C x x 2 1 x x 324.4054915
co2 O C x x 2 1 x x 472.7271595
fccf F C x x 2 2 x x 487.7072126
dioxirane H O C x 2 2 1 x 504.5521167
cf C F x x 1 1 x x 167.752523
ssh S H x x 2 1 x x 202.5918358
hocl O H Cl x 1 1 1 x 210.9922304
nccn N C x x 2 2 x x 599.6002447
n2 N x x x 2 x x x 267.1973092
n2h N H x x 2 1 x x 278.7770075
ocs O C S x 1 1 1 x 408.6038506
sio Si O x x 1 1 x x 223.8712522
clcn Cl C N x 1 1 1 x 346.9196875
hoo O H x x 2 1 x x 235.422446
hcno C H N O 1 1 1 1 463.5334586
honc H O N C 1 1 1 1 435.9943261
hno N H O x 1 1 1 x 260.631103
hof H O F x 1 1 1 x 211.2005811
c-hono O N H x 2 1 1 x 408.4529062
t-hono O N H x 2 1 1 x 408.6872718
cs2 S C x x 2 1 x x 343.3802289
hnnn N H x x 3 1 x x 428.2632612
cs C S x x 1 1 x x 201.794377
cn C N x x 1 1 x x 219.2482893
so3 O S x x 3 1 x x 455.632447
ccl2 Cl C x x 2 1 x x 227.9759667
bn3pi B N x x 1 1 x x 136.7845153
so2 O S x x 2 1 x x 335.7392906
no N O x x 1 1 x x 198.4892277
so S O x x 1 1 x x 167.4608341
n2o N O x x 2 1 x x 361.3732627
c-hooo O H x x 3 1 x x 334.4493757
s2 S x x x 2 x x x 135.2150466
p4 P x x x 4 x x x 365.4657158
cl2 Cl x x x 2 x x x 83.22843645
o2 O x x x 2 x x x 174.7198158
f2 F x x x 2 x x x 77.73217882
t-hooo O H x x 3 1 x x 334.6345253
s2o S O x x 2 1 x x 275.7387578
p2 P x x x 2 x x x 143.3117191
clf Cl F x x 1 1 x x 95.16785891
no2 O N x x 2 1 x x 323.3182866
clo Cl O x x 1 1 x x 104.4165287
s3 S x x x 3 x x x 224.788983
cl2o Cl O x x 2 1 x x 159.019885
s4-c2v S x x x 4 x x x 316.7896715
of O F x x 1 1 x x 96.84700988
c2 C x x x 2 x x x 172.3288166
oclo O Cl x x 2 1 x x 212.6472945
f2o F O x x 2 1 x x 170.8819581
b2 B x x x 2 x x x 88.74069288
fo2 O F x x 2 1 x x 223.8317473
cloo O Cl x x 2 1 x x 204.8775671
foof F O x x 2 2 x x 275.6494392
o3 O x x x 3 x x x 241.738419
bn B N x x 1 1 x x 135.1561803
be2 Be x x x 2 x x x 12.61852547
