xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 103.636832
alh3 H Al x x 3 1 x x 205.8409276
alh Al H x x 1 1 x x 68.85889423
sih4 H Si x x 4 1 x x 318.0673705
bh3 H B x x 3 1 x x 276.8530934
bh B H x x 1 1 x x 80.96404125
ch2-trip H C x x 2 1 x x 192.7218629
sih H Si x x 1 1 x x 73.08212547
si2h6 H Si x x 6 2 x x 527.7050735
ch3 H C x x 3 1 x x 306.1271737
ch4 H C x x 4 1 x x 413.5423771
b2h6 H B x x 6 2 x x 605.0044122
sih3f H F Si x 3 1 1 x 373.2956819
ph3 H P x x 3 1 x x 241.0082247
c2h6 H C x x 6 2 x x 704.5445923
propane H C x x 8 3 x x 997.852387
ch2-sing H C x x 2 1 x x 184.140746
ch C H x x 1 1 x x 85.67713352
h2s H S x x 2 1 x x 179.2466231
hs S H x x 1 1 x x 87.09048653
c2h5f H C F x 5 2 1 x 716.2045027
ch3nh2 H C N x 5 1 1 x 578.7867441
ch3f H F C x 3 1 1 x 419.0496257
propene H C x x 6 3 x x 856.3143865
nh3 H N x x 3 1 x x 294.1353692
ethanol H C O x 6 2 1 x 801.3172313
ch3nh H C N x 4 1 1 x 479.3026788
c2h4 H C x x 4 2 x x 560.1011013
methanol H C O x 4 1 1 x 505.0957473
hcl Cl H x x 1 1 x x 103.2406103
nh2 H N x x 2 1 x x 186.0711071
nh N H x x 1 1 x x 90.16508127
ch2nh2 H C N x 4 1 1 x 485.0756577
bhf2 F B H x 2 1 1 x 404.7616784
h2o H O x x 2 1 x x 222.200239
hf F H x x 1 1 x x 133.5365761
ch2ch H C x x 3 2 x x 448.0380279
oh O H x x 1 1 x x 104.8303353
propyne H C x x 4 3 x x 703.0869654
acetaldehyde H C O x 4 2 1 x 675.3035616
allene H C x x 4 3 x x 705.8750434
sif4 F Si x x 4 1 x x 557.7247306
bf3 F B x x 3 1 x x 462.2569399
c2h3f H C F x 3 2 1 x 573.9251128
oxirane H C O x 4 2 1 x 654.4652014
ch2f2 H F C x 2 2 1 x 436.3183385
alf3 F Al x x 3 1 x x 413.8009694
bef2 F Be x x 2 1 x x 303.0605772
ch2c C H x x 2 2 x x 359.634092
n2h4 H N x x 4 2 x x 440.9127908
ch2nh H C N x 3 1 1 x 441.8774575
alf Al F x x 1 1 x x 157.3900294
acetic H C O x 4 2 2 x 800.1972759
c2h2 C H x x 2 2 x x 403.8327146
h2co H O C x 2 1 1 x 373.1426986
h2cn H C N x 2 1 1 x 352.7556878
bf F B x x 1 1 x x 178.3729816
becl2 Cl Be x x 2 1 x x 225.9984856
t-hcoh H C O x 2 1 1 x 319.119263
alcl3 Cl Al x x 3 1 x x 305.4585967
c-hcoh H C O x 2 1 1 x 314.5027975
alcl Al Cl x x 1 1 x x 118.5761525
ketene C H O x 2 2 1 x 538.2454564
sif F Si x x 1 1 x x 141.7163795
