xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1314.832544
pentane H C x x 12 5 x x 1611.877416
hexane H C x x 14 6 x x 1908.950255
heptane H C x x 16 7 x x 2206.021949
octane H C x x 18 8 x x 2503.082777
isobutane H C x x 10 4 x x 1316.14521
isopentane H C x x 12 5 x x 1612.985753
isohexane H C x x 14 6 x x 1910.080129
isoheptane H C x x 16 7 x x 2207.195351
isooctane H C x x 18 8 x x 2505.74198
neopentane H C x x 12 5 x x 1615.388556
neohexane H C x x 14 6 x x 1911.929326
neoheptane H C x x 16 7 x x 2209.051067
3methylpentane H C x x 14 6 x x 1909.788551
diisopropyl H C x x 14 6 x x 1910.715993
hexamethylethane H C x x 18 8 x x 2506.930082
h2 H x x x 2 x x x 112.9876434
alh3 H Al x x 3 1 x x 220.8928243
alh Al H x x 1 1 x x 74.19909303
sih4 H Si x x 4 1 x x 335.2145781
bh3 H B x x 3 1 x x 289.3401258
bh B H x x 1 1 x x 85.18846459
ch2-trip H C x x 2 1 x x 198.9925426
sih H Si x x 1 1 x x 76.50406072
si2h6 H Si x x 6 2 x x 552.041256
ch3 H C x x 3 1 x x 314.6031932
ch4 H C x x 4 1 x x 425.7049288
b2h6 H B x x 6 2 x x 626.698004
sih3f H F Si x 3 1 1 x 387.9549022
ph3 H P x x 3 1 x x 250.0847281
c2h6 H C x x 6 2 x x 720.7704522
propane H C x x 8 3 x x 1017.791799
ch2-sing H C x x 2 1 x x 188.4606054
ch C H x x 1 1 x x 87.51073326
h2s H S x x 2 1 x x 185.3419686
hs S H x x 1 1 x x 89.47343562
c2h5f H C F x 5 2 1 x 728.9043092
ch3nh2 H C N x 5 1 1 x 588.8241325
ch3f H F C x 3 1 1 x 428.3416883
propene H C x x 6 3 x x 869.1337561
nh3 H N x x 3 1 x x 300.0445699
ethanol H C O x 6 2 1 x 815.0179253
ch3nh H C N x 4 1 1 x 485.3657722
c2h4 H C x x 4 2 x x 569.0994443
methanol H C O x 4 1 1 x 515.5113025
hcl Cl H x x 1 1 x x 106.9093239
nh2 H N x x 2 1 x x 188.1009356
nh N H x x 1 1 x x 90.31489545
ch2nh2 H C N x 4 1 1 x 491.2086419
bhf2 F B H x 2 1 1 x 410.3273219
h2o H O x x 2 1 x x 228.6426132
hf F H x x 1 1 x x 139.0267449
ch2ch H C x x 3 2 x x 453.1755944
oh O H x x 1 1 x x 106.7809397
propyne H C x x 4 3 x x 709.2028843
acetaldehyde H C O x 4 2 1 x 681.9546771
allene H C x x 4 3 x x 711.7983626
sif4 F Si x x 4 1 x x 561.7906322
bf3 F B x x 3 1 x x 464.0856641
c2h3f H C F x 3 2 1 x 579.465902
oxirane H C O x 4 2 1 x 659.2695341
ch2f2 H F C x 2 2 1 x 441.7443318
alf3 F Al x x 3 1 x x 419.9029328
bef2 F Be x x 2 1 x x 306.9635278
ch2c C H x x 2 2 x x 361.5978233
n2h4 H N x x 4 2 x x 444.3195902
ch2nh H C N x 3 1 1 x 444.75904
alf Al F x x 1 1 x x 158.9950818
acetic H C O x 4 2 2 x 803.6962885
c2h2 C H x x 2 2 x x 405.6592044
h2co H O C x 2 1 1 x 376.3125116
h2cn H C N x 2 1 1 x 351.7191534
bf F B x x 1 1 x x 178.9853029
becl2 Cl Be x x 2 1 x x 225.8224768
t-hcoh H C O x 2 1 1 x 322.2894206
alcl3 Cl Al x x 3 1 x x 305.6373793
c-hcoh H C O x 2 1 1 x 317.9968892
alcl Al Cl x x 1 1 x x 118.8679867
ketene C H O x 2 2 1 x 538.0647588
sif F Si x x 1 1 x x 142.4298601
formic H O C x 2 2 1 x 500.292252
hcnh H C N x 2 1 1 x 343.9220803
glyoxal C H O x 2 2 2 x 635.2517984
hcof C O H F 1 1 1 1 405.2447135
nh2cl H N Cl x 2 1 1 x 252.029302
cf4 F C x x 4 1 x x 475.7080495
hccf C H F x 2 1 1 x 400.3865015
hcn H C N x 1 1 1 x 313.8400793
hnc H N C x 1 1 1 x 298.5769139
cch C H x x 2 1 x x 266.0673586
hco O C H x 1 1 1 x 282.8614505
co C O x x 1 1 x x 254.1516528
oxirene C H O x 2 2 1 x 461.3684953
f2co F O C x 2 1 1 x 420.3445765
hocn C N O H 1 1 1 1 409.4917573
hooh H O x x 2 2 x x 268.5043336
t-n2h2 H N x x 2 2 x x 302.2079233
hnco C O N H 1 1 1 1 439.3376241
c-n2h2 H N x x 2 2 x x 297.2822366
cf2 F C x x 2 1 x x 261.3216518
co2 O C x x 2 1 x x 389.0883699
fccf F C x x 2 2 x x 389.2954146
dioxirane H O C x 2 2 1 x 416.8839375
cf C F x x 1 1 x x 137.360587
ssh S H x x 2 1 x x 170.2715101
hocl O H Cl x 1 1 1 x 166.4026992
nccn N C x x 2 2 x x 505.3349294
n2 N x x x 2 x x x 227.9727403
n2h N H x x 2 1 x x 233.3968365
ocs O C S x 1 1 1 x 338.3648425
sio Si O x x 1 1 x x 187.3133267
clcn Cl C N x 1 1 1 x 287.3018509
hoo O H x x 2 1 x x 180.7056594
hcno C H N O 1 1 1 1 375.0524618
honc H O N C 1 1 1 1 352.8572922
hno N H O x 1 1 1 x 208.9194341
hof H O F x 1 1 1 x 162.1961656
c-hono O N H x 2 1 1 x 317.8867337
t-hono O N H x 2 1 1 x 318.8783739
cs2 S C x x 2 1 x x 285.8273402
hnnn N H x x 3 1 x x 347.0760277
cs C S x x 1 1 x x 169.7284905
cn C N x x 1 1 x x 183.0270134
so3 O S x x 3 1 x x 343.3163071
ccl2 Cl C x x 2 1 x x 181.3837326
bn3pi B N x x 1 1 x x 112.5956785
so2 O S x x 2 1 x x 258.1736205
no N O x x 1 1 x x 156.2673371
so S O x x 1 1 x x 130.1973953
n2o N O x x 2 1 x x 282.1725342
c-hooo O H x x 3 1 x x 245.1136065
s2 S x x x 2 x x x 109.0639062
p4 P x x x 4 x x x 298.6100071
cl2 Cl x x x 2 x x x 61.36434498
o2 O x x x 2 x x x 126.8062198
f2 F x x x 2 x x x 45.90652895
t-hooo O H x x 3 1 x x 246.2135058
s2o S O x x 2 1 x x 211.1470905
p2 P x x x 2 x x x 116.6201006
clf Cl F x x 1 1 x x 66.65464983
no2 O N x x 2 1 x x 240.7296539
clo Cl O x x 1 1 x x 71.8458602
s3 S x x x 3 x x x 173.1981623
cl2o Cl O x x 2 1 x x 106.4932962
s4-c2v S x x x 4 x x x 242.3924401
of O F x x 1 1 x x 62.21891641
c2 C x x x 2 x x x 142.7380621
oclo O Cl x x 2 1 x x 138.5971423
f2o F O x x 2 1 x x 107.2846142
b2 B x x x 2 x x x 72.97912174
fo2 O F x x 2 1 x x 151.9438848
cloo O Cl x x 2 1 x x 140.6578875
foof F O x x 2 2 x x 177.9011229
o3 O x x x 3 x x x 155.406304
bn B N x x 1 1 x x 104.7749901
be2 Be x x x 2 x x x 9.639688011
C4H4 C H x x 4 4 x x 807.9746687
C6H6 C H x x 6 6 x x 1267.930783
C8H8 C H x x 8 8 x x 1719.649839
C10H10 C H x x 10 10 x x 2208.659375
C12H12 C H x x 12 12 x x 2726.254104
C20H20 C H x x 20 20 x x 4627.313016
