xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 112.9869697
alh3 H Al x x 3 1 x x 220.8668555
alh Al H x x 1 1 x x 74.19327007
sih4 H Si x x 4 1 x x 334.683536
bh3 H B x x 3 1 x x 288.6002666
bh B H x x 1 1 x x 85.18712172
ch2-trip H C x x 2 1 x x 198.7696539
sih H Si x x 1 1 x x 76.50154738
si2h6 H Si x x 6 2 x x 550.7794273
ch3 H C x x 3 1 x x 314.1632999
ch4 H C x x 4 1 x x 425.1619315
b2h6 H B x x 6 2 x x 623.0275879
sih3f H F Si x 3 1 1 x 387.4272375
ph3 H P x x 3 1 x x 249.3429949
c2h6 H C x x 6 2 x x 719.614709
propane H C x x 8 3 x x 1015.598362
ch2-sing H C x x 2 1 x x 188.3939549
ch C H x x 1 1 x x 87.50984417
h2s H S x x 2 1 x x 185.1500396
hs S H x x 1 1 x x 89.47262026
c2h5f H C F x 5 2 1 x 727.9607258
ch3nh2 H C N x 5 1 1 x 587.9791648
ch3f H F C x 3 1 1 x 428.1029177
propene H C x x 6 3 x x 867.8312111
nh3 H N x x 3 1 x x 299.939652
ethanol H C O x 6 2 1 x 813.7972935
ch3nh H C N x 4 1 1 x 484.690994
c2h4 H C x x 4 2 x x 568.5394462
methanol H C O x 4 1 1 x 514.9791712
hcl Cl H x x 1 1 x x 106.9088429
nh2 H N x x 2 1 x x 188.0687578
nh N H x x 1 1 x x 90.31410648
ch2nh2 H C N x 4 1 1 x 490.6729949
bhf2 F B H x 2 1 1 x 410.2540487
h2o H O x x 2 1 x x 228.6240323
hf F H x x 1 1 x x 139.0261569
ch2ch H C x x 3 2 x x 452.8699487
oh O H x x 1 1 x x 106.780443
propyne H C x x 4 3 x x 708.6104267
acetaldehyde H C O x 4 2 1 x 681.4156895
allene H C x x 4 3 x x 711.3061488
sif4 F Si x x 4 1 x x 560.9967411
bf3 F B x x 3 1 x x 464.0431517
c2h3f H C F x 3 2 1 x 579.0939601
oxirane H C O x 4 2 1 x 658.5669432
