xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 113.0528307
alh3 H Al x x 3 1 x x 221.4928602
alh Al H x x 1 1 x x 74.56335613
sih4 H Si x x 4 1 x x 335.5998266
bh3 H B x x 3 1 x x 289.1255761
bh B H x x 1 1 x x 85.41183259
ch2-trip H C x x 2 1 x x 199.1213715
sih H Si x x 1 1 x x 76.84515281
si2h6 H Si x x 6 2 x x 553.4376019
ch3 H C x x 3 1 x x 314.743926
ch4 H C x x 4 1 x x 425.9694056
b2h6 H B x x 6 2 x x 624.7918464
sih3f H F Si x 3 1 1 x 388.1006253
ph3 H P x x 3 1 x x 250.2893938
c2h6 H C x x 6 2 x x 721.1914324
propane H C x x 8 3 x x 1017.977119
ch2-sing H C x x 2 1 x x 188.76492
ch C H x x 1 1 x x 87.700202
h2s H S x x 2 1 x x 185.7424101
hs S H x x 1 1 x x 89.75378403
c2h5f H C F x 5 2 1 x 729.2600244
ch3nh2 H C N x 5 1 1 x 589.3441673
ch3f H F C x 3 1 1 x 428.689597
propene H C x x 6 3 x x 870.1642151
nh3 H N x x 3 1 x x 300.483724
ethanol H C O x 6 2 1 x 815.4207896
ch3nh H C N x 4 1 1 x 485.9468829
c2h4 H C x x 4 2 x x 569.8997139
methanol H C O x 4 1 1 x 515.8853248
hcl Cl H x x 1 1 x x 107.1549258
nh2 H N x x 2 1 x x 188.4044777
nh N H x x 1 1 x x 90.46128184
ch2nh2 H C N x 4 1 1 x 491.9076034
bhf2 F B H x 2 1 1 x 410.6077394
h2o H O x x 2 1 x x 228.8843669
hf F H x x 1 1 x x 139.1088276
ch2ch H C x x 3 2 x x 454.0031854
oh O H x x 1 1 x x 106.8924633
propyne H C x x 4 3 x x 710.53526
acetaldehyde H C O x 4 2 1 x 682.8882652
allene H C x x 4 3 x x 713.3279741
sif4 F Si x x 4 1 x x 561.878575
bf3 F B x x 3 1 x x 464.6404507
c2h3f H C F x 3 2 1 x 580.3055791
oxirane H C O x 4 2 1 x 659.9802756
ch2f2 H F C x 2 2 1 x 442.2682797
alf3 F Al x x 3 1 x x 420.0495543
bef2 F Be x x 2 1 x x 307.1551526
ch2c C H x x 2 2 x x 362.4318361
n2h4 H N x x 4 2 x x 444.940263
ch2nh H C N x 3 1 1 x 445.4372338
alf Al F x x 1 1 x x 159.3785452
acetic H C O x 4 2 2 x 804.9021672
c2h2 C H x x 2 2 x x 406.3239489
h2co H O C x 2 1 1 x 376.8361681
h2cn H C N x 2 1 1 x 352.381222
bf F B x x 1 1 x x 179.2418055
becl2 Cl Be x x 2 1 x x 227.133409
t-hcoh H C O x 2 1 1 x 322.9450335
alcl3 Cl Al x x 3 1 x x 308.0033608
c-hcoh H C O x 2 1 1 x 318.4494211
alcl Al Cl x x 1 1 x x 119.9966413
ketene C H O x 2 2 1 x 539.1340923
sif F Si x x 1 1 x x 142.8084044
formic H O C x 2 2 1 x 501.1936538
hcnh H C N x 2 1 1 x 344.7125244
glyoxal C H O x 2 2 2 x 636.53964
hcof C O H F 1 1 1 1 405.9441141
nh2cl H N Cl x 2 1 1 x 253.0785794
cf4 F C x x 4 1 x x 476.6748184
hccf C H F x 2 1 1 x 401.1254036
hcn H C N x 1 1 1 x 314.3283065
hnc H N C x 1 1 1 x 299.1856087
cch C H x x 2 1 x x 266.6834229
hco O C H x 1 1 1 x 283.3227644
co C O x x 1 1 x x 254.4681386
oxirene C H O x 2 2 1 x 462.0455685
f2co F O C x 2 1 1 x 421.2073441
hocn C N O H 1 1 1 1 410.352577
hooh H O x x 2 2 x x 268.875684
t-n2h2 H N x x 2 2 x x 302.962207
hnco C O N H 1 1 1 1 440.3119365
c-n2h2 H N x x 2 2 x x 297.8516128
cf2 F C x x 2 1 x x 261.7963598
co2 O C x x 2 1 x x 389.7423732
fccf F C x x 2 2 x x 390.0977077
dioxirane H O C x 2 2 1 x 417.5741149
cf C F x x 1 1 x x 137.5931292
ssh S H x x 2 1 x x 171.6026794
hocl O H Cl x 1 1 1 x 167.0623296
nccn N C x x 2 2 x x 506.7727478
n2 N x x x 2 x x x 228.3033067
n2h N H x x 2 1 x x 233.9567622
ocs O C S x 1 1 1 x 339.5372162
sio Si O x x 1 1 x x 187.840733
clcn Cl C N x 1 1 1 x 288.4642417
hoo O H x x 2 1 x x 181.0710936
hcno C H N O 1 1 1 1 375.9401289
honc H O N C 1 1 1 1 353.7749816
hno N H O x 1 1 1 x 209.3828822
hof H O F x 1 1 1 x 162.4788337
c-hono O N H x 2 1 1 x 318.6994944
t-hono O N H x 2 1 1 x 319.6371266
cs2 S C x x 2 1 x x 287.7563247
hnnn N H x x 3 1 x x 348.088479
cs C S x x 1 1 x x 170.4945023
cn C N x x 1 1 x x 183.4440148
so3 O S x x 3 1 x x 344.8559093
ccl2 Cl C x x 2 1 x x 183.1483451
bn3pi B N x x 1 1 x x 113.072424
so2 O S x x 2 1 x x 259.1307207
no N O x x 1 1 x x 156.5231814
so S O x x 1 1 x x 130.6565965
n2o N O x x 2 1 x x 282.9030977
c-hooo O H x x 3 1 x x 245.7310235
s2 S x x x 2 x x x 110.1310298
p4 P x x x 4 x x x 305.1724673
cl2 Cl x x x 2 x x x 62.20201779
o2 O x x x 2 x x x 127.0079289
f2 F x x x 2 x x x 46.02876298
t-hooo O H x x 3 1 x x 246.7939982
s2o S O x x 2 1 x x 212.8094697
p2 P x x x 2 x x x 117.9390391
clf Cl F x x 1 1 x x 66.96388525
no2 O N x x 2 1 x x 241.3657263
clo Cl O x x 1 1 x x 72.25825878
s3 S x x x 3 x x x 175.769411
cl2o Cl O x x 2 1 x x 107.8740767
s4-c2v S x x x 4 x x x 247.2642942
of O F x x 1 1 x x 62.37388389
c2 C x x x 2 x x x 143.2746994
