xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1315.264568
pentane H C x x 12 5 x x 1612.248074
hexane H C x x 14 6 x x 1909.251191
heptane H C x x 16 7 x x 2206.25312
octane H C x x 18 8 x x 2503.250501
isobutane H C x x 10 4 x x 1316.236535
isopentane H C x x 12 5 x x 1612.728147
isohexane H C x x 14 6 x x 1909.725119
isoheptane H C x x 16 7 x x 2206.765251
isooctane H C x x 18 8 x x 2503.458839
neopentane H C x x 12 5 x x 1614.626604
neohexane H C x x 14 6 x x 1910.53934
neoheptane H C x x 16 7 x x 2207.531173
3methylpentane H C x x 14 6 x x 1909.14726
diisopropyl H C x x 14 6 x x 1909.477333
hexamethylethane H C x x 18 8 x x 2502.581578
h2 H x x x 2 x x x 113.043838
alh3 H Al x x 3 1 x x 221.9140728
alh Al H x x 1 1 x x 74.79196951
sih4 H Si x x 4 1 x x 336.0344241
bh3 H B x x 3 1 x x 289.1901226
bh B H x x 1 1 x x 85.45751844
ch2-trip H C x x 2 1 x x 199.1416168
sih H Si x x 1 1 x x 77.00229665
si2h6 H Si x x 6 2 x x 555.8299832
ch3 H C x x 3 1 x x 314.7579221
ch4 H C x x 4 1 x x 425.9614293
b2h6 H B x x 6 2 x x 625.1884447
sih3f H F Si x 3 1 1 x 388.6194024
ph3 H P x x 3 1 x x 250.5554978
c2h6 H C x x 6 2 x x 721.2932247
propane H C x x 8 3 x x 1018.247675
ch2-sing H C x x 2 1 x x 188.7850534
ch C H x x 1 1 x x 87.71769573
h2s H S x x 2 1 x x 185.890666
hs S H x x 1 1 x x 89.83387159
c2h5f H C F x 5 2 1 x 729.4132016
ch3nh2 H C N x 5 1 1 x 589.3894871
ch3f H F C x 3 1 1 x 428.7153017
propene H C x x 6 3 x x 870.562883
nh3 H N x x 3 1 x x 300.4609085
ethanol H C O x 6 2 1 x 815.6022977
ch3nh H C N x 4 1 1 x 486.0207959
c2h4 H C x x 4 2 x x 570.0921167
methanol H C O x 4 1 1 x 515.9225653
hcl Cl H x x 1 1 x x 107.2092951
nh2 H N x x 2 1 x x 188.3985077
nh N H x x 1 1 x x 90.46284637
ch2nh2 H C N x 4 1 1 x 491.9975475
bhf2 F B H x 2 1 1 x 410.7541192
h2o H O x x 2 1 x x 228.87271
hf F H x x 1 1 x x 139.1041446
ch2ch H C x x 3 2 x x 454.206512
oh O H x x 1 1 x x 106.8909169
propyne H C x x 4 3 x x 710.950664
acetaldehyde H C O x 4 2 1 x 683.1367952
allene H C x x 4 3 x x 713.7871883
sif4 F Si x x 4 1 x x 562.664833
bf3 F B x x 3 1 x x 464.8321733
c2h3f H C F x 3 2 1 x 580.5492408
oxirane H C O x 4 2 1 x 660.2082259
ch2f2 H F C x 2 2 1 x 442.3309656
alf3 F Al x x 3 1 x x 420.7213064
bef2 F Be x x 2 1 x x 307.3215724
ch2c C H x x 2 2 x x 362.6585167
n2h4 H N x x 4 2 x x 444.9428848
ch2nh H C N x 3 1 1 x 445.5493166
alf Al F x x 1 1 x x 159.7085666
acetic H C O x 4 2 2 x 805.2594685
c2h2 C H x x 2 2 x x 406.5313511
h2co H O C x 2 1 1 x 376.9182522
h2cn H C N x 2 1 1 x 352.5009552
bf F B x x 1 1 x x 179.3313705
becl2 Cl Be x x 2 1 x x 228.3661103
t-hcoh H C O x 2 1 1 x 323.0276985
alcl3 Cl Al x x 3 1 x x 311.8530891
c-hcoh H C O x 2 1 1 x 318.5289631
alcl Al Cl x x 1 1 x x 121.8529397
ketene C H O x 2 2 1 x 539.4357613
sif F Si x x 1 1 x x 143.0568879
formic H O C x 2 2 1 x 501.3499048
hcnh H C N x 2 1 1 x 344.8383847
glyoxal C H O x 2 2 2 x 636.9366871
hcof C O H F 1 1 1 1 406.0668519
nh2cl H N Cl x 2 1 1 x 253.3662139
cf4 F C x x 4 1 x x 476.8224263
hccf C H F x 2 1 1 x 401.3778977
hcn H C N x 1 1 1 x 314.4518269
hnc H N C x 1 1 1 x 299.3227875
cch C H x x 2 1 x x 266.9053402
hco O C H x 1 1 1 x 283.4089918
co C O x x 1 1 x x 254.5570519
oxirene C H O x 2 2 1 x 462.3422406
f2co F O C x 2 1 1 x 421.3745263
hocn C N O H 1 1 1 1 410.5567304
hooh H O x x 2 2 x x 268.8830932
t-n2h2 H N x x 2 2 x x 303.0194431
hnco C O N H 1 1 1 1 440.525009
c-n2h2 H N x x 2 2 x x 297.9060994
cf2 F C x x 2 1 x x 261.883233
co2 O C x x 2 1 x x 389.9091841
fccf F C x x 2 2 x x 390.3951554
dioxirane H O C x 2 2 1 x 417.7057598
cf C F x x 1 1 x x 137.6429015
ssh S H x x 2 1 x x 172.896741
hocl O H Cl x 1 1 1 x 167.2643405
nccn N C x x 2 2 x x 507.2842947
n2 N x x x 2 x x x 228.3721469
n2h N H x x 2 1 x x 234.0226466
ocs O C S x 1 1 1 x 340.2145458
sio Si O x x 1 1 x x 188.2458908
clcn Cl C N x 1 1 1 x 289.0548263
hoo O H x x 2 1 x x 181.0929118
hcno C H N O 1 1 1 1 376.1484635
honc H O N C 1 1 1 1 353.9803027
hno N H O x 1 1 1 x 209.4239348
hof H O F x 1 1 1 x 162.4843979
c-hono O N H x 2 1 1 x 318.7927306
t-hono O N H x 2 1 1 x 319.729319
cs2 S C x x 2 1 x x 289.1696872
hnnn N H x x 3 1 x x 348.2511886
cs C S x x 1 1 x x 171.0713906
cn C N x x 1 1 x x 183.5770234
so3 O S x x 3 1 x x 345.6188174
ccl2 Cl C x x 2 1 x x 184.2750696
bn3pi B N x x 1 1 x x 113.2974406
so2 O S x x 2 1 x x 259.6250489
no N O x x 1 1 x x 156.5679091
so S O x x 1 1 x x 130.900703
n2o N O x x 2 1 x x 283.038447
c-hooo O H x x 3 1 x x 245.788644
s2 S x x x 2 x x x 111.3490274
p4 P x x x 4 x x x 313.7487453
cl2 Cl x x x 2 x x x 62.91864108
o2 O x x x 2 x x x 127.0367439
f2 F x x x 2 x x x 46.03315706
t-hooo O H x x 3 1 x x 246.8510888
s2o S O x x 2 1 x x 214.3439941
p2 P x x x 2 x x x 119.7728708
clf Cl F x x 1 1 x x 67.07594504
no2 O N x x 2 1 x x 241.46976
clo Cl O x x 1 1 x x 72.44099787
s3 S x x x 3 x x x 178.4789791
cl2o Cl O x x 2 1 x x 108.6092139
s4-c2v S x x x 4 x x x 251.9789801
of O F x x 1 1 x x 62.38737773
c2 C x x x 2 x x x 143.5145756
oclo O Cl x x 2 1 x x 139.8388703
f2o F O x x 2 1 x x 107.6268353
b2 B x x x 2 x x x 74.32182292
fo2 O F x x 2 1 x x 152.3653911
cloo O Cl x x 2 1 x x 141.6267681
foof F O x x 2 2 x x 178.3775489
o3 O x x x 3 x x x 156.0013113
bn B N x x 1 1 x x 105.4775046
be2 Be x x x 2 x x x 12.3427185
C4H4 C H x x 4 4 x x 808.7764835
C6H6 C H x x 6 6 x x 1270.764749
C8H8 C H x x 8 8 x x 1724.243071
C10H10 C H x x 10 10 x x 2213.872977
C12H12 C H x x 12 12 x x 2734.375619
C20H20 C H x x 20 20 x x 4638.51141
