xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1308.004206
pentane H C x x 12 5 x x 1602.572175
hexane H C x x 14 6 x x 1897.150729
heptane H C x x 16 7 x x 2191.72401
octane H C x x 18 8 x x 2486.294231
isobutane H C x x 10 4 x x 1308.488404
isopentane H C x x 12 5 x x 1602.222335
isohexane H C x x 14 6 x x 1896.735927
isoheptane H C x x 16 7 x x 2191.319861
isooctane H C x x 18 8 x x 2482.879159
neopentane H C x x 12 5 x x 1603.396104
neohexane H C x x 14 6 x x 1896.170705
neoheptane H C x x 16 7 x x 2190.605338
3methylpentane H C x x 14 6 x x 1895.848876
diisopropyl H C x x 14 6 x x 1895.506141
hexamethylethane H C x x 18 8 x x 2479.980899
h2 H x x x 2 x x x 112.9869589
alh3 H Al x x 3 1 x x 220.6359931
alh Al H x x 1 1 x x 74.19104702
sih4 H Si x x 4 1 x x 334.2062723
bh3 H B x x 3 1 x x 288.4927185
bh B H x x 1 1 x x 85.18657696
ch2-trip H C x x 2 1 x x 198.7428744
sih H Si x x 1 1 x x 76.50075343
si2h6 H Si x x 6 2 x x 549.3512829
ch3 H C x x 3 1 x x 314.1125016
ch4 H C x x 4 1 x x 425.0931441
b2h6 H B x x 6 2 x x 622.1014676
sih3f H F Si x 3 1 1 x 386.6221929
ph3 H P x x 3 1 x x 249.2351446
c2h6 H C x x 6 2 x x 718.6982914
propane H C x x 8 3 x x 1013.357745
ch2-sing H C x x 2 1 x x 188.3846818
ch C H x x 1 1 x x 87.50959052
h2s H S x x 2 1 x x 185.1267273
hs S H x x 1 1 x x 89.47179252
c2h5f H C F x 5 2 1 x 726.6255456
ch3nh2 H C N x 5 1 1 x 587.342792
ch3f H F C x 3 1 1 x 427.7250541
propene H C x x 6 3 x x 866.4653614
nh3 H N x x 3 1 x x 299.9230465
ethanol H C O x 6 2 1 x 812.188181
ch3nh H C N x 4 1 1 x 484.3118793
c2h4 H C x x 4 2 x x 568.1129656
methanol H C O x 4 1 1 x 514.4630917
hcl Cl H x x 1 1 x x 106.907808
nh2 H N x x 2 1 x x 188.0635253
nh N H x x 1 1 x x 90.3139574
ch2nh2 H C N x 4 1 1 x 490.2531567
bhf2 F B H x 2 1 1 x 409.820152
h2o H O x x 2 1 x x 228.6205277
hf F H x x 1 1 x x 139.0259341
ch2ch H C x x 3 2 x x 452.615765
oh O H x x 1 1 x x 106.7802083
propyne H C x x 4 3 x x 707.945644
acetaldehyde H C O x 4 2 1 x 680.4343125
allene H C x x 4 3 x x 710.6515188
sif4 F Si x x 4 1 x x 560.0110219
bf3 F B x x 3 1 x x 463.7422543
c2h3f H C F x 3 2 1 x 578.4121965
oxirane H C O x 4 2 1 x 657.718702
ch2f2 H F C x 2 2 1 x 441.1926107
alf3 F Al x x 3 1 x x 418.9625421
bef2 F Be x x 2 1 x x 306.6307797
ch2c C H x x 2 2 x x 361.2930634
n2h4 H N x x 4 2 x x 443.3961876
ch2nh H C N x 3 1 1 x 444.1216735
alf Al F x x 1 1 x x 158.9893559
acetic H C O x 4 2 2 x 801.6907883
c2h2 C H x x 2 2 x x 405.3143163
h2co H O C x 2 1 1 x 376.011165
h2cn H C N x 2 1 1 x 351.4135813
bf F B x x 1 1 x x 178.9835978
becl2 Cl Be x x 2 1 x x 225.3229279
t-hcoh H C O x 2 1 1 x 322.1486913
alcl3 Cl Al x x 3 1 x x 304.113103
c-hcoh H C O x 2 1 1 x 317.6407271
