xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1313.410864
pentane H C x x 12 5 x x 1610.052363
hexane H C x x 14 6 x x 1906.715221
heptane H C x x 16 7 x x 2203.383506
octane H C x x 18 8 x x 2500.037681
isobutane H C x x 10 4 x x 1314.670726
isopentane H C x x 12 5 x x 1611.04156
isohexane H C x x 14 6 x x 1907.715162
isoheptane H C x x 16 7 x x 2204.42001
isooctane H C x x 18 8 x x 2502.14859
neopentane H C x x 12 5 x x 1613.3845
neohexane H C x x 14 6 x x 1909.390724
neoheptane H C x x 16 7 x x 2206.077507
3methylpentane H C x x 14 6 x x 1907.356518
diisopropyl H C x x 14 6 x x 1908.18962
hexamethylethane H C x x 18 8 x x 2502.998565
h2 H x x x 2 x x x 112.7061885
alh3 H Al x x 3 1 x x 220.8683884
alh Al H x x 1 1 x x 73.95210836
sih4 H Si x x 4 1 x x 335.101613
bh3 H B x x 3 1 x x 289.4371594
bh B H x x 1 1 x x 84.95408684
ch2-trip H C x x 2 1 x x 198.7405219
sih H Si x x 1 1 x x 76.16146604
si2h6 H Si x x 6 2 x x 551.8887897
ch3 H C x x 3 1 x x 314.3502809
ch4 H C x x 4 1 x x 425.4166775
b2h6 H B x x 6 2 x x 626.4133911
sih3f H F Si x 3 1 1 x 386.2723849
ph3 H P x x 3 1 x x 249.2219116
c2h6 H C x x 6 2 x x 720.148359
propane H C x x 8 3 x x 1016.778337
ch2-sing H C x x 2 1 x x 187.9240896
ch C H x x 1 1 x x 86.84075504
h2s H S x x 2 1 x x 184.8229632
hs S H x x 1 1 x x 89.15291321
c2h5f H C F x 5 2 1 x 726.0905645
ch3nh2 H C N x 5 1 1 x 586.4847194
ch3f H F C x 3 1 1 x 425.8783505
propene H C x x 6 3 x x 866.8881415
nh3 H N x x 3 1 x x 298.2864177
ethanol H C O x 6 2 1 x 812.1525316
ch3nh H C N x 4 1 1 x 482.8257075
c2h4 H C x x 4 2 x x 567.243516
methanol H C O x 4 1 1 x 512.9737484
hcl Cl H x x 1 1 x x 106.6213382
nh2 H N x x 2 1 x x 186.4342476
nh N H x x 1 1 x x 89.03719193
ch2nh2 H C N x 4 1 1 x 488.5388369
bhf2 F B H x 2 1 1 x 407.0039279
h2o H O x x 2 1 x x 226.9373555
hf F H x x 1 1 x x 137.6009002
ch2ch H C x x 3 2 x x 451.0901961
oh O H x x 1 1 x x 105.6921216
propyne H C x x 4 3 x x 705.9108418
acetaldehyde H C O x 4 2 1 x 677.5500702
allene H C x x 4 3 x x 707.9868712
sif4 F Si x x 4 1 x x 556.0997119
bf3 F B x x 3 1 x x 459.568714
c2h3f H C F x 3 2 1 x 575.2667445
oxirane H C O x 4 2 1 x 654.8736205
ch2f2 H F C x 2 2 1 x 437.2920634
alf3 F Al x x 3 1 x x 414.9269755
bef2 F Be x x 2 1 x x 303.2212661
ch2c C H x x 2 2 x x 358.9438453
n2h4 H N x x 4 2 x x 440.0891084
ch2nh H C N x 3 1 1 x 440.8976517
alf Al F x x 1 1 x x 156.7860965
acetic H C O x 4 2 2 x 797.2524888
c2h2 C H x x 2 2 x x 402.7141658
h2co H O C x 2 1 1 x 372.2595079
h2cn H C N x 2 1 1 x 347.8164915
bf F B x x 1 1 x x 176.7734132
becl2 Cl Be x x 2 1 x x 225.2254718
t-hcoh H C O x 2 1 1 x 318.5706655
alcl3 Cl Al x x 3 1 x x 305.1459742
c-hcoh H C O x 2 1 1 x 314.1068761
alcl Al Cl x x 1 1 x x 118.2443772
ketene C H O x 2 2 1 x 532.208135
sif F Si x x 1 1 x x 139.8872823
formic H O C x 2 2 1 x 493.9868641
hcnh H C N x 2 1 1 x 339.4563481
glyoxal C H O x 2 2 2 x 626.8903263
hcof C O H F 1 1 1 1 398.9103844
nh2cl H N Cl x 2 1 1 x 248.7024329
cf4 F C x x 4 1 x x 468.2595809
hccf C H F x 2 1 1 x 395.0836155
hcn H C N x 1 1 1 x 308.9389948
hnc H N C x 1 1 1 x 294.2416723
cch C H x x 2 1 x x 262.9945764
hco O C H x 1 1 1 x 278.3336533
co C O x x 1 1 x x 249.9929868
oxirene C H O x 2 2 1 x 454.7062449
f2co F O C x 2 1 1 x 412.4322001
hocn C N O H 1 1 1 1 402.2088775
hooh H O x x 2 2 x x 262.6802294
t-n2h2 H N x x 2 2 x x 296.1122697
hnco C O N H 1 1 1 1 431.6012841
c-n2h2 H N x x 2 2 x x 291.0013405
cf2 F C x x 2 1 x x 255.2842014
co2 O C x x 2 1 x x 381.470606
fccf F C x x 2 2 x x 381.6569594
dioxirane H O C x 2 2 1 x 408.5364385
cf C F x x 1 1 x x 133.8392654
ssh S H x x 2 1 x x 167.9149591
hocl O H Cl x 1 1 1 x 162.4834717
nccn N C x x 2 2 x x 494.3243081
n2 N x x x 2 x x x 221.787693
n2h N H x x 2 1 x x 227.1057995
ocs O C S x 1 1 1 x 331.6483803
sio Si O x x 1 1 x x 182.6025697
clcn Cl C N x 1 1 1 x 281.0577731
hoo O H x x 2 1 x x 174.5725802
hcno C H N O 1 1 1 1 365.1749708
honc H O N C 1 1 1 1 344.9216486
hno N H O x 1 1 1 x 202.2723689
hof H O F x 1 1 1 x 155.9742081
c-hono O N H x 2 1 1 x 307.0604429
t-hono O N H x 2 1 1 x 307.8139287
cs2 S C x x 2 1 x x 280.0157737
hnnn N H x x 3 1 x x 335.5111255
cs C S x x 1 1 x x 165.8889939
cn C N x x 1 1 x x 176.5885262
so3 O S x x 3 1 x x 332.0610648
ccl2 Cl C x x 2 1 x x 176.809276
bn3pi B N x x 1 1 x x 108.6813226
so2 O S x x 2 1 x x 249.2242429
no N O x x 1 1 x x 150.0006904
