xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 112.7055835
alh3 H Al x x 3 1 x x 220.843767
alh Al H x x 1 1 x x 73.94720929
sih4 H Si x x 4 1 x x 334.6657358
bh3 H B x x 3 1 x x 288.7845762
bh B H x x 1 1 x x 84.95295747
ch2-trip H C x x 2 1 x x 198.543276
sih H Si x x 1 1 x x 76.1593201
si2h6 H Si x x 6 2 x x 550.9051912
ch3 H C x x 3 1 x x 313.9607942
ch4 H C x x 4 1 x x 424.9366953
b2h6 H B x x 6 2 x x 623.2078119
sih3f H F Si x 3 1 1 x 385.8476471
ph3 H P x x 3 1 x x 248.5676817
c2h6 H C x x 6 2 x x 719.1710785
propane H C x x 8 3 x x 1014.961102
ch2-sing H C x x 2 1 x x 187.8652843
ch C H x x 1 1 x x 86.83999026
h2s H S x x 2 1 x x 184.6531905
hs S H x x 1 1 x x 89.15230068
c2h5f H C F x 5 2 1 x 725.3416771
ch3nh2 H C N x 5 1 1 x 585.7728807
ch3f H F C x 3 1 1 x 425.7154967
propene H C x x 6 3 x x 865.8131396
nh3 H N x x 3 1 x x 298.1941006
ethanol H C O x 6 2 1 x 811.1819275
ch3nh H C N x 4 1 1 x 482.2535923
c2h4 H C x x 4 2 x x 566.77249
methanol H C O x 4 1 1 x 512.5491788
hcl Cl H x x 1 1 x x 106.6210587
nh2 H N x x 2 1 x x 186.4059535
nh N H x x 1 1 x x 89.03650207
ch2nh2 H C N x 4 1 1 x 488.0870838
bhf2 F B H x 2 1 1 x 406.9943916
h2o H O x x 2 1 x x 226.9210834
hf F H x x 1 1 x x 137.6004031
ch2ch H C x x 3 2 x x 450.833697
oh O H x x 1 1 x x 105.691708
propyne H C x x 4 3 x x 705.4147619
acetaldehyde H C O x 4 2 1 x 677.1393724
allene H C x x 4 3 x x 707.5752672
sif4 F Si x x 4 1 x x 555.4918604
bf3 F B x x 3 1 x x 459.5713115
c2h3f H C F x 3 2 1 x 574.9908237
oxirane H C O x 4 2 1 x 654.331197
ch2f2 H F C x 2 2 1 x 437.33294
alf3 F Al x x 3 1 x x 414.5225279
bef2 F Be x x 2 1 x x 303.0781509
ch2c C H x x 2 2 x x 358.7595407
n2h4 H N x x 4 2 x x 439.6542445
ch2nh H C N x 3 1 1 x 440.5447837
alf Al F x x 1 1 x x 156.783997
acetic H C O x 4 2 2 x 796.9448975
c2h2 C H x x 2 2 x x 402.5587808
h2co H O C x 2 1 1 x 372.169708
h2cn H C N x 2 1 1 x 347.6288316
bf F B x x 1 1 x x 176.772425
becl2 Cl Be x x 2 1 x x 225.2264939
t-hcoh H C O x 2 1 1 x 318.5703079
alcl3 Cl Al x x 3 1 x x 305.137651
c-hcoh H C O x 2 1 1 x 313.8946626
