xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 112.7628242
alh3 H Al x x 3 1 x x 221.4181142
alh Al H x x 1 1 x x 74.28417916
sih4 H Si x x 4 1 x x 335.4501331
bh3 H B x x 3 1 x x 289.2364134
bh B H x x 1 1 x x 85.15338431
ch2-trip H C x x 2 1 x x 198.8504409
sih H Si x x 1 1 x x 76.47012517
si2h6 H Si x x 6 2 x x 553.2564175
ch3 H C x x 3 1 x x 314.4656473
ch4 H C x x 4 1 x x 425.6371478
b2h6 H B x x 6 2 x x 624.6888826
sih3f H F Si x 3 1 1 x 386.4090333
ph3 H P x x 3 1 x x 249.4013473
c2h6 H C x x 6 2 x x 720.5057842
propane H C x x 8 3 x x 1016.945957
ch2-sing H C x x 2 1 x x 188.1916724
ch C H x x 1 1 x x 87.00856464
h2s H S x x 2 1 x x 185.1799255
hs S H x x 1 1 x x 89.40428632
c2h5f H C F x 5 2 1 x 726.3932515
ch3nh2 H C N x 5 1 1 x 586.9289858
ch3f H F C x 3 1 1 x 426.1754209
propene H C x x 6 3 x x 867.8216716
nh3 H N x x 3 1 x x 298.6688649
ethanol H C O x 6 2 1 x 812.5029945
ch3nh H C N x 4 1 1 x 483.3283692
c2h4 H C x x 4 2 x x 567.9509455
methanol H C O x 4 1 1 x 513.2908086
hcl Cl H x x 1 1 x x 106.8407204
nh2 H N x x 2 1 x x 186.7001477
nh N H x x 1 1 x x 89.16605624
ch2nh2 H C N x 4 1 1 x 489.1506044
bhf2 F B H x 2 1 1 x 407.2517769
h2o H O x x 2 1 x x 227.1487732
hf F H x x 1 1 x x 137.6727478
ch2ch H C x x 3 2 x x 451.8268898
oh O H x x 1 1 x x 105.7901005
propyne H C x x 4 3 x x 707.1222284
acetaldehyde H C O x 4 2 1 x 678.3809248
allene H C x x 4 3 x x 709.3793199
sif4 F Si x x 4 1 x x 556.1960689
bf3 F B x x 3 1 x x 460.0652227
c2h3f H C F x 3 2 1 x 576.0138519
oxirane H C O x 4 2 1 x 655.4972795
ch2f2 H F C x 2 2 1 x 437.7490029
alf3 F Al x x 3 1 x x 415.0798351
bef2 F Be x x 2 1 x x 303.3961153
ch2c C H x x 2 2 x x 359.6869384
n2h4 H N x x 4 2 x x 440.6248444
ch2nh H C N x 3 1 1 x 441.4936576
alf Al F x x 1 1 x x 157.138586
acetic H C O x 4 2 2 x 798.3392639
c2h2 C H x x 2 2 x x 403.3097858
h2co H O C x 2 1 1 x 372.7205886
h2cn H C N x 2 1 1 x 348.4019485
bf F B x x 1 1 x x 177.0041437
becl2 Cl Be x x 2 1 x x 226.4740113
t-hcoh H C O x 2 1 1 x 319.1524641
alcl3 Cl Al x x 3 1 x x 307.4859732
c-hcoh H C O x 2 1 1 x 314.504168
alcl Al Cl x x 1 1 x x 119.3059013
ketene C H O x 2 2 1 x 533.1704848
sif F Si x x 1 1 x x 140.2327326
formic H O C x 2 2 1 x 494.7866504
hcnh H C N x 2 1 1 x 340.1599569
glyoxal C H O x 2 2 2 x 628.052379
hcof C O H F 1 1 1 1 399.5313723
nh2cl H N Cl x 2 1 1 x 249.6431156
cf4 F C x x 4 1 x x 469.1177525
hccf C H F x 2 1 1 x 395.7493039
hcn H C N x 1 1 1 x 309.3740974
hnc H N C x 1 1 1 x 294.7847343
cch C H x x 2 1 x x 263.5476515
hco O C H x 1 1 1 x 278.7438993
co C O x x 1 1 x x 250.2766151
oxirene C H O x 2 2 1 x 455.3107832
f2co F O C x 2 1 1 x 413.2018914
hocn C N O H 1 1 1 1 402.9821169
hooh H O x x 2 2 x x 263.0042959
t-n2h2 H N x x 2 2 x x 296.7793516
hnco C O N H 1 1 1 1 432.4754775
c-n2h2 H N x x 2 2 x x 291.5003709
cf2 F C x x 2 1 x x 255.7071536
co2 O C x x 2 1 x x 382.0569777
fccf F C x x 2 2 x x 382.3836808
dioxirane H O C x 2 2 1 x 409.1438619
cf C F x x 1 1 x x 134.046891
ssh S H x x 2 1 x x 169.1448414
hocl O H Cl x 1 1 1 x 163.0763434
nccn N C x x 2 2 x x 495.6381505
n2 N x x x 2 x x x 222.082692
n2h N H x x 2 1 x x 227.6023751
ocs O C S x 1 1 1 x 332.7220275
sio Si O x x 1 1 x x 183.0856633
clcn Cl C N x 1 1 1 x 282.1220594
hoo O H x x 2 1 x x 174.8953294
hcno C H N O 1 1 1 1 365.9724079
honc H O N C 1 1 1 1 345.7469646
hno N H O x 1 1 1 x 202.6824985
hof H O F x 1 1 1 x 156.2227658
c-hono O N H x 2 1 1 x 307.7809945
t-hono O N H x 2 1 1 x 308.4893035
cs2 S C x x 2 1 x x 281.8153894
hnnn N H x x 3 1 x x 336.416471
cs C S x x 1 1 x x 166.5903435
cn C N x x 1 1 x x 176.963021
so3 O S x x 3 1 x x 333.4588122
ccl2 Cl C x x 2 1 x x 178.4369127
bn3pi B N x x 1 1 x x 109.1127703
so2 O S x x 2 1 x x 250.0932076
no N O x x 1 1 x x 150.2285472
so S O x x 1 1 x x 125.9247963
n2o N O x x 2 1 x x 270.9123592
c-hooo O H x x 3 1 x x 232.6667246
s2 S x x x 2 x x x 107.2790154
p4 P x x x 4 x x x 299.0089584
cl2 Cl x x x 2 x x x 60.10042389
o2 O x x x 2 x x x 120.7241412
f2 F x x x 2 x x x 39.21630121
t-hooo O H x x 3 1 x x 233.0113356
s2o S O x x 2 1 x x 204.5425974
p2 P x x x 2 x x x 114.0261865
clf Cl F x x 1 1 x x 62.91108742
no2 O N x x 2 1 x x 229.2348522
clo Cl O x x 1 1 x x 67.41352908
s3 S x x x 3 x x x 169.0130728
cl2o Cl O x x 2 1 x x 100.9056575
s4-c2v S x x x 4 x x x 237.6677371
of O F x x 1 1 x x 56.00041657
c2 C x x x 2 x x x 138.5847553
oclo O Cl x x 2 1 x x 128.9383259
f2o F O x x 2 1 x x 95.96481153
b2 B x x x 2 x x x 72.02564165
fo2 O F x x 2 1 x x 137.5453564
cloo O Cl x x 2 1 x x 129.0482212
foof F O x x 2 2 x x 158.0123693
o3 O x x x 3 x x x 140.8134989
bn B N x x 1 1 x x 104.2494926
be2 Be x x x 2 x x x 10.39934178
