xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1307.265359
pentane H C x x 12 5 x x 1601.677646
hexane H C x x 14 6 x x 1896.095648
heptane H C x x 16 7 x x 2190.51536
octane H C x x 18 8 x x 2484.92799
isobutane H C x x 10 4 x x 1307.7796
isopentane H C x x 12 5 x x 1601.354484
isohexane H C x x 14 6 x x 1895.705379
isoheptane H C x x 16 7 x x 2190.13207
isooctane H C x x 18 8 x x 2481.572051
neopentane H C x x 12 5 x x 1602.591292
neohexane H C x x 14 6 x x 1895.207965
neoheptane H C x x 16 7 x x 2189.476351
3methylpentane H C x x 14 6 x x 1894.810811
diisopropyl H C x x 14 6 x x 1894.500753
hexamethylethane H C x x 18 8 x x 2478.7443
h2 H x x x 2 x x x 112.7055724
alh3 H Al x x 3 1 x x 220.6372403
alh Al H x x 1 1 x x 73.94486695
sih4 H Si x x 4 1 x x 334.1941377
bh3 H B x x 3 1 x x 288.6744928
bh B H x x 1 1 x x 84.95238797
ch2-trip H C x x 2 1 x x 198.5158205
sih H Si x x 1 1 x x 76.15848948
si2h6 H Si x x 6 2 x x 549.4678139
ch3 H C x x 3 1 x x 313.9086585
ch4 H C x x 4 1 x x 424.8660712
b2h6 H B x x 6 2 x x 622.2765084
sih3f H F Si x 3 1 1 x 385.0729465
ph3 H P x x 3 1 x x 248.4572864
c2h6 H C x x 6 2 x x 718.2834143
propane H C x x 8 3 x x 1012.787688
ch2-sing H C x x 2 1 x x 187.8557583
ch C H x x 1 1 x x 86.83972658
h2s H S x x 2 1 x x 184.6292461
hs S H x x 1 1 x x 89.15143443
c2h5f H C F x 5 2 1 x 724.0396773
ch3nh2 H C N x 5 1 1 x 585.1515129
ch3f H F C x 3 1 1 x 425.3233797
propene H C x x 6 3 x x 864.4865862
nh3 H N x x 3 1 x x 298.1770467
ethanol H C O x 6 2 1 x 809.6057617
ch3nh H C N x 4 1 1 x 481.8772038
c2h4 H C x x 4 2 x x 566.3556852
methanol H C O x 4 1 1 x 512.0303588
hcl Cl H x x 1 1 x x 106.619974
nh2 H N x x 2 1 x x 186.4005783
nh N H x x 1 1 x x 89.03634768
ch2nh2 H C N x 4 1 1 x 487.6789002
bhf2 F B H x 2 1 1 x 406.547475
h2o H O x x 2 1 x x 226.9174786
hf F H x x 1 1 x x 137.6001705
ch2ch H C x x 3 2 x x 450.5863496
oh O H x x 1 1 x x 105.6914634
propyne H C x x 4 3 x x 704.7793256
acetaldehyde H C O x 4 2 1 x 676.1817421
allene H C x x 4 3 x x 706.9547118
sif4 F Si x x 4 1 x x 554.4980627
bf3 F B x x 3 1 x x 459.2596451
c2h3f H C F x 3 2 1 x 574.3184096
oxirane H C O x 4 2 1 x 653.4778717
ch2f2 H F C x 2 2 1 x 436.7955143
alf3 F Al x x 3 1 x x 414.0806239
bef2 F Be x x 2 1 x x 302.9217927
ch2c C H x x 2 2 x x 358.6695614
n2h4 H N x x 4 2 x x 439.258046
ch2nh H C N x 3 1 1 x 440.3240219
alf Al F x x 1 1 x x 156.7809431
acetic H C O x 4 2 2 x 795.4475386
c2h2 C H x x 2 2 x x 402.4037666
h2co H O C x 2 1 1 x 371.9882959
h2cn H C N x 2 1 1 x 347.5414766
bf F B x x 1 1 x x 176.7718786
becl2 Cl Be x x 2 1 x x 224.7758778
t-hcoh H C O x 2 1 1 x 318.4440091
alcl3 Cl Al x x 3 1 x x 303.7741255
c-hcoh H C O x 2 1 1 x 313.7863302
alcl Al Cl x x 1 1 x x 118.2283523
ketene C H O x 2 2 1 x 531.6980903
sif F Si x x 1 1 x x 139.8842639
formic H O C x 2 2 1 x 493.546438
hcnh H C N x 2 1 1 x 339.3103154
glyoxal C H O x 2 2 2 x 625.8892741
hcof C O H F 1 1 1 1 398.7102195
nh2cl H N Cl x 2 1 1 x 248.5400635
cf4 F C x x 4 1 x x 467.8996864
hccf C H F x 2 1 1 x 394.7692946
hcn H C N x 1 1 1 x 308.7976249
hnc H N C x 1 1 1 x 294.148442
cch C H x x 2 1 x x 262.8464061
hco O C H x 1 1 1 x 278.2684453
