xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 104.8009452
alh3 H Al x x 3 1 x x 203.4845541
alh Al H x x 1 1 x x 69.46729826
sih4 H Si x x 4 1 x x 312.2208967
bh3 H B x x 3 1 x x 278.1337879
bh B H x x 1 1 x x 81.69076709
ch2-trip H C x x 2 1 x x 192.1480544
sih H Si x x 1 1 x x 71.89706757
si2h6 H Si x x 6 2 x x 516.8240831
ch3 H C x x 3 1 x x 307.3860157
ch4 H C x x 4 1 x x 415.5502769
b2h6 H B x x 6 2 x x 602.8952149
sih3f H F Si x 3 1 1 x 370.7072677
ph3 H P x x 3 1 x x 237.1339117
c2h6 H C x x 6 2 x x 707.951899
propane H C x x 8 3 x x 1002.204672
ch2-sing H C x x 2 1 x x 185.0108766
ch C H x x 1 1 x x 85.38688019
h2s H S x x 2 1 x x 178.4211666
hs S H x x 1 1 x x 86.54587587
c2h5f H C F x 5 2 1 x 720.4886377
ch3nh2 H C N x 5 1 1 x 584.6984641
ch3f H F C x 3 1 1 x 422.1133884
propene H C x x 6 3 x x 862.7611988
nh3 H N x x 3 1 x x 299.8418892
ethanol H C O x 6 2 1 x 808.8168412
ch3nh H C N x 4 1 1 x 483.4629213
c2h4 H C x x 4 2 x x 565.0143085
methanol H C O x 4 1 1 x 511.5285291
hcl Cl H x x 1 1 x x 103.5064625
nh2 H N x x 2 1 x x 189.269904
nh N H x x 1 1 x x 89.98831599
ch2nh2 H C N x 4 1 1 x 491.2535814
bhf2 F B H x 2 1 1 x 411.393533
h2o H O x x 2 1 x x 229.5299288
hf F H x x 1 1 x x 138.1421007
ch2ch H C x x 3 2 x x 452.475823
oh O H x x 1 1 x x 108.648588
propyne H C x x 4 3 x x 711.7680964
acetaldehyde H C O x 4 2 1 x 683.7651246
allene H C x x 4 3 x x 714.5614433
sif4 F Si x x 4 1 x x 562.79181
bf3 F B x x 3 1 x x 471.2448447
c2h3f H C F x 3 2 1 x 580.0209692
oxirane H C O x 4 2 1 x 657.2396136
ch2f2 H F C x 2 2 1 x 439.8749277
alf3 F Al x x 3 1 x x 422.4368712
bef2 F Be x x 2 1 x x 314.3802735
ch2c C H x x 2 2 x x 365.4521852
n2h4 H N x x 4 2 x x 449.3144478
ch2nh H C N x 3 1 1 x 448.2939626
alf Al F x x 1 1 x x 162.2255423
acetic H C O x 4 2 2 x 812.4915462
c2h2 C H x x 2 2 x x 410.404873
h2co H O C x 2 1 1 x 379.8022432
