xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 107.8262735
alh3 H Al x x 3 1 x x 214.4934865
alh Al H x x 1 1 x x 72.31403602
sih4 H Si x x 4 1 x x 323.0149077
bh3 H B x x 3 1 x x 283.4444936
bh B H x x 1 1 x x 83.22717014
ch2-trip H C x x 2 1 x x 193.5506411
sih H Si x x 1 1 x x 73.42577013
si2h6 H Si x x 6 2 x x 534.7896125
ch3 H C x x 3 1 x x 309.5440506
ch4 H C x x 4 1 x x 418.2481852
b2h6 H B x x 6 2 x x 614.2782738
sih3f H F Si x 3 1 1 x 377.3372598
ph3 H P x x 3 1 x x 240.7055067
c2h6 H C x x 6 2 x x 711.9585032
propane H C x x 8 3 x x 1007.207337
ch2-sing H C x x 2 1 x x 186.0715004
ch C H x x 1 1 x x 84.25305216
h2s H S x x 2 1 x x 180.7765409
hs S H x x 1 1 x x 87.53118124
c2h5f H C F x 5 2 1 x 720.771925
ch3nh2 H C N x 5 1 1 x 581.4176658
ch3f H F C x 3 1 1 x 421.3635912
propene H C x x 6 3 x x 860.2248656
nh3 H N x x 3 1 x x 295.1302934
ethanol H C O x 6 2 1 x 809.615588
ch3nh H C N x 4 1 1 x 479.9414143
c2h4 H C x x 4 2 x x 561.3667816
methanol H C O x 4 1 1 x 511.2646305
hcl Cl H x x 1 1 x x 104.5129549
nh2 H N x x 2 1 x x 185.1330203
nh N H x x 1 1 x x 85.53828173
ch2nh2 H C N x 4 1 1 x 485.0741606
bhf2 F B H x 2 1 1 x 408.9551541
h2o H O x x 2 1 x x 227.5749256
hf F H x x 1 1 x x 135.4406995
ch2ch H C x x 3 2 x x 447.9400212
oh O H x x 1 1 x x 107.8363265
propyne H C x x 4 3 x x 701.9079929
acetaldehyde H C O x 4 2 1 x 677.8006637
allene H C x x 4 3 x x 704.414896
sif4 F Si x x 4 1 x x 559.5529902
bf3 F B x x 3 1 x x 466.0675805
c2h3f H C F x 3 2 1 x 573.1310518
oxirane H C O x 4 2 1 x 653.4267244
ch2f2 H F C x 2 2 1 x 435.8909907
alf3 F Al x x 3 1 x x 418.8037417
bef2 F Be x x 2 1 x x 305.9793315
ch2c C H x x 2 2 x x 359.3438401
n2h4 H N x x 4 2 x x 437.8016313
ch2nh H C N x 3 1 1 x 437.9840316
alf Al F x x 1 1 x x 158.4726492
acetic H C O x 4 2 2 x 804.2241905
c2h2 C H x x 2 2 x x 399.3172018
h2co H O C x 2 1 1 x 372.6734085
h2cn H C N x 2 1 1 x 347.167473
bf F B x x 1 1 x x 181.0080695
becl2 Cl Be x x 2 1 x x 231.2406435
t-hcoh H C O x 2 1 1 x 320.7748426
alcl3 Cl Al x x 3 1 x x 312.0720843
c-hcoh H C O x 2 1 1 x 316.1959456
alcl Al Cl x x 1 1 x x 120.6286052
ketene C H O x 2 2 1 x 535.6915027
sif F Si x x 1 1 x x 139.3265317
formic H O C x 2 2 1 x 501.3990211
hcnh H C N x 2 1 1 x 338.3796586
glyoxal C H O x 2 2 2 x 634.779579
hcof C O H F 1 1 1 1 403.3321078
nh2cl H N Cl x 2 1 1 x 247.132284
cf4 F C x x 4 1 x x 476.682854
hccf C H F x 2 1 1 x 395.3789089
hcn H C N x 1 1 1 x 307.9043044
hnc H N C x 1 1 1 x 295.0448137
cch C H x x 2 1 x x 263.2014845
hco O C H x 1 1 1 x 280.4743637
co C O x x 1 1 x x 255.6322405
oxirene C H O x 2 2 1 x 455.3783984
