xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 105.5571613
alh3 H Al x x 3 1 x x 204.425371
alh Al H x x 1 1 x x 69.48396786
sih4 H Si x x 4 1 x x 314.0829907
bh3 H B x x 3 1 x x 278.316751
bh B H x x 1 1 x x 81.50392934
ch2-trip H C x x 2 1 x x 193.9335525
sih H Si x x 1 1 x x 72.01736559
si2h6 H Si x x 6 2 x x 519.7894248
ch3 H C x x 3 1 x x 308.8375669
ch4 H C x x 4 1 x x 418.3850873
b2h6 H B x x 6 2 x x 605.3088455
sih3f H F Si x 3 1 1 x 372.8618469
ph3 H P x x 3 1 x x 238.9658424
c2h6 H C x x 6 2 x x 712.2573941
propane H C x x 8 3 x x 1007.400938
ch2-sing H C x x 2 1 x x 184.8137263
ch C H x x 1 1 x x 84.43095462
h2s H S x x 2 1 x x 181.4453035
hs S H x x 1 1 x x 87.75092904
c2h5f H C F x 5 2 1 x 725.6605384
ch3nh2 H C N x 5 1 1 x 586.3837449
ch3f H F C x 3 1 1 x 426.1380178
propene H C x x 6 3 x x 866.4644185
nh3 H N x x 3 1 x x 300.1779307
ethanol H C O x 6 2 1 x 814.4222105
ch3nh H C N x 4 1 1 x 483.423664
c2h4 H C x x 4 2 x x 567.3872913
methanol H C O x 4 1 1 x 516.1210263
hcl Cl H x x 1 1 x x 105.9410018
nh2 H N x x 2 1 x x 187.5002072
nh N H x x 1 1 x x 87.97070565
ch2nh2 H C N x 4 1 1 x 491.9865404
bhf2 F B H x 2 1 1 x 414.7386028
h2o H O x x 2 1 x x 232.9847368
hf F H x x 1 1 x x 141.4127218
ch2ch H C x x 3 2 x x 454.0848242
oh O H x x 1 1 x x 109.2787772
propyne H C x x 4 3 x x 714.1623713
acetaldehyde H C O x 4 2 1 x 687.8869559
allene H C x x 4 3 x x 717.0787412
sif4 F Si x x 4 1 x x 567.3597004
bf3 F B x x 3 1 x x 476.3529786
c2h3f H C F x 3 2 1 x 584.0320246
oxirane H C O x 4 2 1 x 662.8102388
ch2f2 H F C x 2 2 1 x 445.6417209
alf3 F Al x x 3 1 x x 424.7075004
bef2 F Be x x 2 1 x x 313.9070104
ch2c C H x x 2 2 x x 365.9074516
n2h4 H N x x 4 2 x x 448.3408648
ch2nh H C N x 3 1 1 x 447.8691243
alf Al F x x 1 1 x x 162.1153478
acetic H C O x 4 2 2 x 818.6782775
c2h2 C H x x 2 2 x x 410.9805264
h2co H O C x 2 1 1 x 382.3851325
h2cn H C N x 2 1 1 x 355.8280789
bf F B x x 1 1 x x 184.988107
becl2 Cl Be x x 2 1 x x 227.7743067
t-hcoh H C O x 2 1 1 x 328.8052212
alcl3 Cl Al x x 3 1 x x 303.4704394
c-hcoh H C O x 2 1 1 x 324.3599394
alcl Al Cl x x 1 1 x x 119.8296826
ketene C H O x 2 2 1 x 551.7385731
sif F Si x x 1 1 x x 144.703779
formic H O C x 2 2 1 x 516.0381605
hcnh H C N x 2 1 1 x 350.1869751
glyoxal C H O x 2 2 2 x 654.6362661
hcof C O H F 1 1 1 1 418.2927385
nh2cl H N Cl x 2 1 1 x 255.1724106
cf4 F C x x 4 1 x x 493.6566281
hccf C H F x 2 1 1 x 412.6949983
hcn H C N x 1 1 1 x 322.492799
hnc H N C x 1 1 1 x 307.6261598
cch C H x x 2 1 x x 273.6190133
hco O C H x 1 1 1 x 291.7960512
co C O x x 1 1 x x 265.7503497
oxirene C H O x 2 2 1 x 472.8174863
f2co F O C x 2 1 1 x 440.3021173
hocn C N O H 1 1 1 1 427.7342511
hooh H O x x 2 2 x x 278.6690136
t-n2h2 H N x x 2 2 x x 310.2945126
hnco C O N H 1 1 1 1 458.0626845
c-n2h2 H N x x 2 2 x x 305.2256259
cf2 F C x x 2 1 x x 271.67375
co2 O C x x 2 1 x x 410.2571141
fccf F C x x 2 2 x x 408.5586068
dioxirane H O C x 2 2 1 x 427.2448552
cf C F x x 1 1 x x 142.6868199
ssh S H x x 2 1 x x 171.3421953
hocl O H Cl x 1 1 1 x 172.806531
nccn N C x x 2 2 x x 529.7329421
n2 N x x x 2 x x x 239.674977
n2h N H x x 2 1 x x 243.152969
ocs O C S x 1 1 1 x 354.1736267
sio Si O x x 1 1 x x 194.8604224
clcn Cl C N x 1 1 1 x 301.1346901
hoo O H x x 2 1 x x 191.7269491
hcno C H N O 1 1 1 1 394.1744395
honc H O N C 1 1 1 1 370.2165956
hno N H O x 1 1 1 x 219.6870668
hof H O F x 1 1 1 x 169.6157916
c-hono O N H x 2 1 1 x 338.0173128
t-hono O N H x 2 1 1 x 338.9716605
cs2 S C x x 2 1 x x 296.6008094
hnnn N H x x 3 1 x x 365.6648981
cs C S x x 1 1 x x 176.9042357
cn C N x x 1 1 x x 193.84684
so3 O S x x 3 1 x x 367.2461372
ccl2 Cl C x x 2 1 x x 189.6497041
bn3pi B N x x 1 1 x x 120.6415623
so2 O S x x 2 1 x x 275.4792135
no N O x x 1 1 x x 168.416509
so S O x x 1 1 x x 138.7770402
n2o N O x x 2 1 x x 303.6501988
c-hooo O H x x 3 1 x x 264.5686663
s2 S x x x 2 x x x 113.2527165
p4 P x x x 4 x x x 302.4659281
cl2 Cl x x x 2 x x x 63.93266685
o2 O x x x 2 x x x 140.1838854
f2 F x x x 2 x x x 50.8059429
t-hooo O H x x 3 1 x x 265.8346282
s2o S O x x 2 1 x x 224.028061
p2 P x x x 2 x x x 120.3653883
clf Cl F x x 1 1 x x 70.44150544
no2 O N x x 2 1 x x 263.0608307
clo Cl O x x 1 1 x x 79.01215343
s3 S x x x 3 x x x 181.3600068
cl2o Cl O x x 2 1 x x 115.3826165
s4-c2v S x x x 4 x x x 253.266371
of O F x x 1 1 x x 69.46709871
c2 C x x x 2 x x x 151.3701742
oclo O Cl x x 2 1 x x 155.7925207
f2o F O x x 2 1 x x 118.9366806
b2 B x x x 2 x x x 77.90433467
fo2 O F x x 2 1 x x 169.5441441
cloo O Cl x x 2 1 x x 156.3229221
foof F O x x 2 2 x x 198.7730975
o3 O x x x 3 x x x 178.4974455
bn B N x x 1 1 x x 115.1190085
be2 Be x x x 2 x x x 8.943996317
