xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1301.898024
pentane H C x x 12 5 x x 1595.727577
hexane H C x x 14 6 x x 1889.587723
heptane H C x x 16 7 x x 2183.432138
octane H C x x 18 8 x x 2477.294487
isobutane H C x x 10 4 x x 1302.930448
isopentane H C x x 12 5 x x 1596.181199
isohexane H C x x 14 6 x x 1890.005935
isoheptane H C x x 16 7 x x 2183.893746
isooctane H C x x 18 8 x x 2477.27899
neopentane H C x x 12 5 x x 1598.212272
neohexane H C x x 14 6 x x 1890.800059
neoheptane H C x x 16 7 x x 2184.60017
3methylpentane H C x x 14 6 x x 1889.319068
diisopropyl H C x x 14 6 x x 1889.594818
hexamethylethane H C x x 18 8 x x 2475.947472
h2 H x x x 2 x x x 110.4213645
alh3 H Al x x 3 1 x x 215.6008602
alh Al H x x 1 1 x x 72.55838925
sih4 H Si x x 4 1 x x 325.9136417
bh3 H B x x 3 1 x x 284.9298431
bh B H x x 1 1 x x 83.44082876
ch2-trip H C x x 2 1 x x 198.05949
sih H Si x x 1 1 x x 73.77853071
si2h6 H Si x x 6 2 x x 537.5760701
ch3 H C x x 3 1 x x 313.1790989
ch4 H C x x 4 1 x x 422.130529
b2h6 H B x x 6 2 x x 617.5672366
sih3f H F Si x 3 1 1 x 381.2686488
ph3 H P x x 3 1 x x 241.8777975
c2h6 H C x x 6 2 x x 714.1894583
propane H C x x 8 3 x x 1007.995622
ch2-sing H C x x 2 1 x x 187.0236187
ch C H x x 1 1 x x 84.99187989
h2s H S x x 2 1 x x 183.5804
hs S H x x 1 1 x x 88.51106361
c2h5f H C F x 5 2 1 x 722.4407584
ch3nh2 H C N x 5 1 1 x 581.0944755
ch3f H F C x 3 1 1 x 424.5178896
propene H C x x 6 3 x x 862.4404062
nh3 H N x x 3 1 x x 297.2390747
ethanol H C O x 6 2 1 x 809.8789484
ch3nh H C N x 4 1 1 x 478.173719
c2h4 H C x x 4 2 x x 565.0399539
methanol H C O x 4 1 1 x 513.0375596
hcl Cl H x x 1 1 x x 107.4929545
nh2 H N x x 2 1 x x 185.2066429
nh N H x x 1 1 x x 86.22711332
ch2nh2 H C N x 4 1 1 x 485.6601705
bhf2 F B H x 2 1 1 x 412.5137289
h2o H O x x 2 1 x x 232.3301458
hf F H x x 1 1 x x 141.9522107
ch2ch H C x x 3 2 x x 451.6479468
oh O H x x 1 1 x x 108.7016641
propyne H C x x 4 3 x x 707.9297143
acetaldehyde H C O x 4 2 1 x 678.9896646
allene H C x x 4 3 x x 709.4113741
sif4 F Si x x 4 1 x x 564.8787532
bf3 F B x x 3 1 x x 469.8979869
c2h3f H C F x 3 2 1 x 576.3901465
oxirane H C O x 4 2 1 x 653.99793
ch2f2 H F C x 2 2 1 x 438.2118986
alf3 F Al x x 3 1 x x 425.2609686
bef2 F Be x x 2 1 x x 311.0618716
ch2c C H x x 2 2 x x 360.8451675
n2h4 H N x x 4 2 x x 434.7642416
ch2nh H C N x 3 1 1 x 438.5352255
alf Al F x x 1 1 x x 160.4184744
acetic H C O x 4 2 2 x 803.9204553
c2h2 C H x x 2 2 x x 406.7733922
h2co H O C x 2 1 1 x 375.0708275
h2cn H C N x 2 1 1 x 346.7140673
bf F B x x 1 1 x x 181.4845439
