xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1306.210055
pentane H C x x 12 5 x x 1601.148291
hexane H C x x 14 6 x x 1896.117944
heptane H C x x 16 7 x x 2191.073445
octane H C x x 18 8 x x 2486.046292
isobutane H C x x 10 4 x x 1307.268112
isopentane H C x x 12 5 x x 1601.728944
isohexane H C x x 14 6 x x 1896.672865
isoheptane H C x x 16 7 x x 2191.676172
isooctane H C x x 18 8 x x 2486.505244
neopentane H C x x 12 5 x x 1603.726417
neohexane H C x x 14 6 x x 1897.618804
neoheptane H C x x 16 7 x x 2192.547057
3methylpentane H C x x 14 6 x x 1896.111351
diisopropyl H C x x 14 6 x x 1896.474661
hexamethylethane H C x x 18 8 x x 2485.655923
h2 H x x x 2 x x x 110.509918
alh3 H Al x x 3 1 x x 216.4558696
alh Al H x x 1 1 x x 73.06630446
sih4 H Si x x 4 1 x x 327.1476202
bh3 H B x x 3 1 x x 285.6402988
bh B H x x 1 1 x x 83.74753346
ch2-trip H C x x 2 1 x x 198.5362086
sih H Si x x 1 1 x x 74.24951247
si2h6 H Si x x 6 2 x x 541.1725374
ch3 H C x x 3 1 x x 313.9645427
ch4 H C x x 4 1 x x 423.22105
b2h6 H B x x 6 2 x x 619.9571093
sih3f H F Si x 3 1 1 x 382.176033
ph3 H P x x 3 1 x x 243.1662002
c2h6 H C x x 6 2 x x 716.3144102
propane H C x x 8 3 x x 1011.209126
ch2-sing H C x x 2 1 x x 187.527034
ch C H x x 1 1 x x 85.25085267
h2s H S x x 2 1 x x 184.3884294
hs S H x x 1 1 x x 88.89549686
c2h5f H C F x 5 2 1 x 724.2046499
ch3nh2 H C N x 5 1 1 x 582.9313846
ch3f H F C x 3 1 1 x 425.3045102
propene H C x x 6 3 x x 865.613002
nh3 H N x x 3 1 x x 297.9741407
ethanol H C O x 6 2 1 x 812.0744604
ch3nh H C N x 4 1 1 x 479.8695489
c2h4 H C x x 4 2 x x 566.8895207
methanol H C O x 4 1 1 x 514.253215
hcl Cl H x x 1 1 x x 107.8289677
nh2 H N x x 2 1 x x 185.6610054
nh N H x x 1 1 x x 86.42669292
ch2nh2 H C N x 4 1 1 x 487.3332933
bhf2 F B H x 2 1 1 x 412.9878929
h2o H O x x 2 1 x x 232.6820238
hf F H x x 1 1 x x 142.0639341
ch2ch H C x x 3 2 x x 453.1912674
oh O H x x 1 1 x x 108.8533934
propyne H C x x 4 3 x x 710.5561464
acetaldehyde H C O x 4 2 1 x 681.0045648
allene H C x x 4 3 x x 712.1812243
sif4 F Si x x 4 1 x x 566.0624486
bf3 F B x x 3 1 x x 470.7071691
c2h3f H C F x 3 2 1 x 578.0471102
oxirane H C O x 4 2 1 x 655.910913
ch2f2 H F C x 2 2 1 x 438.9593876
alf3 F Al x x 3 1 x x 426.0986737
bef2 F Be x x 2 1 x x 311.5520382
ch2c C H x x 2 2 x x 362.277141
n2h4 H N x x 4 2 x x 436.293401
ch2nh H C N x 3 1 1 x 440.0139373
alf Al F x x 1 1 x x 160.9490069
acetic H C O x 4 2 2 x 806.2306221
c2h2 C H x x 2 2 x x 407.9449273
h2co H O C x 2 1 1 x 375.951596
h2cn H C N x 2 1 1 x 347.913376
bf F B x x 1 1 x x 181.8372346
becl2 Cl Be x x 2 1 x x 231.7946281
t-hcoh H C O x 2 1 1 x 322.3390505
alcl3 Cl Al x x 3 1 x x 314.1315169
c-hcoh H C O x 2 1 1 x 317.8509303
alcl Al Cl x x 1 1 x x 121.7170644
ketene C H O x 2 2 1 x 542.4866736
sif F Si x x 1 1 x x 141.7077804
formic H O C x 2 2 1 x 503.6603278
hcnh H C N x 2 1 1 x 341.3441873
glyoxal C H O x 2 2 2 x 636.4650257
hcof C O H F 1 1 1 1 406.770384
nh2cl H N Cl x 2 1 1 x 246.4095925
cf4 F C x x 4 1 x x 476.2084573
hccf C H F x 2 1 1 x 403.4805017
hcn H C N x 1 1 1 x 312.2767702
hnc H N C x 1 1 1 x 298.0609369
cch C H x x 2 1 x x 270.5502178
hco O C H x 1 1 1 x 283.9890764
co C O x x 1 1 x x 256.8413407
oxirene C H O x 2 2 1 x 460.6745094
f2co F O C x 2 1 1 x 423.6639323
hocn C N O H 1 1 1 1 411.2849448
hooh H O x x 2 2 x x 268.1111234
t-n2h2 H N x x 2 2 x x 293.4692108
hnco C O N H 1 1 1 1 442.6949086
c-n2h2 H N x x 2 2 x x 288.2178835
cf2 F C x x 2 1 x x 260.5155627
co2 O C x x 2 1 x x 396.1592447
fccf F C x x 2 2 x x 392.336527
dioxirane H O C x 2 2 1 x 412.5789851
cf C F x x 1 1 x x 135.9792784
ssh S H x x 2 1 x x 167.6355508
hocl O H Cl x 1 1 1 x 164.3118735
nccn N C x x 2 2 x x 503.9118545
n2 N x x x 2 x x x 222.0877368
n2h N H x x 2 1 x x 226.2921157
ocs O C S x 1 1 1 x 343.0985247
sio Si O x x 1 1 x x 188.2432642
clcn Cl C N x 1 1 1 x 286.1291966
hoo O H x x 2 1 x x 178.5302308
hcno C H N O 1 1 1 1 373.4773373
honc H O N C 1 1 1 1 350.8915428
hno N H O x 1 1 1 x 202.8263089
hof H O F x 1 1 1 x 159.3581401
c-hono O N H x 2 1 1 x 313.3279048
t-hono O N H x 2 1 1 x 314.7093095
cs2 S C x x 2 1 x x 288.8245824
hnnn N H x x 3 1 x x 338.4631764
cs C S x x 1 1 x x 170.9501185
cn C N x x 1 1 x x 183.4579387
so3 O S x x 3 1 x x 347.2465545
ccl2 Cl C x x 2 1 x x 180.9877795
bn3pi B N x x 1 1 x x 112.9890474
so2 O S x x 2 1 x x 258.8934541
no N O x x 1 1 x x 151.6157362
so S O x x 1 1 x x 129.4739402
n2o N O x x 2 1 x x 276.8319554
c-hooo O H x x 3 1 x x 241.1117415
s2 S x x x 2 x x x 107.8310699
p4 P x x x 4 x x x 293.7399536
cl2 Cl x x x 2 x x x 57.42342197
o2 O x x x 2 x x x 126.3345948
f2 F x x x 2 x x x 39.93140808
t-hooo O H x x 3 1 x x 243.0698755
s2o S O x x 2 1 x x 210.3261406
p2 P x x x 2 x x x 112.2811037
clf Cl F x x 1 1 x x 62.07326673
no2 O N x x 2 1 x x 237.2982596
clo Cl O x x 1 1 x x 67.76001177
s3 S x x x 3 x x x 170.9626038
cl2o Cl O x x 2 1 x x 99.01452266
s4-c2v S x x x 4 x x x 240.5790982
of O F x x 1 1 x x 57.28411116
c2 C x x x 2 x x x 145.1898694
oclo O Cl x x 2 1 x x 134.5072101
f2o F O x x 2 1 x x 98.17523448
b2 B x x x 2 x x x 79.72192407
fo2 O F x x 2 1 x x 147.881317
cloo O Cl x x 2 1 x x 137.206848
foof F O x x 2 2 x x 169.2000181
o3 O x x x 3 x x x 149.9744048
bn B N x x 1 1 x x 108.2637588
be2 Be x x x 2 x x x 10.9919451
