xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1287.281091
pentane H C x x 12 5 x x 1579.026442
hexane H C x x 14 6 x x 1870.793935
heptane H C x x 16 7 x x 2162.554537
octane H C x x 18 8 x x 2454.320564
isobutane H C x x 10 4 x x 1288.244673
isopentane H C x x 12 5 x x 1579.423378
isohexane H C x x 14 6 x x 1871.162027
isoheptane H C x x 16 7 x x 2162.958422
isooctane H C x x 18 8 x x 2453.871073
neopentane H C x x 12 5 x x 1581.198789
neohexane H C x x 14 6 x x 1871.673579
neoheptane H C x x 16 7 x x 2163.385614
3methylpentane H C x x 14 6 x x 1870.490223
diisopropyl H C x x 14 6 x x 1870.624114
hexamethylethane H C x x 18 8 x x 2451.90919
h2 H x x x 2 x x x 104.6947387
alh3 H Al x x 3 1 x x 202.5548662
alh Al H x x 1 1 x x 69.16436528
sih4 H Si x x 4 1 x x 310.5717928
bh3 H B x x 3 1 x x 277.1593564
bh B H x x 1 1 x x 81.39712463
ch2-trip H C x x 2 1 x x 191.2589677
sih H Si x x 1 1 x x 71.46024684
si2h6 H Si x x 6 2 x x 512.883633
ch3 H C x x 3 1 x x 306.0233489
ch4 H C x x 4 1 x x 413.6482361
b2h6 H B x x 6 2 x x 599.2754529
sih3f H F Si x 3 1 1 x 368.2590123
ph3 H P x x 3 1 x x 235.4441215
c2h6 H C x x 6 2 x x 703.7167441
propane H C x x 8 3 x x 995.4640139
ch2-sing H C x x 2 1 x x 184.1380486
ch C H x x 1 1 x x 84.99751892
h2s H S x x 2 1 x x 177.1258799
hs S H x x 1 1 x x 85.91537648
c2h5f H C F x 5 2 1 x 715.1936993
ch3nh2 H C N x 5 1 1 x 580.6980758
ch3f H F C x 3 1 1 x 419.3517613
propene H C x x 6 3 x x 856.8713399
nh3 H N x x 3 1 x x 298.2923973
ethanol H C O x 6 2 1 x 802.8392713
ch3nh H C N x 4 1 1 x 479.9662403
c2h4 H C x x 4 2 x x 561.662557
methanol H C O x 4 1 1 x 508.0992039
hcl Cl H x x 1 1 x x 102.8154837
nh2 H N x x 2 1 x x 188.3005992
nh N H x x 1 1 x x 89.53845808
ch2nh2 H C N x 4 1 1 x 487.6945146
bhf2 F B H x 2 1 1 x 408.6124954
h2o H O x x 2 1 x x 228.4768088
hf F H x x 1 1 x x 137.6299251
ch2ch H C x x 3 2 x x 449.5915734
oh O H x x 1 1 x x 108.1591954
propyne H C x x 4 3 x x 706.9248763
acetaldehyde H C O x 4 2 1 x 678.8914551
allene H C x x 4 3 x x 709.6596519
sif4 F Si x x 4 1 x x 556.5793218
bf3 F B x x 3 1 x x 467.1960895
c2h3f H C F x 3 2 1 x 575.5982962
oxirane H C O x 4 2 1 x 651.6206804
ch2f2 H F C x 2 2 1 x 435.8683531
alf3 F Al x x 3 1 x x 418.9327138
bef2 F Be x x 2 1 x x 312.8422359
ch2c C H x x 2 2 x x 363.0483847
n2h4 H N x x 4 2 x x 445.5666616
ch2nh H C N x 3 1 1 x 445.2734567
alf Al F x x 1 1 x x 160.9597743
acetic H C O x 4 2 2 x 805.6135074
c2h2 C H x x 2 2 x x 408.0778199
h2co H O C x 2 1 1 x 377.4058522
h2cn H C N x 2 1 1 x 355.3166168
bf F B x x 1 1 x x 182.2240706
becl2 Cl Be x x 2 1 x x 224.9131943
t-hcoh H C O x 2 1 1 x 323.2718313
alcl3 Cl Al x x 3 1 x x 295.2278673
c-hcoh H C O x 2 1 1 x 318.8315727
alcl Al Cl x x 1 1 x x 117.4296873
ketene C H O x 2 2 1 x 544.673481
sif F Si x x 1 1 x x 142.7591162
formic H O C x 2 2 1 x 506.6737412
hcnh H C N x 2 1 1 x 348.879802
glyoxal C H O x 2 2 2 x 645.5805649
hcof C O H F 1 1 1 1 410.0833346
nh2cl H N Cl x 2 1 1 x 251.4684789
cf4 F C x x 4 1 x x 476.1203666
hccf C H F x 2 1 1 x 406.5051022
hcn H C N x 1 1 1 x 323.2354024
hnc H N C x 1 1 1 x 307.5452942
cch C H x x 2 1 x x 271.4537308
hco O C H x 1 1 1 x 288.0567174
co C O x x 1 1 x x 263.2190994
oxirene C H O x 2 2 1 x 465.2171315
f2co F O C x 2 1 1 x 428.204843
hocn C N O H 1 1 1 1 424.0063078
hooh H O x x 2 2 x x 271.8367718
t-n2h2 H N x x 2 2 x x 311.0087154
hnco C O N H 1 1 1 1 454.0210958
c-n2h2 H N x x 2 2 x x 305.9562212
cf2 F C x x 2 1 x x 263.5828992
co2 O C x x 2 1 x x 403.6159808
fccf F C x x 2 2 x x 399.3755382
dioxirane H O C x 2 2 1 x 417.6168518
cf C F x x 1 1 x x 139.4230722
ssh S H x x 2 1 x x 165.541107
hocl O H Cl x 1 1 1 x 167.0589885
nccn N C x x 2 2 x x 531.9154085
n2 N x x x 2 x x x 243.9980785
n2h N H x x 2 1 x x 245.6539269
ocs O C S x 1 1 1 x 347.3559855
sio Si O x x 1 1 x x 193.0210232
clcn Cl C N x 1 1 1 x 299.2787193
hoo O H x x 2 1 x x 186.4424992
hcno C H N O 1 1 1 1 390.1329652
honc H O N C 1 1 1 1 366.0549406
hno N H O x 1 1 1 x 218.1962194
hof H O F x 1 1 1 x 164.2860928
c-hono O N H x 2 1 1 x 332.1990102
t-hono O N H x 2 1 1 x 333.3932408
cs2 S C x x 2 1 x x 289.6171948
hnnn N H x x 3 1 x x 367.6429508
cs C S x x 1 1 x x 174.1514995
cn C N x x 1 1 x x 195.7723063
so3 O S x x 3 1 x x 353.3605593
ccl2 Cl C x x 2 1 x x 182.7490389
bn3pi B N x x 1 1 x x 122.6005624
so2 O S x x 2 1 x x 266.7266597
no N O x x 1 1 x x 168.404948
so S O x x 1 1 x x 134.5591159
n2o N O x x 2 1 x x 303.0721986
c-hooo O H x x 3 1 x x 256.6357715
s2 S x x x 2 x x x 108.8784376
p4 P x x x 4 x x x 291.9317099
cl2 Cl x x x 2 x x x 59.26117598
o2 O x x x 2 x x x 135.1400679
f2 F x x x 2 x x x 46.89572338
t-hooo O H x x 3 1 x x 258.3977683
s2o S O x x 2 1 x x 215.5355785
p2 P x x x 2 x x x 118.7607445
clf Cl F x x 1 1 x x 66.14133202
no2 O N x x 2 1 x x 258.4967475
clo Cl O x x 1 1 x x 75.3596453
s3 S x x x 3 x x x 172.9487903
cl2o Cl O x x 2 1 x x 108.7550141
s4-c2v S x x x 4 x x x 241.3038224
of O F x x 1 1 x x 66.0574174
c2 C x x x 2 x x x 152.0225172
oclo O Cl x x 2 1 x x 146.8776209
f2o F O x x 2 1 x x 111.9909007
b2 B x x x 2 x x x 76.05415167
fo2 O F x x 2 1 x x 163.7826234
cloo O Cl x x 2 1 x x 150.7322888
foof F O x x 2 2 x x 190.1224828
o3 O x x x 3 x x x 170.892432
bn B N x x 1 1 x x 117.7362303
be2 Be x x x 2 x x x 9.19997021
