xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1290.032566
pentane H C x x 12 5 x x 1582.495461
hexane H C x x 14 6 x x 1874.980576
heptane H C x x 16 7 x x 2167.459638
octane H C x x 18 8 x x 2459.943794
isobutane H C x x 10 4 x x 1291.00618
isopentane H C x x 12 5 x x 1582.954528
isohexane H C x x 14 6 x x 1875.415058
isoheptane H C x x 16 7 x x 2167.931172
isooctane H C x x 18 8 x x 2459.753413
neopentane H C x x 12 5 x x 1584.713452
neohexane H C x x 14 6 x x 1876.010472
neoheptane H C x x 16 7 x x 2168.448135
3methylpentane H C x x 14 6 x x 1874.807733
diisopropyl H C x x 14 6 x x 1875.013727
hexamethylethane H C x x 18 8 x x 2458.101626
h2 H x x x 2 x x x 104.7496115
alh3 H Al x x 3 1 x x 203.0625589
alh Al H x x 1 1 x x 69.4518987
sih4 H Si x x 4 1 x x 311.3209172
bh3 H B x x 3 1 x x 277.5885995
bh B H x x 1 1 x x 81.57692837
ch2-trip H C x x 2 1 x x 191.5458873
sih H Si x x 1 1 x x 71.72981009
si2h6 H Si x x 6 2 x x 514.9744573
ch3 H C x x 3 1 x x 306.4992657
ch4 H C x x 4 1 x x 414.3128453
b2h6 H B x x 6 2 x x 600.7270733
sih3f H F Si x 3 1 1 x 368.8310153
ph3 H P x x 3 1 x x 236.2025398
c2h6 H C x x 6 2 x x 705.0520992
propane H C x x 8 3 x x 997.5019722
ch2-sing H C x x 2 1 x x 184.4399606
ch C H x x 1 1 x x 85.15150595
h2s H S x x 2 1 x x 177.5993806
hs S H x x 1 1 x x 86.1387771
c2h5f H C F x 5 2 1 x 716.3120635
ch3nh2 H C N x 5 1 1 x 581.8486993
ch3f H F C x 3 1 1 x 419.8431661
propene H C x x 6 3 x x 858.8105705
nh3 H N x x 3 1 x x 298.7404331
ethanol H C O x 6 2 1 x 804.2296588
ch3nh H C N x 4 1 1 x 481.0070502
c2h4 H C x x 4 2 x x 562.7801279
methanol H C O x 4 1 1 x 508.8630762
hcl Cl H x x 1 1 x x 103.012083
nh2 H N x x 2 1 x x 188.5759547
nh N H x x 1 1 x x 89.65861756
ch2nh2 H C N x 4 1 1 x 488.7199288
bhf2 F B H x 2 1 1 x 408.9070864
h2o H O x x 2 1 x x 228.6910484
hf F H x x 1 1 x x 137.6980114
ch2ch H C x x 3 2 x x 450.5144279
oh O H x x 1 1 x x 108.2509352
propyne H C x x 4 3 x x 708.49816
acetaldehyde H C O x 4 2 1 x 680.1182351
allene H C x x 4 3 x x 711.3057501
sif4 F Si x x 4 1 x x 557.297771
bf3 F B x x 3 1 x x 467.6796661
c2h3f H C F x 3 2 1 x 576.5962225
oxirane H C O x 4 2 1 x 652.7931837
ch2f2 H F C x 2 2 1 x 436.3375292
alf3 F Al x x 3 1 x x 419.4342643
bef2 F Be x x 2 1 x x 313.1365328
ch2c C H x x 2 2 x x 363.8934758
n2h4 H N x x 4 2 x x 446.5236563
ch2nh H C N x 3 1 1 x 446.1681873
alf Al F x x 1 1 x x 161.2565742
acetic H C O x 4 2 2 x 807.0180146
c2h2 C H x x 2 2 x x 408.7649412
h2co H O C x 2 1 1 x 377.9367943
h2cn H C N x 2 1 1 x 356.0317315
bf F B x x 1 1 x x 182.4278542
becl2 Cl Be x x 2 1 x x 225.9654059
t-hcoh H C O x 2 1 1 x 323.8172555
alcl3 Cl Al x x 3 1 x x 297.1583037
c-hcoh H C O x 2 1 1 x 319.404166
alcl Al Cl x x 1 1 x x 118.275871
ketene C H O x 2 2 1 x 545.6558727
sif F Si x x 1 1 x x 143.0537275
formic H O C x 2 2 1 x 507.4375067
hcnh H C N x 2 1 1 x 349.5609973
glyoxal C H O x 2 2 2 x 646.7370132
hcof C O H F 1 1 1 1 410.6105498
nh2cl H N Cl x 2 1 1 x 252.3074612
cf4 F C x x 4 1 x x 476.8944675
hccf C H F x 2 1 1 x 407.1803731
hcn H C N x 1 1 1 x 323.7034612
hnc H N C x 1 1 1 x 308.0776451
cch C H x x 2 1 x x 272.0197812
hco O C H x 1 1 1 x 288.4205231
co C O x x 1 1 x x 263.471128
oxirene C H O x 2 2 1 x 466.0681282
f2co F O C x 2 1 1 x 428.856203
hocn C N O H 1 1 1 1 424.7114127
hooh H O x x 2 2 x x 272.2180257
t-n2h2 H N x x 2 2 x x 311.6551261
hnco C O N H 1 1 1 1 454.7675295
c-n2h2 H N x x 2 2 x x 306.6382532
cf2 F C x x 2 1 x x 263.9596252
co2 O C x x 2 1 x x 404.130254
fccf F C x x 2 2 x x 400.0428596
dioxirane H O C x 2 2 1 x 418.3140363
cf C F x x 1 1 x x 139.6093713
ssh S H x x 2 1 x x 166.6399887
hocl O H Cl x 1 1 1 x 167.5695991
