xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1284.466261
pentane H C x x 12 5 x x 1575.093062
hexane H C x x 14 6 x x 1865.733888
heptane H C x x 16 7 x x 2156.364707
octane H C x x 18 8 x x 2447.001518
isobutane H C x x 10 4 x x 1285.093128
isopentane H C x x 12 5 x x 1574.937127
isohexane H C x x 14 6 x x 1865.504174
isoheptane H C x x 16 7 x x 2156.148845
isooctane H C x x 18 8 x x 2444.072599
neopentane H C x x 12 5 x x 1576.198672
neohexane H C x x 14 6 x x 1865.089796
neoheptane H C x x 16 7 x x 2155.571439
3methylpentane H C x x 14 6 x x 1864.656407
diisopropyl H C x x 14 6 x x 1864.374798
hexamethylethane H C x x 18 8 x x 2440.94374
h2 H x x x 2 x x x 104.6947303
alh3 H Al x x 3 1 x x 202.3874459
alh Al H x x 1 1 x x 69.16261014
sih4 H Si x x 4 1 x x 310.2104484
bh3 H B x x 3 1 x x 277.0761214
bh B H x x 1 1 x x 81.39669688
ch2-trip H C x x 2 1 x x 191.2382204
sih H Si x x 1 1 x x 71.4596231
si2h6 H Si x x 6 2 x x 511.7617989
ch3 H C x x 3 1 x x 305.9839667
ch4 H C x x 4 1 x x 413.5948953
b2h6 H B x x 6 2 x x 598.5528237
sih3f H F Si x 3 1 1 x 367.6563961
ph3 H P x x 3 1 x x 235.3606513
c2h6 H C x x 6 2 x x 703.017866
propane H C x x 8 3 x x 993.7342155
ch2-sing H C x x 2 1 x x 184.1308552
ch C H x x 1 1 x x 84.99732053
h2s H S x x 2 1 x x 177.1077967
hs S H x x 1 1 x x 85.91472606
c2h5f H C F x 5 2 1 x 714.1676421
ch3nh2 H C N x 5 1 1 x 580.2139843
ch3f H F C x 3 1 1 x 419.0565142
propene H C x x 6 3 x x 855.8108739
nh3 H N x x 3 1 x x 298.2795183
ethanol H C O x 6 2 1 x 801.5949103
ch3nh H C N x 4 1 1 x 479.6757325
c2h4 H C x x 4 2 x x 561.3332217
methanol H C O x 4 1 1 x 507.7024722
hcl Cl H x x 1 1 x x 102.8146696
nh2 H N x x 2 1 x x 188.2965402
nh N H x x 1 1 x x 89.53834179
ch2nh2 H C N x 4 1 1 x 487.3733992
bhf2 F B H x 2 1 1 x 408.2750664
h2o H O x x 2 1 x x 228.4740878
hf F H x x 1 1 x x 137.6297503
ch2ch H C x x 3 2 x x 449.395609
oh O H x x 1 1 x x 108.1590115
propyne H C x x 4 3 x x 706.410275
acetaldehyde H C O x 4 2 1 x 678.1307579
allene H C x x 4 3 x x 709.1487174
sif4 F Si x x 4 1 x x 555.8229678
bf3 F B x x 3 1 x x 466.9612707
c2h3f H C F x 3 2 1 x 575.0670056
oxirane H C O x 4 2 1 x 650.961577
ch2f2 H F C x 2 2 1 x 435.4638762
alf3 F Al x x 3 1 x x 418.5838963
bef2 F Be x x 2 1 x x 312.7202972
ch2c C H x x 2 2 x x 362.9806208
n2h4 H N x x 4 2 x x 445.2605976
ch2nh H C N x 3 1 1 x 445.1015353
alf Al F x x 1 1 x x 160.9574903
acetic H C O x 4 2 2 x 804.4183381
c2h2 C H x x 2 2 x x 407.9552637
h2co H O C x 2 1 1 x 377.2693292
h2cn H C N x 2 1 1 x 355.2507657
bf F B x x 1 1 x x 182.2236607
becl2 Cl Be x x 2 1 x x 224.5695811
t-hcoh H C O x 2 1 1 x 323.172984
alcl3 Cl Al x x 3 1 x x 294.189162
c-hcoh H C O x 2 1 1 x 318.7499651
alcl Al Cl x x 1 1 x x 117.418112
ketene C H O x 2 2 1 x 544.3421173
sif F Si x x 1 1 x x 142.7575039
formic H O C x 2 2 1 x 506.3142893
hcnh H C N x 2 1 1 x 348.7921426
glyoxal C H O x 2 2 2 x 644.8079679
hcof C O H F 1 1 1 1 409.8679543
nh2cl H N Cl x 2 1 1 x 251.3259419
cf4 F C x x 4 1 x x 475.7918418
hccf C H F x 2 1 1 x 406.3106227
hcn H C N x 1 1 1 x 323.1861188
hnc H N C x 1 1 1 x 307.506874
cch C H x x 2 1 x x 271.398666
hco O C H x 1 1 1 x 287.9914363
co C O x x 1 1 x x 263.2188508
oxirene C H O x 2 2 1 x 464.8264374
f2co F O C x 2 1 1 x 428.0201738
hocn C N O H 1 1 1 1 423.7859992
hooh H O x x 2 2 x x 271.7144706
t-n2h2 H N x x 2 2 x x 310.9316053
hnco C O N H 1 1 1 1 453.8191341
c-n2h2 H N x x 2 2 x x 305.9054802
cf2 F C x x 2 1 x x 263.5427007
co2 O C x x 2 1 x x 403.5527124
fccf F C x x 2 2 x x 399.1081155
dioxirane H O C x 2 2 1 x 417.3080851
cf C F x x 1 1 x x 139.4223231
ssh S H x x 2 1 x x 165.4225144
hocl O H Cl x 1 1 1 x 167.0079371
nccn N C x x 2 2 x x 531.6419827
n2 N x x x 2 x x x 243.9979482
n2h N H x x 2 1 x x 245.6391147
ocs O C S x 1 1 1 x 347.2580138
sio Si O x x 1 1 x x 193.0198733
clcn Cl C N x 1 1 1 x 299.0821899
hoo O H x x 2 1 x x 186.4127085
hcno C H N O 1 1 1 1 389.9513648
honc H O N C 1 1 1 1 365.800398
hno N H O x 1 1 1 x 218.1660757
hof H O F x 1 1 1 x 164.2394172
c-hono O N H x 2 1 1 x 332.0716528
t-hono O N H x 2 1 1 x 333.2346366
cs2 S C x x 2 1 x x 289.4577877
hnnn N H x x 3 1 x x 367.4745388
