xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1295.304445
pentane H C x x 12 5 x x 1589.232726
hexane H C x x 14 6 x x 1883.187362
heptane H C x x 16 7 x x 2177.13645
octane H C x x 18 8 x x 2471.090984
isobutane H C x x 10 4 x x 1296.385341
isopentane H C x x 12 5 x x 1589.8116
isohexane H C x x 14 6 x x 1883.748656
isoheptane H C x x 16 7 x x 2177.739131
isooctane H C x x 18 8 x x 2471.411656
neopentane H C x x 12 5 x x 1591.7973
neohexane H C x x 14 6 x x 1884.585597
neoheptane H C x x 16 7 x x 2178.508254
3methylpentane H C x x 14 6 x x 1883.146601
diisopropyl H C x x 14 6 x x 1883.517973
hexamethylethane H C x x 18 8 x x 2470.15139
h2 H x x x 2 x x x 104.7861146
alh3 H Al x x 3 1 x x 203.3758968
alh Al H x x 1 1 x x 69.43502143
sih4 H Si x x 4 1 x x 312.0204953
bh3 H B x x 3 1 x x 278.0126352
bh B H x x 1 1 x x 81.65841515
ch2-trip H C x x 2 1 x x 192.0434459
sih H Si x x 1 1 x x 71.85375849
si2h6 H Si x x 6 2 x x 516.3838834
ch3 H C x x 3 1 x x 307.2236011
ch4 H C x x 4 1 x x 415.3197305
b2h6 H B x x 6 2 x x 602.4229209
sih3f H F Si x 3 1 1 x 370.4535008
ph3 H P x x 3 1 x x 236.9531178
c2h6 H C x x 6 2 x x 707.4127491
propane H C x x 8 3 x x 1001.322257
ch2-sing H C x x 2 1 x x 184.9086672
ch C H x x 1 1 x x 85.3421621
h2s H S x x 2 1 x x 178.2870189
hs S H x x 1 1 x x 86.48186506
c2h5f H C F x 5 2 1 x 719.8576864
ch3nh2 H C N x 5 1 1 x 584.2169129
ch3f H F C x 3 1 1 x 421.8005851
propene H C x x 6 3 x x 862.039735
nh3 H N x x 3 1 x x 299.6630625
ethanol H C O x 6 2 1 x 808.0836927
ch3nh H C N x 4 1 1 x 483.0555303
c2h4 H C x x 4 2 x x 564.6168451
methanol H C O x 4 1 1 x 511.1245871
hcl Cl H x x 1 1 x x 103.4358498
nh2 H N x x 2 1 x x 189.158396
nh N H x x 1 1 x x 89.93671933
ch2nh2 H C N x 4 1 1 x 490.8432944
