xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 105.5430489
alh3 H Al x x 3 1 x x 201.8554756
alh Al H x x 1 1 x x 68.40714196
sih4 H Si x x 4 1 x x 310.4954805
bh3 H B x x 3 1 x x 275.0790881
bh B H x x 1 1 x x 80.36503836
ch2-trip H C x x 2 1 x x 191.0086541
sih H Si x x 1 1 x x 70.90853782
si2h6 H Si x x 6 2 x x 513.7237366
ch3 H C x x 3 1 x x 304.5659645
ch4 H C x x 4 1 x x 412.4725898
b2h6 H B x x 6 2 x x 598.971304
sih3f H F Si x 3 1 1 x 365.6928276
ph3 H P x x 3 1 x x 235.7014609
c2h6 H C x x 6 2 x x 701.4392478
propane H C x x 8 3 x x 992.5702237
ch2-sing H C x x 2 1 x x 182.2147807
ch C H x x 1 1 x x 83.30739587
h2s H S x x 2 1 x x 178.3593462
hs S H x x 1 1 x x 86.10589874
c2h5f H C F x 5 2 1 x 711.61127
ch3nh2 H C N x 5 1 1 x 575.6036056
ch3f H F C x 3 1 1 x 416.9689098
propene H C x x 6 3 x x 851.5984923
nh3 H N x x 3 1 x x 294.4637921
ethanol H C O x 6 2 1 x 798.9169537
ch3nh H C N x 4 1 1 x 474.3245409
c2h4 H C x x 4 2 x x 557.3880444
methanol H C O x 4 1 1 x 505.3859153
hcl Cl H x x 1 1 x x 104.1019283
nh2 H N x x 2 1 x x 184.1057656
nh N H x x 1 1 x x 86.56354861
ch2nh2 H C N x 4 1 1 x 481.7798957
bhf2 F B H x 2 1 1 x 402.7167023
h2o H O x x 2 1 x x 227.6891623
hf F H x x 1 1 x x 138.1208462
ch2ch H C x x 3 2 x x 445.2672194
oh O H x x 1 1 x x 106.7480834
propyne H C x x 4 3 x x 699.7566777
acetaldehyde H C O x 4 2 1 x 673.5967286
allene H C x x 4 3 x x 702.4932748
sif4 F Si x x 4 1 x x 548.096769
bf3 F B x x 3 1 x x 459.9662583
c2h3f H C F x 3 2 1 x 570.5297179
oxirane H C O x 4 2 1 x 648.3993902
ch2f2 H F C x 2 2 1 x 432.8703035
alf3 F Al x x 3 1 x x 411.1315425
bef2 F Be x x 2 1 x x 303.8594474
ch2c C H x x 2 2 x x 358.264596
n2h4 H N x x 4 2 x x 437.8355915
ch2nh H C N x 3 1 1 x 438.7149828
alf Al F x x 1 1 x x 156.6599269
acetic H C O x 4 2 2 x 798.8760678
c2h2 C H x x 2 2 x x 402.2987503
h2co H O C x 2 1 1 x 373.5951887
h2cn H C N x 2 1 1 x 348.1694932
bf F B x x 1 1 x x 179.3165583
becl2 Cl Be x x 2 1 x x 221.691849
t-hcoh H C O x 2 1 1 x 320.0635361
alcl3 Cl Al x x 3 1 x x 295.9080608
c-hcoh H C O x 2 1 1 x 316.0138887
alcl Al Cl x x 1 1 x x 116.3136074
ketene C H O x 2 2 1 x 538.2374534
sif F Si x x 1 1 x x 139.3040696
formic H O C x 2 2 1 x 501.4775932
hcnh H C N x 2 1 1 x 341.8080303
glyoxal C H O x 2 2 2 x 637.3225273
hcof C O H F 1 1 1 1 405.702075
nh2cl H N Cl x 2 1 1 x 247.977552
cf4 F C x x 4 1 x x 473.1584763
hccf C H F x 2 1 1 x 400.4789614
hcn H C N x 1 1 1 x 315.2059552
hnc H N C x 1 1 1 x 300.1667901
cch C H x x 2 1 x x 266.7581095
hco O C H x 1 1 1 x 284.2112699
co C O x x 1 1 x x 259.3321743
oxirene C H O x 2 2 1 x 460.158581
f2co F O C x 2 1 1 x 423.9349673
hocn C N O H 1 1 1 1 415.0568125
hooh H O x x 2 2 x x 269.1478019
t-n2h2 H N x x 2 2 x x 302.2174331
hnco C O N H 1 1 1 1 445.0069852
c-n2h2 H N x x 2 2 x x 297.5105306
cf2 F C x x 2 1 x x 261.5388694
co2 O C x x 2 1 x x 398.0681725
fccf F C x x 2 2 x x 392.7817156
dioxirane H O C x 2 2 1 x 414.1747047
cf C F x x 1 1 x x 137.6967779
ssh S H x x 2 1 x x 166.3141113
hocl O H Cl x 1 1 1 x 165.9983389
nccn N C x x 2 2 x x 515.2278834
n2 N x x x 2 x x x 234.1400249
n2h N H x x 2 1 x x 236.4339863
ocs O C S x 1 1 1 x 343.7465583
sio Si O x x 1 1 x x 188.1089699
clcn Cl C N x 1 1 1 x 292.2286605
hoo O H x x 2 1 x x 184.097449
hcno C H N O 1 1 1 1 381.427954
honc H O N C 1 1 1 1 358.1856364
hno N H O x 1 1 1 x 212.6207882
hof H O F x 1 1 1 x 162.2251169
c-hono O N H x 2 1 1 x 325.7127212
t-hono O N H x 2 1 1 x 326.817742
cs2 S C x x 2 1 x x 287.930678
hnnn N H x x 3 1 x x 354.224046
cs C S x x 1 1 x x 172.4402172
cn C N x x 1 1 x x 188.6797956
so3 O S x x 3 1 x x 350.4739157
ccl2 Cl C x x 2 1 x x 183.0102378
bn3pi B N x x 1 1 x x 115.8881921
so2 O S x x 2 1 x x 263.7151521
no N O x x 1 1 x x 162.8666002
so S O x x 1 1 x x 133.0674924
n2o N O x x 2 1 x x 293.0956884
c-hooo O H x x 3 1 x x 252.4681711
s2 S x x x 2 x x x 109.1217236
p4 P x x x 4 x x x 291.8314655
cl2 Cl x x x 2 x x x 60.37261756
o2 O x x x 2 x x x 134.5497013
f2 F x x x 2 x x x 45.87029156
t-hooo O H x x 3 1 x x 254.020878
s2o S O x x 2 1 x x 214.4143035
p2 P x x x 2 x x x 115.7797354
clf Cl F x x 1 1 x x 65.63512057
no2 O N x x 2 1 x x 252.3486335
clo Cl O x x 1 1 x x 74.21779236
s3 S x x x 3 x x x 173.8123855
cl2o Cl O x x 2 1 x x 106.9925518
s4-c2v S x x x 4 x x x 242.1454148
of O F x x 1 1 x x 64.41969288
c2 C x x x 2 x x x 146.8708456
oclo O Cl x x 2 1 x x 145.6513803
f2o F O x x 2 1 x x 109.4306321
b2 B x x x 2 x x x 74.76794734
