xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 105.5422384
alh3 H Al x x 3 1 x x 201.9454445
alh Al H x x 1 1 x x 68.40385796
sih4 H Si x x 4 1 x x 310.4666805
bh3 H B x x 3 1 x x 274.4197969
bh B H x x 1 1 x x 80.36453248
ch2-trip H C x x 2 1 x x 190.8008105
sih H Si x x 1 1 x x 70.90707873
si2h6 H Si x x 6 2 x x 513.5209428
ch3 H C x x 3 1 x x 304.1583353
ch4 H C x x 4 1 x x 411.9912247
b2h6 H B x x 6 2 x x 595.852623
sih3f H F Si x 3 1 1 x 365.6549168
ph3 H P x x 3 1 x x 235.0404373
c2h6 H C x x 6 2 x x 701.1041469
propane H C x x 8 3 x x 992.0199294
ch2-sing H C x x 2 1 x x 182.158161
ch C H x x 1 1 x x 83.30689473
h2s H S x x 2 1 x x 178.1820312
hs S H x x 1 1 x x 86.10662166
c2h5f H C F x 5 2 1 x 711.8539509
ch3nh2 H C N x 5 1 1 x 575.4369174
ch3f H F C x 3 1 1 x 417.3478594
propene H C x x 6 3 x x 851.3161599
nh3 H N x x 3 1 x x 294.3811557
ethanol H C O x 6 2 1 x 799.1117788
ch3nh H C N x 4 1 1 x 474.1310692
c2h4 H C x x 4 2 x x 557.2465648
methanol H C O x 4 1 1 x 505.5692601
hcl Cl H x x 1 1 x x 104.1034324
nh2 H N x x 2 1 x x 184.0807886
nh N H x x 1 1 x x 86.56294606
ch2nh2 H C N x 4 1 1 x 481.6818024
bhf2 F B H x 2 1 1 x 403.221937
h2o H O x x 2 1 x x 227.6759943
hf F H x x 1 1 x x 138.1206054
ch2ch H C x x 3 2 x x 445.2215262
oh O H x x 1 1 x x 106.7479955
propyne H C x x 4 3 x x 699.6038225
acetaldehyde H C O x 4 2 1 x 673.9021363
allene H C x x 4 3 x x 702.3601731
sif4 F Si x x 4 1 x x 548.1131387
bf3 F B x x 3 1 x x 460.4309008
c2h3f H C F x 3 2 1 x 570.8055706
oxirane H C O x 4 2 1 x 648.7880752
ch2f2 H F C x 2 2 1 x 433.7519302
alf3 F Al x x 3 1 x x 410.7834333
bef2 F Be x x 2 1 x x 303.7493478
ch2c C H x x 2 2 x x 358.2005681
n2h4 H N x x 4 2 x x 437.7919259
ch2nh H C N x 3 1 1 x 438.5715507
alf Al F x x 1 1 x x 156.6607253
acetic H C O x 4 2 2 x 799.5445656
c2h2 C H x x 2 2 x x 402.2907131
h2co H O C x 2 1 1 x 373.7944352
h2cn H C N x 2 1 1 x 348.104769
bf F B x x 1 1 x x 179.3160977
becl2 Cl Be x x 2 1 x x 221.8768638
t-hcoh H C O x 2 1 1 x 320.2155105
alcl3 Cl Al x x 3 1 x x 296.4600378
c-hcoh H C O x 2 1 1 x 315.9351725
alcl Al Cl x x 1 1 x x 116.3278739
ketene C H O x 2 2 1 x 538.3993845
sif F Si x x 1 1 x x 139.3059605
formic H O C x 2 2 1 x 502.1374532
hcnh H C N x 2 1 1 x 341.8796765
glyoxal C H O x 2 2 2 x 638.2554899
hcof C O H F 1 1 1 1 406.2762952
nh2cl H N Cl x 2 1 1 x 248.3196426
cf4 F C x x 4 1 x x 474.0110049
hccf C H F x 2 1 1 x 400.6610248
hcn H C N x 1 1 1 x 315.2264369
hnc H N C x 1 1 1 x 300.2078095
cch C H x x 2 1 x x 266.7867299
hco O C H x 1 1 1 x 284.3867332
co C O x x 1 1 x x 259.3321441
oxirene C H O x 2 2 1 x 460.317626
f2co F O C x 2 1 1 x 424.4578166
hocn C N O H 1 1 1 1 415.3766264
hooh H O x x 2 2 x x 269.324564
t-n2h2 H N x x 2 2 x x 302.2924453
hnco C O N H 1 1 1 1 445.3122666
c-n2h2 H N x x 2 2 x x 297.3419291
cf2 F C x x 2 1 x x 261.6554822
co2 O C x x 2 1 x x 398.2383994
fccf F C x x 2 2 x x 393.145768
dioxirane H O C x 2 2 1 x 414.7018669
cf C F x x 1 1 x x 137.6981153
ssh S H x x 2 1 x x 166.4262364
hocl O H Cl x 1 1 1 x 166.145274
nccn N C x x 2 2 x x 515.5365623
n2 N x x x 2 x x x 234.1394976
n2h N H x x 2 1 x x 236.4628464
ocs O C S x 1 1 1 x 343.9268364
sio Si O x x 1 1 x x 188.1105813
clcn Cl C N x 1 1 1 x 292.6063565
hoo O H x x 2 1 x x 184.1947829
hcno C H N O 1 1 1 1 381.648629
honc H O N C 1 1 1 1 358.5723476
hno N H O x 1 1 1 x 212.7186863
hof H O F x 1 1 1 x 162.3700235
c-hono O N H x 2 1 1 x 326.0324575
t-hono O N H x 2 1 1 x 326.9927548
cs2 S C x x 2 1 x x 288.1194819
hnnn N H x x 3 1 x x 354.4355359
cs C S x x 1 1 x x 172.4427259
cn C N x x 1 1 x x 188.6793825
so3 O S x x 3 1 x x 351.055521
ccl2 Cl C x x 2 1 x x 183.2657326
bn3pi B N x x 1 1 x x 115.8882098
so2 O S x x 2 1 x x 263.909797
no N O x x 1 1 x x 162.8669098
so S O x x 1 1 x x 133.0686866
n2o N O x x 2 1 x x 293.3413347
c-hooo O H x x 3 1 x x 252.9198962
s2 S x x x 2 x x x 109.1274395
p4 P x x x 4 x x x 291.8487888
cl2 Cl x x x 2 x x x 60.39212211
o2 O x x x 2 x x x 134.5501605
f2 F x x x 2 x x x 45.87592174
t-hooo O H x x 3 1 x x 254.3412313
s2o S O x x 2 1 x x 214.5986447
p2 P x x x 2 x x x 115.7800195
clf Cl F x x 1 1 x x 65.64167354
no2 O N x x 2 1 x x 252.4798166
clo Cl O x x 1 1 x x 74.22355794
s3 S x x x 3 x x x 174.0068041
cl2o Cl O x x 2 1 x x 107.2506111
s4-c2v S x x x 4 x x x 242.7013632
of O F x x 1 1 x x 64.42375523
c2 C x x x 2 x x x 146.8700429
oclo O Cl x x 2 1 x x 145.8476356
f2o F O x x 2 1 x x 109.5931093
b2 B x x x 2 x x x 74.76495016
fo2 O F x x 2 1 x x 160.382867
cloo O Cl x x 2 1 x x 148.3144544
foof F O x x 2 2 x x 185.6165296
o3 O x x x 3 x x x 168.0462733
bn B N x x 1 1 x x 110.1149211
be2 Be x x x 2 x x x 8.18083936
