xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 105.7159958
alh3 H Al x x 3 1 x x 203.2665066
alh Al H x x 1 1 x x 69.15440754
sih4 H Si x x 4 1 x x 312.2408695
bh3 H B x x 3 1 x x 275.5100451
bh B H x x 1 1 x x 80.88026143
ch2-trip H C x x 2 1 x x 191.6103165
sih H Si x x 1 1 x x 71.63520363
si2h6 H Si x x 6 2 x x 518.0713413
ch3 H C x x 3 1 x x 305.4950286
ch4 H C x x 4 1 x x 413.8764577
b2h6 H B x x 6 2 x x 599.2623889
sih3f H F Si x 3 1 1 x 367.1710827
ph3 H P x x 3 1 x x 237.0114769
c2h6 H C x x 6 2 x x 704.6002007
propane H C x x 8 3 x x 997.2085094
ch2-sing H C x x 2 1 x x 183.0422758
ch C H x x 1 1 x x 83.7619483
h2s H S x x 2 1 x x 179.4860533
hs S H x x 1 1 x x 86.73433828
c2h5f H C F x 5 2 1 x 714.7777282
ch3nh2 H C N x 5 1 1 x 578.4584757
ch3f H F C x 3 1 1 x 418.5372383
propene H C x x 6 3 x x 856.3723102
nh3 H N x x 3 1 x x 295.7234849
ethanol H C O x 6 2 1 x 802.6630235
ch3nh H C N x 4 1 1 x 476.8699968
c2h4 H C x x 4 2 x x 560.2484021
methanol H C O x 4 1 1 x 507.459734
hcl Cl H x x 1 1 x x 104.6644113
nh2 H N x x 2 1 x x 184.9102969
nh N H x x 1 1 x x 86.92634862
ch2nh2 H C N x 4 1 1 x 484.448761
bhf2 F B H x 2 1 1 x 403.868961
h2o H O x x 2 1 x x 228.3280593
hf F H x x 1 1 x x 138.3306111
ch2ch H C x x 3 2 x x 447.7227317
oh O H x x 1 1 x x 107.0273781
propyne H C x x 4 3 x x 703.7918559
acetaldehyde H C O x 4 2 1 x 677.2182475
allene H C x x 4 3 x x 706.819104
sif4 F Si x x 4 1 x x 549.722478
bf3 F B x x 3 1 x x 461.5426841
c2h3f H C F x 3 2 1 x 573.4899546
oxirane H C O x 4 2 1 x 651.6389847
ch2f2 H F C x 2 2 1 x 434.74254
alf3 F Al x x 3 1 x x 412.0556623
bef2 F Be x x 2 1 x x 304.5588684
ch2c C H x x 2 2 x x 360.4857353
n2h4 H N x x 4 2 x x 440.3771479
ch2nh H C N x 3 1 1 x 440.9995392
alf Al F x x 1 1 x x 157.404986
acetic H C O x 4 2 2 x 803.4477629
c2h2 C H x x 2 2 x x 404.1233539
h2co H O C x 2 1 1 x 375.1693529
h2cn H C N x 2 1 1 x 350.0537341
bf F B x x 1 1 x x 179.8811444
becl2 Cl Be x x 2 1 x x 224.3053011
t-hcoh H C O x 2 1 1 x 321.7462224
alcl3 Cl Al x x 3 1 x x 300.3202721
c-hcoh H C O x 2 1 1 x 317.4813036
alcl Al Cl x x 1 1 x x 118.2148981
ketene C H O x 2 2 1 x 541.1370378
sif F Si x x 1 1 x x 140.0708105
formic H O C x 2 2 1 x 504.0726005
hcnh H C N x 2 1 1 x 343.8020894
glyoxal C H O x 2 2 2 x 641.192469
hcof C O H F 1 1 1 1 407.5628864
nh2cl H N Cl x 2 1 1 x 250.5076995
cf4 F C x x 4 1 x x 475.8210299
hccf C H F x 2 1 1 x 402.4317609
hcn H C N x 1 1 1 x 316.4825892
hnc H N C x 1 1 1 x 301.6653922
cch C H x x 2 1 x x 268.2822258
hco O C H x 1 1 1 x 285.359073
co C O x x 1 1 x x 260.0424751
oxirene C H O x 2 2 1 x 462.5324245
