xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1303.34149
pentane H C x x 12 5 x x 1599.570015
hexane H C x x 14 6 x x 1895.83518
heptane H C x x 16 7 x x 2192.083725
octane H C x x 18 8 x x 2488.343512
isobutane H C x x 10 4 x x 1304.65628
isopentane H C x x 12 5 x x 1600.38844
isohexane H C x x 14 6 x x 1896.644731
isoheptane H C x x 16 7 x x 2192.947325
isooctane H C x x 18 8 x x 2489.839013
neopentane H C x x 12 5 x x 1602.909315
neohexane H C x x 14 6 x x 1898.036356
neoheptane H C x x 16 7 x x 2194.289883
3methylpentane H C x x 14 6 x x 1896.031137
diisopropyl H C x x 14 6 x x 1896.681941
hexamethylethane H C x x 18 8 x x 2489.24495
h2 H x x x 2 x x x 105.8584552
alh3 H Al x x 3 1 x x 204.0639493
alh Al H x x 1 1 x x 69.10580748
sih4 H Si x x 4 1 x x 313.9955471
bh3 H B x x 3 1 x x 276.6929191
bh B H x x 1 1 x x 81.10958141
ch2-trip H C x x 2 1 x x 193.0842129
sih H Si x x 1 1 x x 71.94700189
si2h6 H Si x x 6 2 x x 521.7487601
ch3 H C x x 3 1 x x 307.5976974
ch4 H C x x 4 1 x x 416.7550607
b2h6 H B x x 6 2 x x 603.738626
sih3f H F Si x 3 1 1 x 370.9257982
ph3 H P x x 3 1 x x 238.9270282
c2h6 H C x x 6 2 x x 710.8727162
propane H C x x 8 3 x x 1007.071636
ch2-sing H C x x 2 1 x x 184.4127861
ch C H x x 1 1 x x 84.32010801
h2s H S x x 2 1 x x 181.3301562
hs S H x x 1 1 x x 87.66507853
c2h5f H C F x 5 2 1 x 723.6728196
ch3nh2 H C N x 5 1 1 x 584.7125421
ch3f H F C x 3 1 1 x 423.6099737
propene H C x x 6 3 x x 864.8435815
nh3 H N x x 3 1 x x 298.4123379
ethanol H C O x 6 2 1 x 812.4825391
ch3nh H C N x 4 1 1 x 482.2625305
c2h4 H C x x 4 2 x x 565.2180173
methanol H C O x 4 1 1 x 513.4249685
hcl Cl H x x 1 1 x x 105.835317
nh2 H N x x 2 1 x x 186.6215198
nh N H x x 1 1 x x 87.75073722
ch2nh2 H C N x 4 1 1 x 490.1194998
bhf2 F B H x 2 1 1 x 409.3291108
h2o H O x x 2 1 x x 230.4843524
hf F H x x 1 1 x x 139.5122873
ch2ch H C x x 3 2 x x 452.1840562
oh O H x x 1 1 x x 108.0595108
propyne H C x x 4 3 x x 711.1156888
acetaldehyde H C O x 4 2 1 x 685.1262482
allene H C x x 4 3 x x 714.123902
sif4 F Si x x 4 1 x x 560.7018425
bf3 F B x x 3 1 x x 469.2318158
c2h3f H C F x 3 2 1 x 580.9948538
oxirane H C O x 4 2 1 x 661.4253317
ch2f2 H F C x 2 2 1 x 442.4790729
alf3 F Al x x 3 1 x x 418.1623141
bef2 F Be x x 2 1 x x 307.2983962
ch2c C H x x 2 2 x x 363.9989535
n2h4 H N x x 4 2 x x 446.6263769
ch2nh H C N x 3 1 1 x 445.7906835
alf Al F x x 1 1 x x 159.4806263
acetic H C O x 4 2 2 x 815.2135938
c2h2 C H x x 2 2 x x 407.9925633
h2co H O C x 2 1 1 x 379.4512445
h2cn H C N x 2 1 1 x 354.0657813
bf F B x x 1 1 x x 182.1491273
becl2 Cl Be x x 2 1 x x 226.8196354
t-hcoh H C O x 2 1 1 x 326.3625438
alcl3 Cl Al x x 3 1 x x 306.3711878
c-hcoh H C O x 2 1 1 x 322.0134058
alcl Al Cl x x 1 1 x x 120.0237052
ketene C H O x 2 2 1 x 547.7358569
sif F Si x x 1 1 x x 142.606241
formic H O C x 2 2 1 x 511.9361276
hcnh H C N x 2 1 1 x 348.1174591
glyoxal C H O x 2 2 2 x 650.5389159
hcof C O H F 1 1 1 1 414.3995522
nh2cl H N Cl x 2 1 1 x 255.219511
cf4 F C x x 4 1 x x 490.0389004
hccf C H F x 2 1 1 x 408.524693
hcn H C N x 1 1 1 x 319.8479127
hnc H N C x 1 1 1 x 305.0472643
cch C H x x 2 1 x x 271.3838741
hco O C H x 1 1 1 x 289.070625
co C O x x 1 1 x x 262.8877697
oxirene C H O x 2 2 1 x 470.4980442
f2co F O C x 2 1 1 x 435.7102208
hocn C N O H 1 1 1 1 423.6843226
hooh H O x x 2 2 x x 275.6504221
t-n2h2 H N x x 2 2 x x 308.8571262
hnco C O N H 1 1 1 1 453.7563965
c-n2h2 H N x x 2 2 x x 303.8771972
cf2 F C x x 2 1 x x 268.9492353
co2 O C x x 2 1 x x 405.3708902
fccf F C x x 2 2 x x 403.1421303
dioxirane H O C x 2 2 1 x 425.4780392
cf C F x x 1 1 x x 141.0260861
ssh S H x x 2 1 x x 172.9364918
hocl O H Cl x 1 1 1 x 171.8223432
nccn N C x x 2 2 x x 525.5067737
n2 N x x x 2 x x x 237.8571138
n2h N H x x 2 1 x x 241.6871125
ocs O C S x 1 1 1 x 351.9196733
sio Si O x x 1 1 x x 191.9706543
clcn Cl C N x 1 1 1 x 300.0357545
hoo O H x x 2 1 x x 189.4480973
hcno C H N O 1 1 1 1 390.3955102
honc H O N C 1 1 1 1 367.0832088
hno N H O x 1 1 1 x 217.8979014
hof H O F x 1 1 1 x 167.1783848
c-hono O N H x 2 1 1 x 335.7079811
t-hono O N H x 2 1 1 x 336.5583942
cs2 S C x x 2 1 x x 297.1219901
hnnn N H x x 3 1 x x 363.498731
cs C S x x 1 1 x x 176.7326766
cn C N x x 1 1 x x 192.2557224
so3 O S x x 3 1 x x 364.7971405
ccl2 Cl C x x 2 1 x x 192.5069906
bn3pi B N x x 1 1 x x 118.8396538
so2 O S x x 2 1 x x 273.0461697
no N O x x 1 1 x x 166.7190756
so S O x x 1 1 x x 137.5604963
n2o N O x x 2 1 x x 301.0367766
c-hooo O H x x 3 1 x x 262.1069678
s2 S x x x 2 x x x 114.5088301
p4 P x x x 4 x x x 313.1029887
cl2 Cl x x x 2 x x x 65.36961655
o2 O x x x 2 x x x 138.5282358
f2 F x x x 2 x x x 49.20367934
t-hooo O H x x 3 1 x x 263.2869703
s2o S O x x 2 1 x x 224.5371241
p2 P x x x 2 x x x 120.8273073
clf Cl F x x 1 1 x x 69.61546047
no2 O N x x 2 1 x x 260.6304896
clo Cl O x x 1 1 x x 78.59811281
s3 S x x x 3 x x x 184.7876945
cl2o Cl O x x 2 1 x x 116.6282861
s4-c2v S x x x 4 x x x 260.2427018
of O F x x 1 1 x x 67.9823781
c2 C x x x 2 x x x 150.2297767
oclo O Cl x x 2 1 x x 155.2590175
f2o F O x x 2 1 x x 116.9673471
b2 B x x x 2 x x x 77.46321972
fo2 O F x x 2 1 x x 167.4459903
cloo O Cl x x 2 1 x x 155.6643603
foof F O x x 2 2 x x 196.6886066
o3 O x x x 3 x x x 176.4782092
bn B N x x 1 1 x x 113.9977889
be2 Be x x x 2 x x x 9.205019812
C4H4 C H x x 4 4 x x 817.479376
C6H6 C H x x 6 6 x x 1286.326642
C8H8 C H x x 8 8 x x 1748.547077
C10H10 C H x x 10 10 x x 2246.463204
C12H12 C H x x 12 12 x x 2773.190247
C20H20 C H x x 20 20 x x 4710.913001
