xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1275.230507
pentane H C x x 12 5 x x 1563.303105
hexane H C x x 14 6 x x 1851.396173
heptane H C x x 16 7 x x 2139.466278
octane H C x x 18 8 x x 2427.552014
isobutane H C x x 10 4 x x 1275.588401
isopentane H C x x 12 5 x x 1562.615436
isohexane H C x x 14 6 x x 1850.612604
isoheptane H C x x 16 7 x x 2138.699167
isooctane H C x x 18 8 x x 2422.588414
neopentane H C x x 12 5 x x 1563.574721
neohexane H C x x 14 6 x x 1849.401413
neoheptane H C x x 16 7 x x 2137.293338
3methylpentane H C x x 14 6 x x 1849.507466
diisopropyl H C x x 14 6 x x 1848.769218
hexamethylethane H C x x 18 8 x x 2417.98035
h2 H x x x 2 x x x 105.5421933
alh3 H Al x x 3 1 x x 201.5344366
alh Al H x x 1 1 x x 68.39708445
sih4 H Si x x 4 1 x x 309.2350982
bh3 H B x x 3 1 x x 274.0198291
bh B H x x 1 1 x x 80.36267882
ch2-trip H C x x 2 1 x x 190.6965688
sih H Si x x 1 1 x x 70.9044037
si2h6 H Si x x 6 2 x x 510.3612702
ch3 H C x x 3 1 x x 303.9526001
ch4 H C x x 4 1 x x 411.7078589
b2h6 H B x x 6 2 x x 593.2256336
sih3f H F Si x 3 1 1 x 364.0269409
ph3 H P x x 3 1 x x 234.6394816
c2h6 H C x x 6 2 x x 698.8490468
propane H C x x 8 3 x x 987.0276563
ch2-sing H C x x 2 1 x x 182.1198762
ch C H x x 1 1 x x 83.30596745
h2s H S x x 2 1 x x 178.0902946
hs S H x x 1 1 x x 86.10384487
c2h5f H C F x 5 2 1 x 708.7628155
ch3nh2 H C N x 5 1 1 x 573.7519299
ch3f H F C x 3 1 1 x 416.198117
propene H C x x 6 3 x x 848.2629989
nh3 H N x x 3 1 x x 294.3118878
ethanol H C O x 6 2 1 x 795.3797734
ch3nh H C N x 4 1 1 x 473.0071747
c2h4 H C x x 4 2 x x 556.1549461
methanol H C O x 4 1 1 x 504.0756518
hcl Cl H x x 1 1 x x 104.1000334
nh2 H N x x 2 1 x x 184.0590027
nh N H x x 1 1 x x 86.56237604
ch2nh2 H C N x 4 1 1 x 480.5855392
bhf2 F B H x 2 1 1 x 402.0827399
h2o H O x x 2 1 x x 227.6615554
hf F H x x 1 1 x x 138.1198327
ch2ch H C x x 3 2 x x 444.5674326
oh O H x x 1 1 x x 106.7471692
propyne H C x x 4 3 x x 698.1851274
acetaldehyde H C O x 4 2 1 x 671.6962728
allene H C x x 4 3 x x 701.05972
sif4 F Si x x 4 1 x x 545.8722562
bf3 F B x x 3 1 x x 459.536996
c2h3f H C F x 3 2 1 x 569.212586
oxirane H C O x 4 2 1 x 646.4608502
ch2f2 H F C x 2 2 1 x 432.1806521
alf3 F Al x x 3 1 x x 409.9560542
bef2 F Be x x 2 1 x x 303.4435121
ch2c C H x x 2 2 x x 357.8836462
n2h4 H N x x 4 2 x x 436.6813382
ch2nh H C N x 3 1 1 x 437.9182748
alf Al F x x 1 1 x x 156.6527695
acetic H C O x 4 2 2 x 796.3691926
c2h2 C H x x 2 2 x x 401.8676403
h2co H O C x 2 1 1 x 373.2185054
