xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 105.079915
alh3 H Al x x 3 1 x x 204.2869188
alh Al H x x 1 1 x x 68.38068919
sih4 H Si x x 4 1 x x 313.4435209
bh3 H B x x 3 1 x x 276.2435635
bh B H x x 1 1 x x 80.34156548
ch2-trip H C x x 2 1 x x 190.9735223
sih H Si x x 1 1 x x 70.74871713
si2h6 H Si x x 6 2 x x 518.6127833
ch3 H C x x 3 1 x x 304.09864
ch4 H C x x 4 1 x x 411.7692606
b2h6 H B x x 6 2 x x 598.5633183
sih3f H F Si x 3 1 1 x 365.3336484
ph3 H P x x 3 1 x x 234.4080554
c2h6 H C x x 6 2 x x 700.6015159
propane H C x x 8 3 x x 991.2379187
ch2-sing H C x x 2 1 x x 181.1367785
ch C H x x 1 1 x x 82.13315179
h2s H S x x 2 1 x x 177.0532408
hs S H x x 1 1 x x 85.37582169
c2h5f H C F x 5 2 1 x 706.3708127
ch3nh2 H C N x 5 1 1 x 569.9882474
ch3f H F C x 3 1 1 x 412.1398397
propene H C x x 6 3 x x 846.8782173
nh3 H N x x 3 1 x x 289.4058476
ethanol H C O x 6 2 1 x 792.5835855
ch3nh H C N x 4 1 1 x 468.3461346
c2h4 H C x x 4 2 x x 553.215501
methanol H C O x 4 1 1 x 499.2581122
hcl Cl H x x 1 1 x x 103.2407337
nh2 H N x x 2 1 x x 179.7467988
nh N H x x 1 1 x x 83.80105993
ch2nh2 H C N x 4 1 1 x 475.2039126
bhf2 F B H x 2 1 1 x 396.7512493
h2o H O x x 2 1 x x 222.1849419
hf F H x x 1 1 x x 133.9993794
ch2ch H C x x 3 2 x x 440.3812976
oh O H x x 1 1 x x 103.3553949
propyne H C x x 4 3 x x 691.9882671
acetaldehyde H C O x 4 2 1 x 663.0768071
allene H C x x 4 3 x x 693.4060714
sif4 F Si x x 4 1 x x 539.1169431
bf3 F B x x 3 1 x x 451.2226469
c2h3f H C F x 3 2 1 x 561.3098677
oxirane H C O x 4 2 1 x 638.6053767
ch2f2 H F C x 2 2 1 x 423.9733558
alf3 F Al x x 3 1 x x 401.7050814
bef2 F Be x x 2 1 x x 295.7706662
ch2c C H x x 2 2 x x 351.5347977
n2h4 H N x x 4 2 x x 426.8420432
ch2nh H C N x 3 1 1 x 429.0449413
alf Al F x x 1 1 x x 152.0330336
acetic H C O x 4 2 2 x 783.3017995
c2h2 C H x x 2 2 x x 394.9730491
h2co H O C x 2 1 1 x 363.3956651
h2cn H C N x 2 1 1 x 338.5286973
bf F B x x 1 1 x x 174.1148127
becl2 Cl Be x x 2 1 x x 221.8216178
t-hcoh H C O x 2 1 1 x 310.5917247
alcl3 Cl Al x x 3 1 x x 298.4520913
c-hcoh H C O x 2 1 1 x 305.845847
alcl Al Cl x x 1 1 x x 115.6010442
ketene C H O x 2 2 1 x 523.4618372
sif F Si x x 1 1 x x 134.1368611
formic H O C x 2 2 1 x 485.6095396
hcnh H C N x 2 1 1 x 330.5387308
glyoxal C H O x 2 2 2 x 616.8443487
hcof C O H F 1 1 1 1 390.5246148
nh2cl H N Cl x 2 1 1 x 240.0480827
cf4 F C x x 4 1 x x 457.5654327
hccf C H F x 2 1 1 x 387.7998876
