xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1287.71496
pentane H C x x 12 5 x x 1579.788088
hexane H C x x 14 6 x x 1871.877115
heptane H C x x 16 7 x x 2163.970549
octane H C x x 18 8 x x 2456.060659
isobutane H C x x 10 4 x x 1288.843997
isopentane H C x x 12 5 x x 1580.374556
isohexane H C x x 14 6 x x 1872.434069
isoheptane H C x x 16 7 x x 2164.560934
isooctane H C x x 18 8 x x 2456.43142
neopentane H C x x 12 5 x x 1582.553908
neohexane H C x x 14 6 x x 1873.446414
neoheptane H C x x 16 7 x x 2165.478424
3methylpentane H C x x 14 6 x x 1871.782619
diisopropyl H C x x 14 6 x x 1872.195439
hexamethylethane H C x x 18 8 x x 2455.361264
h2 H x x x 2 x x x 105.2193548
alh3 H Al x x 3 1 x x 205.4495685
alh Al H x x 1 1 x x 69.05521273
sih4 H Si x x 4 1 x x 315.0019463
bh3 H B x x 3 1 x x 277.1972188
bh B H x x 1 1 x x 80.78086076
ch2-trip H C x x 2 1 x x 191.6578362
sih H Si x x 1 1 x x 71.39053807
si2h6 H Si x x 6 2 x x 522.808663
ch3 H C x x 3 1 x x 305.2272631
ch4 H C x x 4 1 x x 413.3511223
b2h6 H B x x 6 2 x x 601.6371901
sih3f H F Si x 3 1 1 x 366.6464143
ph3 H P x x 3 1 x x 236.1425965
c2h6 H C x x 6 2 x x 703.5544489
propane H C x x 8 3 x x 995.6164369
ch2-sing H C x x 2 1 x x 181.8760206
ch C H x x 1 1 x x 82.51398258
h2s H S x x 2 1 x x 178.1807851
hs S H x x 1 1 x x 85.91689606
c2h5f H C F x 5 2 1 x 708.8940943
ch3nh2 H C N x 5 1 1 x 572.5406997
ch3f H F C x 3 1 1 x 413.2128516
propene H C x x 6 3 x x 851.2165548
nh3 H N x x 3 1 x x 290.5108193
ethanol H C O x 6 2 1 x 795.6301419
ch3nh H C N x 4 1 1 x 470.6896533
c2h4 H C x x 4 2 x x 555.7883992
methanol H C O x 4 1 1 x 500.9088225
hcl Cl H x x 1 1 x x 103.7200003
nh2 H N x x 2 1 x x 180.4302048
nh N H x x 1 1 x x 84.10098468
