xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1275.394915
pentane H C x x 12 5 x x 1563.617085
hexane H C x x 14 6 x x 1851.84515
heptane H C x x 16 7 x x 2140.072113
octane H C x x 18 8 x x 2428.299859
isobutane H C x x 10 4 x x 1275.865198
isopentane H C x x 12 5 x x 1563.094294
isohexane H C x x 14 6 x x 1851.230005
isoheptane H C x x 16 7 x x 2139.462993
isooctane H C x x 18 8 x x 2423.942907
neopentane H C x x 12 5 x x 1564.281356
neohexane H C x x 14 6 x x 1850.381842
neoheptane H C x x 16 7 x x 2138.411212
3methylpentane H C x x 14 6 x x 1850.168963
diisopropyl H C x x 14 6 x x 1849.628131
hexamethylethane H C x x 18 8 x x 2420.003287
h2 H x x x 2 x x x 105.0798835
alh3 H Al x x 3 1 x x 203.9142733
alh Al H x x 1 1 x x 68.37589991
sih4 H Si x x 4 1 x x 312.4052062
bh3 H B x x 3 1 x x 275.9498448
bh B H x x 1 1 x x 80.34026129
ch2-trip H C x x 2 1 x x 190.8984415
sih H Si x x 1 1 x x 70.74683424
si2h6 H Si x x 6 2 x x 515.9517891
ch3 H C x x 3 1 x x 303.9529178
ch4 H C x x 4 1 x x 411.5699784
b2h6 H B x x 6 2 x x 596.5469861
sih3f H F Si x 3 1 1 x 363.9175416
ph3 H P x x 3 1 x x 234.1136064
c2h6 H C x x 6 2 x x 698.767483
propane H C x x 8 3 x x 987.0891443
ch2-sing H C x x 2 1 x x 181.1099245
ch C H x x 1 1 x x 82.13250128
h2s H S x x 2 1 x x 176.9877854
hs S H x x 1 1 x x 85.37386683
c2h5f H C F x 5 2 1 x 703.8721537
ch3nh2 H C N x 5 1 1 x 568.6387344
ch3f H F C x 3 1 1 x 411.2789696
propene H C x x 6 3 x x 844.3811996
nh3 H N x x 3 1 x x 289.3573984
ethanol H C O x 6 2 1 x 789.5439767
ch3nh H C N x 4 1 1 x 467.4802956
c2h4 H C x x 4 2 x x 552.3505959
methanol H C O x 4 1 1 x 498.1054315
hcl Cl H x x 1 1 x x 103.2383387
nh2 H N x x 2 1 x x 179.7315646
nh N H x x 1 1 x x 83.80066073
ch2nh2 H C N x 4 1 1 x 474.3353313
bhf2 F B H x 2 1 1 x 395.8501045
h2o H O x x 2 1 x x 222.1748508
hf F H x x 1 1 x x 133.9988361
ch2ch H C x x 3 2 x x 439.8722537
oh O H x x 1 1 x x 103.3548143
propyne H C x x 4 3 x x 690.8515946
acetaldehyde H C O x 4 2 1 x 661.2983476
allene H C x x 4 3 x x 692.3540815
sif4 F Si x x 4 1 x x 537.2354474
bf3 F B x x 3 1 x x 450.5442016
c2h3f H C F x 3 2 1 x 560.0441062
oxirane H C O x 4 2 1 x 636.8058339
ch2f2 H F C x 2 2 1 x 422.8001785
alf3 F Al x x 3 1 x x 400.9674684
bef2 F Be x x 2 1 x x 295.5006957
ch2c C H x x 2 2 x x 351.3097917
n2h4 H N x x 4 2 x x 425.9557876
ch2nh H C N x 3 1 1 x 428.5445591
alf Al F x x 1 1 x x 152.0273812
acetic H C O x 4 2 2 x 780.6996041
c2h2 C H x x 2 2 x x 394.6555645
h2co H O C x 2 1 1 x 362.9765056
h2cn H C N x 2 1 1 x 338.3031042
bf F B x x 1 1 x x 174.1136341
becl2 Cl Be x x 2 1 x x 221.1283619
t-hcoh H C O x 2 1 1 x 310.3312268
alcl3 Cl Al x x 3 1 x x 296.3521097
c-hcoh H C O x 2 1 1 x 305.5814334
alcl Al Cl x x 1 1 x x 115.5749591
ketene C H O x 2 2 1 x 522.7761248
sif F Si x x 1 1 x x 134.1325556
formic H O C x 2 2 1 x 484.6265242
hcnh H C N x 2 1 1 x 330.3244175
glyoxal C H O x 2 2 2 x 614.9956369
hcof C O H F 1 1 1 1 389.8943859
nh2cl H N Cl x 2 1 1 x 239.6385942
cf4 F C x x 4 1 x x 456.5734732
hccf C H F x 2 1 1 x 387.3251377
hcn H C N x 1 1 1 x 302.6488977
hnc H N C x 1 1 1 x 288.9902652
cch C H x x 2 1 x x 258.853132
hco O C H x 1 1 1 x 272.3266913
co C O x x 1 1 x x 248.3409897
oxirene C H O x 2 2 1 x 442.7144013
f2co F O C x 2 1 1 x 404.7068977
hocn C N O H 1 1 1 1 395.9460237
hooh H O x x 2 2 x x 253.2705427
t-n2h2 H N x x 2 2 x x 286.383958
hnco C O N H 1 1 1 1 424.8578939
c-n2h2 H N x x 2 2 x x 280.9726561
cf2 F C x x 2 1 x x 247.3989548
co2 O C x x 2 1 x x 378.1122814
fccf F C x x 2 2 x x 374.1770053
dioxirane H O C x 2 2 1 x 393.1846986
cf C F x x 1 1 x x 129.334995
ssh S H x x 2 1 x x 160.7050098
hocl O H Cl x 1 1 1 x 155.9562646
nccn N C x x 2 2 x x 487.2086972
n2 N x x x 2 x x x 218.2526234
n2h N H x x 2 1 x x 220.1900529
ocs O C S x 1 1 1 x 326.6687502
sio Si O x x 1 1 x x 176.8138691
clcn Cl C N x 1 1 1 x 276.5334768
hoo O H x x 2 1 x x 167.7754277
hcno C H N O 1 1 1 1 355.7290941
honc H O N C 1 1 1 1 337.4869301
hno N H O x 1 1 1 x 195.10212
hof H O F x 1 1 1 x 146.3717012
c-hono O N H x 2 1 1 x 297.3336708
t-hono O N H x 2 1 1 x 297.802778
cs2 S C x x 2 1 x x 273.6037162
hnnn N H x x 3 1 x x 324.5244335
cs C S x x 1 1 x x 162.7119708
cn C N x x 1 1 x x 172.197905
so3 O S x x 3 1 x x 322.1436459
ccl2 Cl C x x 2 1 x x 171.9254999
bn3pi B N x x 1 1 x x 106.2928885
so2 O S x x 2 1 x x 241.083728
no N O x x 1 1 x x 146.3831359
so S O x x 1 1 x x 121.1608614
n2o N O x x 2 1 x x 262.4012497
c-hooo O H x x 3 1 x x 218.7065432
s2 S x x x 2 x x x 102.470654
p4 P x x x 4 x x x 280.7608477
cl2 Cl x x x 2 x x x 55.81318238
o2 O x x x 2 x x x 117.5737481
f2 F x x x 2 x x x 29.3331881
t-hooo O H x x 3 1 x x 218.335607
s2o S O x x 2 1 x x 194.045922
p2 P x x x 2 x x x 107.1145806
clf Cl F x x 1 1 x x 56.21435384
no2 O N x x 2 1 x x 220.785955
clo Cl O x x 1 1 x x 62.11455936
s3 S x x x 3 x x x 157.5152512
cl2o Cl O x x 2 1 x x 90.5351742
s4-c2v S x x x 4 x x x 220.1571694
of O F x x 1 1 x x 48.6073068
c2 C x x x 2 x x x 134.914843
oclo O Cl x x 2 1 x x 118.871733
f2o F O x x 2 1 x x 81.0180946
b2 B x x x 2 x x x 70.78049172
fo2 O F x x 2 1 x x 123.0012548
cloo O Cl x x 2 1 x x 117.5369788
foof F O x x 2 2 x x 134.4330442
o3 O x x x 3 x x x 130.0504986
bn B N x x 1 1 x x 93.78901854
be2 Be x x x 2 x x x 6.387463252
C4H4 C H x x 4 4 x x 787.4078061
C6H6 C H x x 6 6 x x 1238.113051
C8H8 C H x x 8 8 x x 1680.087515
C10H10 C H x x 10 10 x x 2158.307193
C12H12 C H x x 12 12 x x 2667.457181
C20H20 C H x x 20 20 x x 4523.004865
