xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1304.63068
pentane H C x x 12 5 x x 1598.680246
hexane H C x x 14 6 x x 1892.746906
heptane H C x x 16 7 x x 2186.805722
octane H C x x 18 8 x x 2480.85928
isobutane H C x x 10 4 x x 1305.37196
isopentane H C x x 12 5 x x 1598.647895
isohexane H C x x 14 6 x x 1892.664785
isoheptane H C x x 16 7 x x 2186.737581
isooctane H C x x 18 8 x x 2478.871433
neopentane H C x x 12 5 x x 1600.396923
neohexane H C x x 14 6 x x 1892.780257
neoheptane H C x x 16 7 x x 2186.737846
3methylpentane H C x x 14 6 x x 1891.808316
diisopropyl H C x x 14 6 x x 1891.828929
hexamethylethane H C x x 18 8 x x 2476.961881
h2 H x x x 2 x x x 114.6619415
alh3 H Al x x 3 1 x x 224.7205217
alh Al H x x 1 1 x x 75.60941069
sih4 H Si x x 4 1 x x 338.759789
bh3 H B x x 3 1 x x 288.9860796
bh B H x x 1 1 x x 85.73658816
ch2-trip H C x x 2 1 x x 197.7920156
sih H Si x x 1 1 x x 77.81612309
si2h6 H Si x x 6 2 x x 555.8382491
ch3 H C x x 3 1 x x 312.4192362
ch4 H C x x 4 1 x x 423.4959799
b2h6 H B x x 6 2 x x 621.879625
sih3f H F Si x 3 1 1 x 390.0986074
ph3 H P x x 3 1 x x 251.0676444
c2h6 H C x x 6 2 x x 716.3837277
propane H C x x 8 3 x x 1010.539667
ch2-sing H C x x 2 1 x x 187.196535
ch C H x x 1 1 x x 87.73291682
h2s H S x x 2 1 x x 184.4222928
hs S H x x 1 1 x x 88.95456135
c2h5f H C F x 5 2 1 x 725.0840833
ch3nh2 H C N x 5 1 1 x 584.6514859
ch3f H F C x 3 1 1 x 426.9986907
propene H C x x 6 3 x x 863.5168756
nh3 H N x x 3 1 x x 296.9594616
ethanol H C O x 6 2 1 x 808.198407
ch3nh H C N x 4 1 1 x 482.2750571
c2h4 H C x x 4 2 x x 565.9928901
methanol H C O x 4 1 1 x 511.1727103
hcl Cl H x x 1 1 x x 106.1978268
nh2 H N x x 2 1 x x 186.0871717
nh N H x x 1 1 x x 90.27248975
ch2nh2 H C N x 4 1 1 x 487.0891482
bhf2 F B H x 2 1 1 x 408.2131812
h2o H O x x 2 1 x x 224.4695433
hf F H x x 1 1 x x 137.1444858
ch2ch H C x x 3 2 x x 450.2124775
oh O H x x 1 1 x x 104.0937847
propyne H C x x 4 3 x x 704.6654421
acetaldehyde H C O x 4 2 1 x 677.4788657
allene H C x x 4 3 x x 707.4034237
sif4 F Si x x 4 1 x x 559.3485675
bf3 F B x x 3 1 x x 460.9224876
c2h3f H C F x 3 2 1 x 576.8275998
oxirane H C O x 4 2 1 x 656.6583072
ch2f2 H F C x 2 2 1 x 441.3422964
alf3 F Al x x 3 1 x x 416.5416292
bef2 F Be x x 2 1 x x 303.3496031
ch2c C H x x 2 2 x x 359.6019271
n2h4 H N x x 4 2 x x 440.3504868
ch2nh H C N x 3 1 1 x 442.5884913
alf Al F x x 1 1 x x 158.3664869
acetic H C O x 4 2 2 x 796.9779544
c2h2 C H x x 2 2 x x 403.1222347
h2co H O C x 2 1 1 x 374.2343089
h2cn H C N x 2 1 1 x 350.3204016
bf F B x x 1 1 x x 177.7591831
becl2 Cl Be x x 2 1 x x 223.4314908
t-hcoh H C O x 2 1 1 x 319.8671172
alcl3 Cl Al x x 3 1 x x 303.780288
c-hcoh H C O x 2 1 1 x 315.3030501
alcl Al Cl x x 1 1 x x 118.6469154
ketene C H O x 2 2 1 x 534.2568012
sif F Si x x 1 1 x x 142.8002271
formic H O C x 2 2 1 x 496.065804
hcnh H C N x 2 1 1 x 341.9837617
glyoxal C H O x 2 2 2 x 630.9122727
hcof C O H F 1 1 1 1 403.7357583
nh2cl H N Cl x 2 1 1 x 251.0354119
cf4 F C x x 4 1 x x 477.4354057
hccf C H F x 2 1 1 x 398.3294115
hcn H C N x 1 1 1 x 312.9199459
hnc H N C x 1 1 1 x 297.2515153
cch C H x x 2 1 x x 263.656617
hco O C H x 1 1 1 x 281.0540241
co C O x x 1 1 x x 253.3204121
oxirene C H O x 2 2 1 x 458.8873364
f2co F O C x 2 1 1 x 419.6585977
hocn C N O H 1 1 1 1 406.3124537
hooh H O x x 2 2 x x 264.1612141
t-n2h2 H N x x 2 2 x x 301.4636022
hnco C O N H 1 1 1 1 436.2671514
c-n2h2 H N x x 2 2 x x 296.2810576
cf2 F C x x 2 1 x x 262.3042351
co2 O C x x 2 1 x x 386.3793001
fccf F C x x 2 2 x x 387.7273443
dioxirane H O C x 2 2 1 x 415.9516109
cf C F x x 1 1 x x 137.7669187
ssh S H x x 2 1 x x 170.4409047
hocl O H Cl x 1 1 1 x 164.8858318
nccn N C x x 2 2 x x 503.8155665
n2 N x x x 2 x x x 229.0381852
n2h N H x x 2 1 x x 233.1101856
ocs O C S x 1 1 1 x 336.8233961
sio Si O x x 1 1 x x 186.1224381
clcn Cl C N x 1 1 1 x 287.1989277
hoo O H x x 2 1 x x 178.1666578
hcno C H N O 1 1 1 1 372.7698943
honc H O N C 1 1 1 1 350.644162
hno N H O x 1 1 1 x 208.0969454
hof H O F x 1 1 1 x 160.7099262
c-hono O N H x 2 1 1 x 316.3517623
t-hono O N H x 2 1 1 x 317.1078503
cs2 S C x x 2 1 x x 285.308507
hnnn N H x x 3 1 x x 346.7105811
cs C S x x 1 1 x x 169.8902681
cn C N x x 1 1 x x 182.396144
so3 O S x x 3 1 x x 341.430996
ccl2 Cl C x x 2 1 x x 182.709377
bn3pi B N x x 1 1 x x 110.3925143
so2 O S x x 2 1 x x 256.8643641
no N O x x 1 1 x x 156.2949381
so S O x x 1 1 x x 129.2485617
n2o N O x x 2 1 x x 282.188099
c-hooo O H x x 3 1 x x 242.205078
s2 S x x x 2 x x x 109.4154006
p4 P x x x 4 x x x 306.3326103
cl2 Cl x x x 2 x x x 62.71149132
o2 O x x x 2 x x x 125.583192
f2 F x x x 2 x x x 47.22498727
t-hooo O H x x 3 1 x x 242.9827622
s2o S O x x 2 1 x x 211.0043893
p2 P x x x 2 x x x 118.8988133
clf Cl F x x 1 1 x x 67.79043537
no2 O N x x 2 1 x x 240.0233848
clo Cl O x x 1 1 x x 71.74413315
s3 S x x x 3 x x x 174.1945103
cl2o Cl O x x 2 1 x x 107.5872082
s4-c2v S x x x 4 x x x 243.6963556
of O F x x 1 1 x x 62.40751945
c2 C x x x 2 x x x 141.4325505
oclo O Cl x x 2 1 x x 138.2288027
f2o F O x x 2 1 x x 108.6252831
b2 B x x x 2 x x x 69.78367851
fo2 O F x x 2 1 x x 151.3356705
cloo O Cl x x 2 1 x x 139.9025814
foof F O x x 2 2 x x 178.2747441
o3 O x x x 3 x x x 154.7926183
bn B N x x 1 1 x x 102.335249
be2 Be x x x 2 x x x 8.349591018
C4H4 C H x x 4 4 x x 803.6062186
C6H6 C H x x 6 6 x x 1262.442468
C8H8 C H x x 8 8 x x 1710.800214
C10H10 C H x x 10 10 x x 2193.80741
C12H12 C H x x 12 12 x x 2707.651905
C20H20 C H x x 20 20 x x 4578.792704
