xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1304.911921
pentane H C x x 12 5 x x 1598.981625
hexane H C x x 14 6 x x 1893.063039
heptane H C x x 16 7 x x 2187.143686
octane H C x x 18 8 x x 2481.21528
isobutane H C x x 10 4 x x 1305.658229
isopentane H C x x 12 5 x x 1598.945253
isohexane H C x x 14 6 x x 1892.973401
isoheptane H C x x 16 7 x x 2187.064107
isooctane H C x x 18 8 x x 2479.146755
neopentane H C x x 12 5 x x 1600.699167
neohexane H C x x 14 6 x x 1893.087999
neoheptane H C x x 16 7 x x 2187.051597
3methylpentane H C x x 14 6 x x 1892.106203
diisopropyl H C x x 14 6 x x 1892.123513
hexamethylethane H C x x 18 8 x x 2477.207243
h2 H x x x 2 x x x 114.4158784
alh3 H Al x x 3 1 x x 224.6571677
alh Al H x x 1 1 x x 75.35498609
sih4 H Si x x 4 1 x x 338.721865
bh3 H B x x 3 1 x x 289.3956409
bh B H x x 1 1 x x 85.54787798
ch2-trip H C x x 2 1 x x 197.7780554
sih H Si x x 1 1 x x 77.45416739
si2h6 H Si x x 6 2 x x 555.9107467
ch3 H C x x 3 1 x x 312.5988306
ch4 H C x x 4 1 x x 423.7352446
b2h6 H B x x 6 2 x x 622.5518926
sih3f H F Si x 3 1 1 x 388.5366379
ph3 H P x x 3 1 x x 250.3959004
c2h6 H C x x 6 2 x x 716.6332095
propane H C x x 8 3 x x 1010.810225
ch2-sing H C x x 2 1 x x 186.9299719
ch C H x x 1 1 x x 87.11873161
h2s H S x x 2 1 x x 184.1575022
hs S H x x 1 1 x x 88.76411881
c2h5f H C F x 5 2 1 x 723.0078753
ch3nh2 H C N x 5 1 1 x 583.1142164
ch3f H F C x 3 1 1 x 424.909022
propene H C x x 6 3 x x 862.2423921
nh3 H N x x 3 1 x x 295.7560827
ethanol H C O x 6 2 1 x 806.4494635
ch3nh H C N x 4 1 1 x 480.347059
c2h4 H C x x 4 2 x x 564.7392675
methanol H C O x 4 1 1 x 509.3819117
hcl Cl H x x 1 1 x x 106.0568423
nh2 H N x x 2 1 x x 184.7869799
nh N H x x 1 1 x x 89.08323067
ch2nh2 H C N x 4 1 1 x 485.1215353
bhf2 F B H x 2 1 1 x 405.1900059
h2o H O x x 2 1 x x 223.3477498
hf F H x x 1 1 x x 135.9955133
ch2ch H C x x 3 2 x x 448.6203363
oh O H x x 1 1 x x 103.3547543
propyne H C x x 4 3 x x 702.0680172
acetaldehyde H C O x 4 2 1 x 673.8036431
allene H C x x 4 3 x x 704.2836361
sif4 F Si x x 4 1 x x 553.8716545
bf3 F B x x 3 1 x x 456.6805523
c2h3f H C F x 3 2 1 x 573.0979516
oxirane H C O x 4 2 1 x 652.7898585
ch2f2 H F C x 2 2 1 x 437.0867635
alf3 F Al x x 3 1 x x 411.8736303
bef2 F Be x x 2 1 x x 299.9670585
ch2c C H x x 2 2 x x 357.3037641
n2h4 H N x x 4 2 x x 436.8453784
