xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 108.7513317
alh3 H Al x x 3 1 x x 213.59043
alh Al H x x 1 1 x x 73.3433317
sih4 H Si x x 4 1 x x 320.9340076
bh3 H B x x 3 1 x x 280.7387924
bh B H x x 1 1 x x 84.21478199
ch2-trip H C x x 2 1 x x 193.2037317
sih H Si x x 1 1 x x 73.86819012
si2h6 H Si x x 6 2 x x 528.1570456
ch3 H C x x 3 1 x x 307.7873919
ch4 H C x x 4 1 x x 417.9793512
b2h6 H B x x 6 2 x x 602.3459329
sih3f H F Si x 3 1 1 x 379.4969176
ph3 H P x x 3 1 x x 238.6310633
c2h6 H C x x 6 2 x x 708.3890026
propane H C x x 8 3 x x 999.7127068
ch2-sing H C x x 2 1 x x 183.4659525
ch C H x x 1 1 x x 83.98947803
h2s H S x x 2 1 x x 180.3266455
hs S H x x 1 1 x x 86.64356203
c2h5f H C F x 5 2 1 x 720.7478847
ch3nh2 H C N x 5 1 1 x 576.3743814
ch3f H F C x 3 1 1 x 425.0793602
propene H C x x 6 3 x x 857.0092451
nh3 H N x x 3 1 x x 293.2666116
ethanol H C O x 6 2 1 x 804.4603029
ch3nh H C N x 4 1 1 x 473.1468745
c2h4 H C x x 4 2 x x 561.6805147
methanol H C O x 4 1 1 x 510.0267206
hcl Cl H x x 1 1 x x 106.1222732
nh2 H N x x 2 1 x x 180.2103941
nh N H x x 1 1 x x 83.31964879
ch2nh2 H C N x 4 1 1 x 480.9420474
bhf2 F B H x 2 1 1 x 413.7296218
h2o H O x x 2 1 x x 229.5981939
hf F H x x 1 1 x x 142.7689981
ch2ch H C x x 3 2 x x 448.1605807
oh O H x x 1 1 x x 105.1882867
propyne H C x x 4 3 x x 702.8468995
acetaldehyde H C O x 4 2 1 x 676.0834713
allene H C x x 4 3 x x 705.5921668
sif4 F Si x x 4 1 x x 572.3420978
bf3 F B x x 3 1 x x 474.3931816
c2h3f H C F x 3 2 1 x 577.049133
oxirane H C O x 4 2 1 x 651.5005003
ch2f2 H F C x 2 2 1 x 443.6860129
alf3 F Al x x 3 1 x x 431.2185486
bef2 F Be x x 2 1 x x 312.7595742
ch2c C H x x 2 2 x x 359.7796616
n2h4 H N x x 4 2 x x 431.7982165
ch2nh H C N x 3 1 1 x 436.0121678
alf Al F x x 1 1 x x 163.5586897
acetic H C O x 4 2 2 x 800.713766
c2h2 C H x x 2 2 x x 403.0965189
h2co H O C x 2 1 1 x 374.3969585
h2cn H C N x 2 1 1 x 343.6173473
bf F B x x 1 1 x x 184.2204723
becl2 Cl Be x x 2 1 x x 223.4799553
t-hcoh H C O x 2 1 1 x 321.8328362
alcl3 Cl Al x x 3 1 x x 302.781964
c-hcoh H C O x 2 1 1 x 317.3930607
alcl Al Cl x x 1 1 x x 119.5353814
ketene C H O x 2 2 1 x 537.8440911
sif F Si x x 1 1 x x 144.8476127
formic H O C x 2 2 1 x 501.9046125
hcnh H C N x 2 1 1 x 337.1650248
glyoxal C H O x 2 2 2 x 634.8251926
hcof C O H F 1 1 1 1 409.1697306
nh2cl H N Cl x 2 1 1 x 244.8990659
cf4 F C x x 4 1 x x 489.8569311
hccf C H F x 2 1 1 x 403.7500522
hcn H C N x 1 1 1 x 308.2724124
hnc H N C x 1 1 1 x 294.3661184
cch C H x x 2 1 x x 265.7167541
hco O C H x 1 1 1 x 282.1073694
co C O x x 1 1 x x 256.3263474
oxirene C H O x 2 2 1 x 458.5894541
f2co F O C x 2 1 1 x 430.5696895
hocn C N O H 1 1 1 1 407.9306596
hooh H O x x 2 2 x x 267.8228082
t-n2h2 H N x x 2 2 x x 291.9578449
hnco C O N H 1 1 1 1 438.6007598
c-n2h2 H N x x 2 2 x x 286.8825549
cf2 F C x x 2 1 x x 268.3764716
co2 O C x x 2 1 x x 394.6696642
fccf F C x x 2 2 x x 398.5637707
dioxirane H O C x 2 2 1 x 411.4260926
cf C F x x 1 1 x x 140.1353223
ssh S H x x 2 1 x x 164.7216296
hocl O H Cl x 1 1 1 x 165.7433918
nccn N C x x 2 2 x x 498.2316324
n2 N x x x 2 x x x 219.7410247
n2h N H x x 2 1 x x 223.7953781
ocs O C S x 1 1 1 x 339.7738771
sio Si O x x 1 1 x x 188.5270309
clcn Cl C N x 1 1 1 x 284.3050258
hoo O H x x 2 1 x x 180.2418881
hcno C H N O 1 1 1 1 373.8058984
honc H O N C 1 1 1 1 350.5953767
hno N H O x 1 1 1 x 204.2539848
hof H O F x 1 1 1 x 162.6281571
c-hono O N H x 2 1 1 x 316.2366643
t-hono O N H x 2 1 1 x 317.2026814
cs2 S C x x 2 1 x x 284.0093108
hnnn N H x x 3 1 x x 336.4199632
cs C S x x 1 1 x x 169.8045256
cn C N x x 1 1 x x 179.9658212
so3 O S x x 3 1 x x 347.2379663
ccl2 Cl C x x 2 1 x x 182.3067216
bn3pi B N x x 1 1 x x 107.4409342
so2 O S x x 2 1 x x 259.4877891
no N O x x 1 1 x x 152.648918
so S O x x 1 1 x x 130.4036017
n2o N O x x 2 1 x x 278.3456268
c-hooo O H x x 3 1 x x 244.7897834
s2 S x x x 2 x x x 106.9236814
p4 P x x x 4 x x x 281.3099355
cl2 Cl x x x 2 x x x 59.94306129
o2 O x x x 2 x x x 131.0611691
f2 F x x x 2 x x x 47.03002359
t-hooo O H x x 3 1 x x 246.1899266
s2o S O x x 2 1 x x 209.3114833
p2 P x x x 2 x x x 111.0707363
clf Cl F x x 1 1 x x 67.87168455
no2 O N x x 2 1 x x 240.935638
clo Cl O x x 1 1 x x 71.17643459
s3 S x x x 3 x x x 168.0019764
cl2o Cl O x x 2 1 x x 104.0975235
s4-c2v S x x x 4 x x x 233.1971578
of O F x x 1 1 x x 61.98285817
c2 C x x x 2 x x x 141.9077933
oclo O Cl x x 2 1 x x 142.0293648
f2o F O x x 2 1 x x 108.2159877
b2 B x x x 2 x x x 72.6612824
fo2 O F x x 2 1 x x 154.157443
cloo O Cl x x 2 1 x x 141.1410154
foof F O x x 2 2 x x 179.8603822
o3 O x x x 3 x x x 157.1957902
bn B N x x 1 1 x x 99.58609387
be2 Be x x x 2 x x x 7.16502709
