xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1290.410998
pentane H C x x 12 5 x x 1582.349518
hexane H C x x 14 6 x x 1874.296215
heptane H C x x 16 7 x x 2166.241158
octane H C x x 18 8 x x 2458.185179
isobutane H C x x 10 4 x x 1291.066878
isopentane H C x x 12 5 x x 1582.15244
isohexane H C x x 14 6 x x 1874.019638
isoheptane H C x x 16 7 x x 2165.973394
isooctane H C x x 18 8 x x 2455.139205
neopentane H C x x 12 5 x x 1583.591705
neohexane H C x x 14 6 x x 1873.678651
neoheptane H C x x 16 7 x x 2165.453345
3methylpentane H C x x 14 6 x x 1873.096575
diisopropyl H C x x 14 6 x x 1872.867779
hexamethylethane H C x x 18 8 x x 2452.061979
h2 H x x x 2 x x x 105.8846108
alh3 H Al x x 3 1 x x 209.6308017
alh Al H x x 1 1 x x 72.00696531
sih4 H Si x x 4 1 x x 319.0185274
bh3 H B x x 3 1 x x 279.72927
bh B H x x 1 1 x x 82.97450739
ch2-trip H C x x 2 1 x x 189.236307
sih H Si x x 1 1 x x 73.07728844
si2h6 H Si x x 6 2 x x 526.9713258
ch3 H C x x 3 1 x x 305.0280333
ch4 H C x x 4 1 x x 415.6295212
b2h6 H B x x 6 2 x x 602.3649044
sih3f H F Si x 3 1 1 x 377.1141454
ph3 H P x x 3 1 x x 239.2014473
c2h6 H C x x 6 2 x x 706.3627647
propane H C x x 8 3 x x 998.3897992
ch2-sing H C x x 2 1 x x 181.5315068
ch C H x x 1 1 x x 83.23291122
h2s H S x x 2 1 x x 179.9921385
hs S H x x 1 1 x x 86.64434102
c2h5f H C F x 5 2 1 x 717.773773
ch3nh2 H C N x 5 1 1 x 577.7325397
ch3f H F C x 3 1 1 x 421.5469016
propene H C x x 6 3 x x 855.7993633
nh3 H N x x 3 1 x x 294.4719139
ethanol H C O x 6 2 1 x 804.0683276
ch3nh H C N x 4 1 1 x 474.3627088
c2h4 H C x x 4 2 x x 560.1584172
methanol H C O x 4 1 1 x 508.9607553
hcl Cl H x x 1 1 x x 105.0500907
nh2 H N x x 2 1 x x 181.7459
nh N H x x 1 1 x x 83.99309104
ch2nh2 H C N x 4 1 1 x 481.9143316
bhf2 F B H x 2 1 1 x 412.0514516
h2o H O x x 2 1 x x 228.5976677
hf F H x x 1 1 x x 139.4024733
ch2ch H C x x 3 2 x x 445.4759145
oh O H x x 1 1 x x 105.773584
propyne H C x x 4 3 x x 701.7463349
