xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 105.8344496
alh3 H Al x x 3 1 x x 215.3258325
alh Al H x x 1 1 x x 72.73290137
sih4 H Si x x 4 1 x x 324.4490481
bh3 H B x x 3 1 x x 281.9877826
bh B H x x 1 1 x x 83.2173702
ch2-trip H C x x 2 1 x x 188.4099525
sih H Si x x 1 1 x x 73.55181476
si2h6 H Si x x 6 2 x x 537.7670048
ch3 H C x x 3 1 x x 306.0272466
ch4 H C x x 4 1 x x 417.6592905
b2h6 H B x x 6 2 x x 607.2701404
sih3f H F Si x 3 1 1 x 382.0472225
ph3 H P x x 3 1 x x 241.3312816
c2h6 H C x x 6 2 x x 710.7018398
propane H C x x 8 3 x x 1005.557301
ch2-sing H C x x 2 1 x x 182.0258847
ch C H x x 1 1 x x 83.51901715
h2s H S x x 2 1 x x 180.9269117
hs S H x x 1 1 x x 87.01369273
c2h5f H C F x 5 2 1 x 720.7384055
ch3nh2 H C N x 5 1 1 x 581.2844445
ch3f H F C x 3 1 1 x 421.7541066
propene H C x x 6 3 x x 857.769086
nh3 H N x x 3 1 x x 296.1564706
ethanol H C O x 6 2 1 x 807.6049082
ch3nh H C N x 4 1 1 x 476.3956814
c2h4 H C x x 4 2 x x 559.8142787
methanol H C O x 4 1 1 x 509.6848883
hcl Cl H x x 1 1 x x 105.1476922
nh2 H N x x 2 1 x x 182.7137652
nh N H x x 1 1 x x 84.24960977
ch2nh2 H C N x 4 1 1 x 483.3969438
bhf2 F B H x 2 1 1 x 409.4955258
h2o H O x x 2 1 x x 227.9851985
hf F H x x 1 1 x x 138.3195844
ch2ch H C x x 3 2 x x 443.3489271
oh O H x x 1 1 x x 105.5676958
propyne H C x x 4 3 x x 701.0056613
acetaldehyde H C O x 4 2 1 x 675.8766557
allene H C x x 4 3 x x 700.2494145
sif4 F Si x x 4 1 x x 571.2419999
bf3 F B x x 3 1 x x 467.6522239
c2h3f H C F x 3 2 1 x 571.8905901
oxirane H C O x 4 2 1 x 652.0742102
ch2f2 H F C x 2 2 1 x 437.7424487
alf3 F Al x x 3 1 x x 430.432719
bef2 F Be x x 2 1 x x 309.3966663
ch2c C H x x 2 2 x x 357.7628436
n2h4 H N x x 4 2 x x 439.6168671
ch2nh H C N x 3 1 1 x 437.5282203
alf Al F x x 1 1 x x 163.6931105
acetic H C O x 4 2 2 x 801.5169784
c2h2 C H x x 2 2 x x 399.7447713
h2co H O C x 2 1 1 x 371.7464113
h2cn H C N x 2 1 1 x 344.4134638
bf F B x x 1 1 x x 181.6722082
becl2 Cl Be x x 2 1 x x 226.2281654
t-hcoh H C O x 2 1 1 x 320.3416469
alcl3 Cl Al x x 3 1 x x 310.41686
c-hcoh H C O x 2 1 1 x 315.1259828
alcl Al Cl x x 1 1 x x 120.3450668
ketene C H O x 2 2 1 x 532.1770253
sif F Si x x 1 1 x x 143.4718133
formic H O C x 2 2 1 x 498.8433715
hcnh H C N x 2 1 1 x 335.8114631
glyoxal C H O x 2 2 2 x 632.3175023
hcof C O H F 1 1 1 1 403.2610984
nh2cl H N Cl x 2 1 1 x 246.5560147
cf4 F C x x 4 1 x x 480.6631605
hccf C H F x 2 1 1 x 396.1436176
hcn H C N x 1 1 1 x 310.0814392
hnc H N C x 1 1 1 x 297.2170506
cch C H x x 2 1 x x 259.0341629
hco O C H x 1 1 1 x 278.4867089
co C O x x 1 1 x x 257.1360841
oxirene C H O x 2 2 1 x 453.8929536
f2co F O C x 2 1 1 x 422.0809052
hocn C N O H 1 1 1 1 407.4145313
hooh H O x x 2 2 x x 264.2417887
t-n2h2 H N x x 2 2 x x 297.5407117
hnco C O N H 1 1 1 1 435.1825795
c-n2h2 H N x x 2 2 x x 291.6551362
cf2 F C x x 2 1 x x 261.4851922
co2 O C x x 2 1 x x 388.8807622
fccf F C x x 2 2 x x 386.8689006
dioxirane H O C x 2 2 1 x 406.8798701
cf C F x x 1 1 x x 136.016942
ssh S H x x 2 1 x x 162.3891251
hocl O H Cl x 1 1 1 x 161.9047757
nccn N C x x 2 2 x x 497.8712585
n2 N x x x 2 x x x 229.083895
n2h N H x x 2 1 x x 228.4590597
ocs O C S x 1 1 1 x 331.9915526
sio Si O x x 1 1 x x 187.1734423
clcn Cl C N x 1 1 1 x 283.594712
hoo O H x x 2 1 x x 176.6574836
hcno C H N O 1 1 1 1 363.1981961
honc H O N C 1 1 1 1 349.8954868
hno N H O x 1 1 1 x 205.6438127
hof H O F x 1 1 1 x 156.1573187
c-hono O N H x 2 1 1 x 313.3404583
t-hono O N H x 2 1 1 x 313.4301127
cs2 S C x x 2 1 x x 271.1510732
hnnn N H x x 3 1 x x 334.1524206
cs C S x x 1 1 x x 164.4395736
cn C N x x 1 1 x x 174.6776687
so3 O S x x 3 1 x x 339.3784415
ccl2 Cl C x x 2 1 x x 174.3016361
bn3pi B N x x 1 1 x x 104.6198902
so2 O S x x 2 1 x x 252.571236
no N O x x 1 1 x x 156.1701941
so S O x x 1 1 x x 125.4314392
n2o N O x x 2 1 x x 272.7780289
c-hooo O H x x 3 1 x x 231.7748383
s2 S x x x 2 x x x 101.0372373
p4 P x x x 4 x x x 291.3808668
cl2 Cl x x x 2 x x x 56.38672813
o2 O x x x 2 x x x 126.4860323
f2 F x x x 2 x x x 37.71299333
t-hooo O H x x 3 1 x x 230.2931212
s2o S O x x 2 1 x x 196.4207731
p2 P x x x 2 x x x 107.5805706
clf Cl F x x 1 1 x x 61.7920496
no2 O N x x 2 1 x x 232.1451818
clo Cl O x x 1 1 x x 64.66397327
s3 S x x x 3 x x x 153.393335
cl2o Cl O x x 2 1 x x 96.28323571
s4-c2v S x x x 4 x x x 215.9212208
of O F x x 1 1 x x 56.10745195
c2 C x x x 2 x x x 130.3430136
oclo O Cl x x 2 1 x x 125.2905271
f2o F O x x 2 1 x x 95.03222599
b2 B x x x 2 x x x 59.96836843
fo2 O F x x 2 1 x x 134.8831262
cloo O Cl x x 2 1 x x 124.3551859
foof F O x x 2 2 x x 151.431258
o3 O x x x 3 x x x 142.7543174
bn B N x x 1 1 x x 100.2910613
be2 Be x x x 2 x x x 1.184570203
