xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 108.5475442
alh3 H Al x x 3 1 x x 212.7626908
alh Al H x x 1 1 x x 74.41414804
sih4 H Si x x 4 1 x x 323.7231909
bh3 H B x x 3 1 x x 282.9635704
bh B H x x 1 1 x x 85.23541722
ch2-trip H C x x 2 1 x x 190.3720797
sih H Si x x 1 1 x x 74.4346159
si2h6 H Si x x 6 2 x x 533.4565495
ch3 H C x x 3 1 x x 307.3063656
ch4 H C x x 4 1 x x 419.8463445
b2h6 H B x x 6 2 x x 610.0718582
sih3f H F Si x 3 1 1 x 380.1130413
ph3 H P x x 3 1 x x 245.4678124
c2h6 H C x x 6 2 x x 712.6216657
propane H C x x 8 3 x x 1007.432877
ch2-sing H C x x 2 1 x x 182.0785991
ch C H x x 1 1 x x 84.26279619
h2s H S x x 2 1 x x 185.0222437
hs S H x x 1 1 x x 88.9511199
c2h5f H C F x 5 2 1 x 721.4201863
ch3nh2 H C N x 5 1 1 x 584.2910981
ch3f H F C x 3 1 1 x 422.6151561
propene H C x x 6 3 x x 861.0100976
nh3 H N x x 3 1 x x 299.5949076
ethanol H C O x 6 2 1 x 811.1737958
ch3nh H C N x 4 1 1 x 477.4877172
c2h4 H C x x 4 2 x x 563.293333
methanol H C O x 4 1 1 x 513.3361984
hcl Cl H x x 1 1 x x 107.4475065
nh2 H N x x 2 1 x x 184.5068682
nh N H x x 1 1 x x 85.19770026
ch2nh2 H C N x 4 1 1 x 485.3051026
bhf2 F B H x 2 1 1 x 410.8416597
h2o H O x x 2 1 x x 232.0511046
hf F H x x 1 1 x x 139.8552376
ch2ch H C x x 3 2 x x 445.3377331
oh O H x x 1 1 x x 107.6328785
propyne H C x x 4 3 x x 704.5493178
acetaldehyde H C O x 4 2 1 x 678.2754925
allene H C x x 4 3 x x 704.7884212
sif4 F Si x x 4 1 x x 568.3577048
bf3 F B x x 3 1 x x 469.4091763
c2h3f H C F x 3 2 1 x 574.0300483
oxirane H C O x 4 2 1 x 652.5866478
ch2f2 H F C x 2 2 1 x 437.4975931
alf3 F Al x x 3 1 x x 422.4369871
bef2 F Be x x 2 1 x x 306.4120723
ch2c C H x x 2 2 x x 362.1176371
n2h4 H N x x 4 2 x x 443.1918885
ch2nh H C N x 3 1 1 x 440.9444595
alf Al F x x 1 1 x x 163.7548703
acetic H C O x 4 2 2 x 805.1429411
c2h2 C H x x 2 2 x x 403.774928
h2co H O C x 2 1 1 x 374.4096162
h2cn H C N x 2 1 1 x 345.6844903
bf F B x x 1 1 x x 184.564439
becl2 Cl Be x x 2 1 x x 226.9406999
t-hcoh H C O x 2 1 1 x 324.4554161
alcl3 Cl Al x x 3 1 x x 310.832215
c-hcoh H C O x 2 1 1 x 319.4935432
alcl Al Cl x x 1 1 x x 124.0938947
