xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1301.738569
pentane H C x x 12 5 x x 1596.415284
hexane H C x x 14 6 x x 1891.1074
heptane H C x x 16 7 x x 2185.811467
octane H C x x 18 8 x x 2480.506996
isobutane H C x x 10 4 x x 1303.08028
isopentane H C x x 12 5 x x 1597.216702
isohexane H C x x 14 6 x x 1891.8842
isoheptane H C x x 16 7 x x 2186.620073
isooctane H C x x 18 8 x x 2481.839825
neopentane H C x x 12 5 x x 1599.844488
neohexane H C x x 14 6 x x 1893.341834
neoheptane H C x x 16 7 x x 2187.987944
3methylpentane H C x x 14 6 x x 1891.226451
diisopropyl H C x x 14 6 x x 1891.947196
hexamethylethane H C x x 18 8 x x 2481.380345
h2 H x x x 2 x x x 108.5405948
alh3 H Al x x 3 1 x x 212.7176498
alh Al H x x 1 1 x x 74.39921476
sih4 H Si x x 4 1 x x 323.6429934
bh3 H B x x 3 1 x x 282.9097704
bh B H x x 1 1 x x 85.22238598
ch2-trip H C x x 2 1 x x 190.3272799
sih H Si x x 1 1 x x 74.41801921
si2h6 H Si x x 6 2 x x 533.3005103
ch3 H C x x 3 1 x x 307.2355656
ch4 H C x x 4 1 x x 419.7426583
b2h6 H B x x 6 2 x x 609.863392
sih3f H F Si x 3 1 1 x 380.0342586
ph3 H P x x 3 1 x x 245.3956818
c2h6 H C x x 6 2 x x 712.3832938
propane H C x x 8 3 x x 1007.049809
ch2-sing H C x x 2 1 x x 182.0359283
ch C H x x 1 1 x x 84.24411611
h2s H S x x 2 1 x x 184.9699646
hs S H x x 1 1 x x 88.92671738
c2h5f H C F x 5 2 1 x 721.1631162
ch3nh2 H C N x 5 1 1 x 584.0841592
ch3f H F C x 3 1 1 x 422.4896467
propene H C x x 6 3 x x 860.7026302
nh3 H N x x 3 1 x x 299.5191032
ethanol H C O x 6 2 1 x 810.8680206
ch3nh H C N x 4 1 1 x 477.312793
c2h4 H C x x 4 2 x x 563.12327
methanol H C O x 4 1 1 x 513.1671278
hcl Cl H x x 1 1 x x 107.4207197
nh2 H N x x 2 1 x x 184.4599716
nh N H x x 1 1 x x 85.1761588
ch2nh2 H C N x 4 1 1 x 485.1339576
bhf2 F B H x 2 1 1 x 410.7578252
h2o H O x x 2 1 x x 232.0029804
hf F H x x 1 1 x x 139.8340686
ch2ch H C x x 3 2 x x 445.1983697
oh O H x x 1 1 x x 107.610851
propyne H C x x 4 3 x x 704.3140864
acetaldehyde H C O x 4 2 1 x 678.0374138
allene H C x x 4 3 x x 704.5530674
sif4 F Si x x 4 1 x x 568.220457
bf3 F B x x 3 1 x x 469.2948863
c2h3f H C F x 3 2 1 x 573.8387333
oxirane H C O x 4 2 1 x 652.309571
ch2f2 H F C x 2 2 1 x 437.3405103
alf3 F Al x x 3 1 x x 422.3622493
bef2 F Be x x 2 1 x x 306.3860607
ch2c C H x x 2 2 x x 362.0081655
n2h4 H N x x 4 2 x x 443.011103
ch2nh H C N x 3 1 1 x 440.8004431
alf Al F x x 1 1 x x 163.7495126
acetic H C O x 4 2 2 x 804.8295438
c2h2 C H x x 2 2 x x 403.6668216
h2co H O C x 2 1 1 x 374.2997626
h2cn H C N x 2 1 1 x 345.5704345
bf F B x x 1 1 x x 184.5477672
becl2 Cl Be x x 2 1 x x 226.8999507
t-hcoh H C O x 2 1 1 x 324.3490949
alcl3 Cl Al x x 3 1 x x 310.7672252
c-hcoh H C O x 2 1 1 x 319.3870819
alcl Al Cl x x 1 1 x x 124.0803815
ketene C H O x 2 2 1 x 535.1792857
sif F Si x x 1 1 x x 143.2287562
formic H O C x 2 2 1 x 502.4939102
hcnh H C N x 2 1 1 x 337.9997321
glyoxal C H O x 2 2 2 x 635.0515457
hcof C O H F 1 1 1 1 404.1579733
nh2cl H N Cl x 2 1 1 x 250.6981308
cf4 F C x x 4 1 x x 478.8862989
hccf C H F x 2 1 1 x 397.9614194
hcn H C N x 1 1 1 x 313.2249969
hnc H N C x 1 1 1 x 301.0996513
cch C H x x 2 1 x x 261.3833307
hco O C H x 1 1 1 x 279.8415304
co C O x x 1 1 x x 260.3469473
oxirene C H O x 2 2 1 x 455.9426855
f2co F O C x 2 1 1 x 421.766534
hocn C N O H 1 1 1 1 411.09767
hooh H O x x 2 2 x x 269.2594781
t-n2h2 H N x x 2 2 x x 299.9723444
hnco C O N H 1 1 1 1 437.6144468
c-n2h2 H N x x 2 2 x x 294.3037705
cf2 F C x x 2 1 x x 261.4154479
co2 O C x x 2 1 x x 390.2643074
fccf F C x x 2 2 x x 386.6433079
dioxirane H O C x 2 2 1 x 409.15674
cf C F x x 1 1 x x 134.7148192
ssh S H x x 2 1 x x 167.8114797
hocl O H Cl x 1 1 1 x 166.8344924
nccn N C x x 2 2 x x 501.8266226
n2 N x x x 2 x x x 230.2775453
n2h N H x x 2 1 x x 229.040332
ocs O C S x 1 1 1 x 337.093456
sio Si O x x 1 1 x x 192.7918594
clcn Cl C N x 1 1 1 x 285.9276716
hoo O H x x 2 1 x x 177.8344646
hcno C H N O 1 1 1 1 364.9623593
honc H O N C 1 1 1 1 353.4750193
hno N H O x 1 1 1 x 207.0311925
hof H O F x 1 1 1 x 158.375943
c-hono O N H x 2 1 1 x 314.7653491
t-hono O N H x 2 1 1 x 315.0210606
cs2 S C x x 2 1 x x 280.5141431
hnnn N H x x 3 1 x x 335.1619729
cs C S x x 1 1 x x 171.6162569
cn C N x x 1 1 x x 175.6191166
so3 O S x x 3 1 x x 343.5563343
ccl2 Cl C x x 2 1 x x 178.7513732
bn3pi B N x x 1 1 x x 107.6879738
so2 O S x x 2 1 x x 259.1354287
no N O x x 1 1 x x 154.5990404
so S O x x 1 1 x x 127.4362216
n2o N O x x 2 1 x x 271.6252962
c-hooo O H x x 3 1 x x 233.3734972
s2 S x x x 2 x x x 105.4609865
p4 P x x x 4 x x x 297.0554671
cl2 Cl x x x 2 x x x 60.76846507
o2 O x x x 2 x x x 123.0499514
f2 F x x x 2 x x x 37.09527298
t-hooo O H x x 3 1 x x 231.9498696
s2o S O x x 2 1 x x 206.6543372
p2 P x x x 2 x x x 119.3743072
clf Cl F x x 1 1 x x 63.74243835
no2 O N x x 2 1 x x 229.3449343
clo Cl O x x 1 1 x x 66.92730672
s3 S x x x 3 x x x 165.1046838
cl2o Cl O x x 2 1 x x 102.7677799
s4-c2v S x x x 4 x x x 229.714298
of O F x x 1 1 x x 54.69307058
c2 C x x x 2 x x x 130.0845364
oclo O Cl x x 2 1 x x 126.9433649
f2o F O x x 2 1 x x 94.69774197
b2 B x x x 2 x x x 60.0937587
fo2 O F x x 2 1 x x 131.5619325
cloo O Cl x x 2 1 x x 123.920942
foof F O x x 2 2 x x 150.2479522
o3 O x x x 3 x x x 141.2046243
bn B N x x 1 1 x x 102.4698383
be2 Be x x x 2 x x x -0.046772111
