xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 107.6111782
alh3 H Al x x 3 1 x x 212.6353866
alh Al H x x 1 1 x x 72.42603109
sih4 H Si x x 4 1 x x 324.0700908
bh3 H B x x 3 1 x x 282.3641215
bh B H x x 1 1 x x 82.90032648
ch2-trip H C x x 2 1 x x 190.82702
sih H Si x x 1 1 x x 74.07877685
si2h6 H Si x x 6 2 x x 535.6176164
ch3 H C x x 3 1 x x 307.2764153
ch4 H C x x 4 1 x x 419.1967259
b2h6 H B x x 6 2 x x 607.6903529
sih3f H F Si x 3 1 1 x 378.9264755
ph3 H P x x 3 1 x x 244.4426508
c2h6 H C x x 6 2 x x 711.8856388
propane H C x x 8 3 x x 1006.352887
ch2-sing H C x x 2 1 x x 182.4541546
ch C H x x 1 1 x x 83.13200776
h2s H S x x 2 1 x x 183.4356874
hs S H x x 1 1 x x 88.44217286
c2h5f H C F x 5 2 1 x 719.6174375
ch3nh2 H C N x 5 1 1 x 582.1277487
ch3f H F C x 3 1 1 x 421.3335019
propene H C x x 6 3 x x 859.3193839
nh3 H N x x 3 1 x x 297.3506557
ethanol H C O x 6 2 1 x 808.7403613
ch3nh H C N x 4 1 1 x 476.5325139
c2h4 H C x x 4 2 x x 561.8086029
methanol H C O x 4 1 1 x 511.5004718
hcl Cl H x x 1 1 x x 106.3402288
nh2 H N x x 2 1 x x 183.1892531
nh N H x x 1 1 x x 84.16089743
ch2nh2 H C N x 4 1 1 x 484.2176406
bhf2 F B H x 2 1 1 x 407.3634596
h2o H O x x 2 1 x x 230.334162
hf F H x x 1 1 x x 138.9894429
ch2ch H C x x 3 2 x x 445.1571186
oh O H x x 1 1 x x 106.7902881
propyne H C x x 4 3 x x 702.0976261
acetaldehyde H C O x 4 2 1 x 676.5424333
allene H C x x 4 3 x x 702.7828959
sif4 F Si x x 4 1 x x 561.7668154
bf3 F B x x 3 1 x x 464.8508214
c2h3f H C F x 3 2 1 x 572.0122538
oxirane H C O x 4 2 1 x 650.715113
ch2f2 H F C x 2 2 1 x 435.3909011
alf3 F Al x x 3 1 x x 419.6306799
bef2 F Be x x 2 1 x x 304.1350919
ch2c C H x x 2 2 x x 358.2398804
n2h4 H N x x 4 2 x x 439.5644953
ch2nh H C N x 3 1 1 x 438.2253384
alf Al F x x 1 1 x x 159.8269614
acetic H C O x 4 2 2 x 802.1509422
c2h2 C H x x 2 2 x x 401.163085
h2co H O C x 2 1 1 x 372.9492166
h2cn H C N x 2 1 1 x 344.2684247
bf F B x x 1 1 x x 179.8962817
becl2 Cl Be x x 2 1 x x 225.4405587
t-hcoh H C O x 2 1 1 x 321.0110128
alcl3 Cl Al x x 3 1 x x 307.5972104
c-hcoh H C O x 2 1 1 x 315.9870517
alcl Al Cl x x 1 1 x x 120.2486922
ketene C H O x 2 2 1 x 533.961115
sif F Si x x 1 1 x x 141.1111702
formic H O C x 2 2 1 x 500.3651742
