xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1300.656659
pentane H C x x 12 5 x x 1595.104163
hexane H C x x 14 6 x x 1889.565438
heptane H C x x 16 7 x x 2184.032608
octane H C x x 18 8 x x 2478.49806
isobutane H C x x 10 4 x x 1301.691592
isopentane H C x x 12 5 x x 1595.539475
isohexane H C x x 14 6 x x 1889.959846
isoheptane H C x x 16 7 x x 2184.458035
isooctane H C x x 18 8 x x 2478.244952
neopentane H C x x 12 5 x x 1597.564314
neohexane H C x x 14 6 x x 1890.707725
neoheptane H C x x 16 7 x x 2185.090215
3methylpentane H C x x 14 6 x x 1889.258569
diisopropyl H C x x 14 6 x x 1889.534026
hexamethylethane H C x x 18 8 x x 2476.650688
h2 H x x x 2 x x x 107.2639199
alh3 H Al x x 3 1 x x 213.6766019
alh Al H x x 1 1 x x 72.62911331
sih4 H Si x x 4 1 x x 324.45138
bh3 H B x x 3 1 x x 282.1139149
bh B H x x 1 1 x x 82.90808997
ch2-trip H C x x 2 1 x x 190.3289176
sih H Si x x 1 1 x x 74.1218459
si2h6 H Si x x 6 2 x x 536.6311186
ch3 H C x x 3 1 x x 307.0581787
ch4 H C x x 4 1 x x 419.0123259
b2h6 H B x x 6 2 x x 607.193174
sih3f H F Si x 3 1 1 x 380.0159326
ph3 H P x x 3 1 x x 244.2263232
c2h6 H C x x 6 2 x x 711.7345585
propane H C x x 8 3 x x 1006.174992
ch2-sing H C x x 2 1 x x 182.3447616
ch C H x x 1 1 x x 83.1889095
h2s H S x x 2 1 x x 183.2783977
hs S H x x 1 1 x x 88.3531137
c2h5f H C F x 5 2 1 x 720.0836402
ch3nh2 H C N x 5 1 1 x 582.0652021
ch3f H F C x 3 1 1 x 421.6024349
propene H C x x 6 3 x x 859.1659443
nh3 H N x x 3 1 x x 297.2635395
ethanol H C O x 6 2 1 x 808.7720393
ch3nh H C N x 4 1 1 x 476.5789395
c2h4 H C x x 4 2 x x 561.5300447
methanol H C O x 4 1 1 x 511.3127572
hcl Cl H x x 1 1 x x 106.2668512
nh2 H N x x 2 1 x x 183.1309947
nh N H x x 1 1 x x 84.13196617
ch2nh2 H C N x 4 1 1 x 484.1767673
bhf2 F B H x 2 1 1 x 407.7167701
h2o H O x x 2 1 x x 229.9350427
hf F H x x 1 1 x x 138.780719
ch2ch H C x x 3 2 x x 444.8491917
oh O H x x 1 1 x x 106.5792086
propyne H C x x 4 3 x x 702.1080808
acetaldehyde H C O x 4 2 1 x 676.631708
allene H C x x 4 3 x x 702.4119832
sif4 F Si x x 4 1 x x 564.2272798
bf3 F B x x 3 1 x x 465.2779715
c2h3f H C F x 3 2 1 x 572.1893383
